GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	source	93396797		1	593507	+	593507		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396799	VBILacGas249718_0001	74	517	+	444		Transamidase GatB domain protein
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396798	VBILacGas249718_0001	74	517	+	444		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396800	VBILacGas249718_0002	548	1507	+	960		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396801	VBILacGas249718_0002	548	1507	+	960		Phosphate starvation-inducible protein PhoH, predicted ATPase
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396802	VBILacGas249718_0003	1511	2038	+	528		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396803	VBILacGas249718_0003	1511	2038	+	528		FIG000233: metal-dependent hydrolase
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396805	VBILacGas249718_0004	2061	2972	+	912		GTP-binding protein Era
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396804	VBILacGas249718_0004	2061	2972	+	912		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396806	VBILacGas249718_0005	2973	3725	+	753		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396807	VBILacGas249718_0005	2973	3725	+	753		DNA recombination and repair protein RecO
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396808	VBILacGas249718_0006	4019	4936	+	918		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396809	VBILacGas249718_0006	4019	4936	+	918		Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396810	VBILacGas249718_0007	4929	7001	+	2073		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396811	VBILacGas249718_0007	4929	7001	+	2073		Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396813	VBILacGas249718_0008	7025	8842	+	1818		DNA primase (EC 2.7.7.-)
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396812	VBILacGas249718_0008	7025	8842	+	1818		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396814	VBILacGas249718_0009	8858	9979	+	1122		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396815	VBILacGas249718_0009	8858	9979	+	1122		RNA polymerase sigma factor RpoD
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396817	VBILacGas249718_0010	10099	10782	+	684		Putative tRNA-m1A22 methylase
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396816	VBILacGas249718_0010	10099	10782	+	684		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396818	VBILacGas249718_0011	10779	11576	+	798		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396819	VBILacGas249718_0011	10779	11576	+	798		FIG146262: hypothetical protein
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396820	VBILacGas249718_0012	11587	12834	+	1248		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396821	VBILacGas249718_0012	11587	12834	+	1248		Tripeptide aminopeptidase (EC 3.4.11.4)
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396822	VBILacGas249718_0013	13145	13513	+	369		
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396823	VBILacGas249718_0013	13145	13513	+	369		Transcriptional regulator, GntR family
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	CDS	93396825	VBILacGas249718_0014	13515	14222	+	708		ABC transporter, ATP-binding protein
Lactobacillus gasseri CECT 5714	AKFQ01000001	PATRIC	gene	93396824	VBILacGas249718_0014	13515	14222	+	708		
