GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus oris F0423	AFTL01000001	PATRIC	source	59582418		1	5445	+	5445		
Lactobacillus oris F0423	AFTL01000001	PATRIC	CDS	59582420	VBILacOri177432_0001	339	503	-	165		conserved domain protein
Lactobacillus oris F0423	AFTL01000001	PATRIC	gene	59582419	VBILacOri177432_0001	339	503	-	165		
Lactobacillus oris F0423	AFTL01000001	PATRIC	CDS	59582422	VBILacOri177432_0002	1255	1560	+	306		hypothetical protein
Lactobacillus oris F0423	AFTL01000001	PATRIC	gene	59582421	VBILacOri177432_0002	1255	1560	+	306		
Lactobacillus oris F0423	AFTL01000001	PATRIC	gene	59582423	VBILacOri177432_0003	1593	1877	+	285		
Lactobacillus oris F0423	AFTL01000001	PATRIC	CDS	59582424	VBILacOri177432_0003	1593	1877	+	285		hypothetical protein
Lactobacillus oris F0423	AFTL01000001	PATRIC	CDS	59582426	VBILacOri177432_0004	2519	3970	-	1452		dipeptidase
Lactobacillus oris F0423	AFTL01000001	PATRIC	gene	59582425	VBILacOri177432_0004	2519	3970	-	1452		
Lactobacillus oris F0423	AFTL01000001	PATRIC	gene	59582427	VBILacOri177432_0005	4239	4715	+	477		
Lactobacillus oris F0423	AFTL01000001	PATRIC	CDS	59582428	VBILacOri177432_0005	4239	4715	+	477		Universal stress protein family
Lactobacillus oris F0423	AFTL01000002	PATRIC	source	59582429		1	211289	+	211289		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582431	VBILacOri177432_0006	1558	1947	+	390		hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582430	VBILacOri177432_0006	1558	1947	+	390		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582433	VBILacOri177432_0007	2231	3604	+	1374		Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582432	VBILacOri177432_0007	2231	3604	+	1374		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582435	VBILacOri177432_0008	3712	4032	-	321		hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582434	VBILacOri177432_0008	3712	4032	-	321		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582437	VBILacOri177432_0009	4224	5906	+	1683		Oligo-1,6-glucosidase (EC 3.2.1.10)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582436	VBILacOri177432_0009	4224	5906	+	1683		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582439	VBILacOri177432_0010	5924	7309	+	1386		sugar transport protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582438	VBILacOri177432_0010	5924	7309	+	1386		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582440	VBILacOri177432_0011	7458	8456	-	999		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582441	VBILacOri177432_0011	7458	8456	-	999		regulatory protein, LacI:Periplasmic binding protein/LacI transcriptional regulator
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582442	VBILacOri177432_0012	8613	10931	+	2319		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582443	VBILacOri177432_0012	8613	10931	+	2319		Alpha-glucosidase (EC 3.2.1.20)
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582445	VBILacOri177432_0013	11158	11682	+	525		Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582444	VBILacOri177432_0013	11158	11682	+	525		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582446	VBILacOri177432_0014	11744	12517	+	774		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582447	VBILacOri177432_0014	11744	12517	+	774		Triosephosphate isomerase (EC 5.3.1.1)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582448	VBILacOri177432_0015	12540	13277	+	738		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582449	VBILacOri177432_0015	12540	13277	+	738		hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582451	VBILacOri177432_0016	13365	13679	-	315		FIG00748884: hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582450	VBILacOri177432_0016	13365	13679	-	315		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582452	VBILacOri177432_0017	13752	14183	-	432		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582453	VBILacOri177432_0017	13752	14183	-	432		PAP2 family protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582455	VBILacOri177432_0018	14523	15773	+	1251		Chloride channel protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582454	VBILacOri177432_0018	14523	15773	+	1251		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582457	VBILacOri177432_0019	15931	16602	+	672		hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582456	VBILacOri177432_0019	15931	16602	+	672		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582458	VBILacOri177432_0020	16897	20883	+	3987		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582459	VBILacOri177432_0020	16897	20883	+	3987		LPXTG-motif cell wall anchor domain protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582461	VBILacOri177432_0021	21007	21660	-	654		Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582460	VBILacOri177432_0021	21007	21660	-	654		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582462	VBILacOri177432_0022	21650	22471	-	822		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582463	VBILacOri177432_0022	21650	22471	-	822		Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582464	VBILacOri177432_0023	22486	23250	-	765		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582465	VBILacOri177432_0023	22486	23250	-	765		Hydroxyethylthiazole kinase (EC 2.7.1.50)
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582467	VBILacOri177432_0024	23660	24307	-	648		site-specific recombinase, phage integrase family
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582466	VBILacOri177432_0024	23660	24307	-	648		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582469	VBILacOri177432_0025	24325	25179	-	855		Predicted esterase of the alpha-beta hydrolase superfamily
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582468	VBILacOri177432_0025	24325	25179	-	855		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582471	VBILacOri177432_0026	25586	26650	-	1065		Tyrosine recombinase XerC
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582470	VBILacOri177432_0026	25586	26650	-	1065		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582473	VBILacOri177432_0027	26744	26983	+	240		conserved domain protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582472	VBILacOri177432_0027	26744	26983	+	240		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582475	VBILacOri177432_0028	26984	27379	+	396		hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582474	VBILacOri177432_0028	26984	27379	+	396		
Lactobacillus oris F0423	AFTL01000002	PATRIC	tRNA	59582477	VBILacOri177432_r001	27442	27515	-	74		tRNA-Pro-TGG
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582476	VBILacOri177432_r001	27442	27515	-	74		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582479	VBILacOri177432_0029	27763	28620	-	858		Acid phosphatase (EC 3.1.3.2)
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582478	VBILacOri177432_0029	27763	28620	-	858		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582481	VBILacOri177432_0030	28759	31677	-	2919		FIG00744546: hypothetical protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582480	VBILacOri177432_0030	28759	31677	-	2919		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582482	VBILacOri177432_0031	31855	32388	+	534		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582483	VBILacOri177432_0031	31855	32388	+	534		Acetyltransferase, GNAT family
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582485	VBILacOri177432_0032	32616	33203	-	588		metallo-beta-lactamase domain protein
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582484	VBILacOri177432_0032	32616	33203	-	588		
Lactobacillus oris F0423	AFTL01000002	PATRIC	gene	59582486	VBILacOri177432_0033	33284	34057	-	774		
Lactobacillus oris F0423	AFTL01000002	PATRIC	CDS	59582487	VBILacOri177432_0033	33284	34057	-	774		2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific (EC 1.1.1.4) / Acetoin (diacetyl) reductase (EC 1.1.1.5)
