GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	source	59597046		1	39811	+	39811		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597048	VBILacZea202452_0001	200	322	-	123		hypothetical protein
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597047	VBILacZea202452_0001	200	322	-	123		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597050	VBILacZea202452_0002	278	799	+	522		FIG00743311: hypothetical protein
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597049	VBILacZea202452_0002	278	799	+	522		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597052	VBILacZea202452_0003	865	1353	-	489		FIG00742223: hypothetical protein
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597051	VBILacZea202452_0003	865	1353	-	489		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597054	VBILacZea202452_0004	1390	2028	-	639		Rrf2-linked NADH-flavin reductase
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597053	VBILacZea202452_0004	1390	2028	-	639		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597055	VBILacZea202452_r001	2226	2297	+	72		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	tRNA	59597056	VBILacZea202452_r001	2226	2297	+	72		tRNA-Glu-TTC
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597057	VBILacZea202452_r002	2302	2374	+	73		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	tRNA	59597058	VBILacZea202452_r002	2302	2374	+	73		tRNA-Thr-CGT
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597059	VBILacZea202452_0005	2729	3502	-	774		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597060	VBILacZea202452_0005	2729	3502	-	774		Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597062	VBILacZea202452_0006	3754	4512	+	759		Unchracterized domain and predicted acyltransferase
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597061	VBILacZea202452_0006	3754	4512	+	759		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597063	VBILacZea202452_0007	4669	5160	+	492		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597064	VBILacZea202452_0007	4669	5160	+	492		Fe2+ transport system protein A
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597066	VBILacZea202452_0008	5147	7264	+	2118		Ferrous iron transport protein B
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597065	VBILacZea202452_0008	5147	7264	+	2118		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597067	VBILacZea202452_0009	7282	7452	+	171		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597068	VBILacZea202452_0009	7282	7452	+	171		hypothetical protein
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597070	VBILacZea202452_0010	7701	9359	+	1659		Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597069	VBILacZea202452_0010	7701	9359	+	1659		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597072	VBILacZea202452_0011	9511	9828	+	318		hypothetical protein
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597071	VBILacZea202452_0011	9511	9828	+	318		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597075	VBILacZea202452_0012	9979	11088	-	1110		Melibiose carrier protein, Na+/melibiose symporter
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597073	VBILacZea202452_pg001	9979	11419	-	1441		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597074	VBILacZea202452_0012	9979	11088	-	1110		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	CDS	59597077	VBILacZea202452_0013	11057	11410	-	354		Melibiose carrier protein, Na+/melibiose symporter
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597076	VBILacZea202452_0013	11057	11410	-	354		
Lactobacillus zeae KCTC 3804	BACQ01000001	PATRIC	gene	59597078	VBILacZea202452_0014	11984	12406	+	423		
