GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	source	29220942		1	693865	+	693865		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220943	VBILacVag81158_0001	389	1642	-	1254		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220944	VBILacVag81158_0001	389	1642	-	1254		Tyrosyl-tRNA synthetase (EC 6.1.1.1)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220945	VBILacVag81158_0002	1997	3004	-	1008		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220946	VBILacVag81158_0002	1997	3004	-	1008		FIG00752849: hypothetical protein
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220947	VBILacVag81158_0003	3204	3752	-	549		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220948	VBILacVag81158_0003	3204	3752	-	549		Substrate-specific component FolT of folate ECF transporter
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220949	VBILacVag81158_0004	4134	4820	-	687		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220950	VBILacVag81158_0004	4134	4820	-	687		Phosphoglycerate mutase (EC 5.4.2.1)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220951	VBILacVag81158_0005	4951	6207	-	1257		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220952	VBILacVag81158_0005	4951	6207	-	1257		Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220954	VBILacVag81158_0006	6273	7811	-	1539		IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220953	VBILacVag81158_0006	6273	7811	-	1539		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220955	VBILacVag81158_0007	7815	8393	-	579		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220956	VBILacVag81158_0007	7815	8393	-	579		Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220957	VBILacVag81158_0008	8403	9440	-	1038		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220958	VBILacVag81158_0008	8403	9440	-	1038		Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220960	VBILacVag81158_0009	9437	10900	-	1464		Amidophosphoribosyltransferase (EC 2.4.2.14)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220959	VBILacVag81158_0009	9437	10900	-	1464		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220962	VBILacVag81158_0010	10876	13104	-	2229		Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220961	VBILacVag81158_0010	10876	13104	-	2229		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220963	VBILacVag81158_0011	13108	13788	-	681		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220964	VBILacVag81158_0011	13108	13788	-	681		Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220965	VBILacVag81158_0012	13789	14037	-	249		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220966	VBILacVag81158_0012	13789	14037	-	249		Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220968	VBILacVag81158_0013	14038	14757	-	720		Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220967	VBILacVag81158_0013	14038	14757	-	720		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220969	VBILacVag81158_0014	15408	16280	+	873		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220970	VBILacVag81158_0014	15408	16280	+	873		Homoserine O-succinyltransferase (EC 2.3.1.46)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220972	VBILacVag81158_0015	16277	17566	+	1290		O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220971	VBILacVag81158_0015	16277	17566	+	1290		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220974	VBILacVag81158_0016	17588	18829	+	1242		Homoserine dehydrogenase (EC 1.1.1.3)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220973	VBILacVag81158_0016	17588	18829	+	1242		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220975	VBILacVag81158_0017	18852	19598	-	747		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220976	VBILacVag81158_0017	18852	19598	-	747		Lysophospholipase L2 (EC 3.1.1.5)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220978	VBILacVag81158_0018	19668	20420	+	753		Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220977	VBILacVag81158_0018	19668	20420	+	753		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220980	VBILacVag81158_0145	21336	21470	-	135		Adenylosuccinate lyase (EC 4.3.2.2)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220979	VBILacVag81158_0145	21336	21470	-	135		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220982	VBILacVag81158_0146	21528	22643	-	1116		Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220981	VBILacVag81158_0146	21528	22643	-	1116		
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	CDS	29220984	VBILacVag81158_0147	22645	23130	-	486		Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)
Lactobacillus vaginalis ATCC 49540	NZ_GG693412	PATRIC	gene	29220983	VBILacVag81158_0147	22645	23130	-	486		
