GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	source	37034512		1	1071520	+	1071520		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	tRNA	37034514	VBILacRha123537_r001	9	98	+	90		tRNA-Ser-GGA
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034513	VBILacRha123537_r001	9	98	+	90		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034515	VBILacRha123537_0001	220	1350	-	1131		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034516	VBILacRha123537_0001	220	1350	-	1131		Phage integrase
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034518	VBILacRha123537_0002	1879	2100	+	222		Putative uncharacterized protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034517	VBILacRha123537_0002	1879	2100	+	222		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034520	VBILacRha123537_0003	3076	3858	-	783		putative repressor protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034519	VBILacRha123537_0003	3076	3858	-	783		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034522	VBILacRha123537_0004	4019	4273	+	255		ORF052
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034521	VBILacRha123537_0004	4019	4273	+	255		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034524	VBILacRha123537_0005	4276	5037	+	762		Phage antirepressor protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034523	VBILacRha123537_0005	4276	5037	+	762		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034525	VBILacRha123537_0006	5946	6302	+	357		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034526	VBILacRha123537_0006	5946	6302	+	357		hypothetical protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034528	VBILacRha123537_0007	6541	6747	+	207		hypothetical protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034527	VBILacRha123537_0007	6541	6747	+	207		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034530	VBILacRha123537_0008	6766	7251	+	486		Hypothetical protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034529	VBILacRha123537_0008	6766	7251	+	486		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034532	VBILacRha123537_0009	7252	7959	+	708		Phage DNA-binding protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034531	VBILacRha123537_0009	7252	7959	+	708		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	CDS	37034534	VBILacRha123537_0010	7963	8520	+	558		Single-stranded DNA-binding protein
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034533	VBILacRha123537_0010	7963	8520	+	558		
Lactobacillus rhamnosus LMS2-1	NZ_GG692960	PATRIC	gene	37034535	VBILacRha123537_0011	8537	9370	+	834		
