GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	source	41054156		1	752082	+	752082		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054157	VBILacIne154546_0001	3358	3579	-	222		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054158	VBILacIne154546_0001	3358	3579	-	222		hypothetical protein
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054159	VBILacIne154546_0002	3748	9162	-	5415		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054160	VBILacIne154546_0002	3748	9162	-	5415		hypothetical protein
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054162	VBILacIne154546_0003	9388	10452	-	1065		membrane protein, putative
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054161	VBILacIne154546_0003	9388	10452	-	1065		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054164	VBILacIne154546_0004	10668	11270	-	603		hypothetical protein
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054163	VBILacIne154546_0004	10668	11270	-	603		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054166	VBILacIne154546_0005	11289	12131	-	843		Abortive infection protein AbiGII
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054165	VBILacIne154546_0005	11289	12131	-	843		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054168	VBILacIne154546_0006	12128	12715	-	588		Abortive infection protein AbiGI
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054167	VBILacIne154546_0006	12128	12715	-	588		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	CDS	41054170	VBILacIne154546_0007	13057	13593	-	537		Phosphoglycerate mutase (EC 5.4.2.1)
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054169	VBILacIne154546_0007	13057	13593	-	537		
Lactobacillus iners AB-1	NZ_ADHG01000001	PATRIC	gene	41054171	VBILacIne154546_0008	13711	14217	-	507		
