GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	source	59592074		1	72718	+	72718		
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	tRNA	59592076	VBILacVer201387_r001	36	126	+	91		tRNA-Pseudo-GGA
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	gene	59592075	VBILacVer201387_r001	36	126	+	91		
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	CDS	59592078	VBILacVer201387_0001	308	961	-	654		hypothetical protein
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	gene	59592077	VBILacVer201387_0001	308	961	-	654		
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	gene	59592079	VBILacVer201387_0002	1302	2282	-	981		
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	CDS	59592080	VBILacVer201387_0002	1302	2282	-	981		Diaminopimelate epimerase (EC 5.1.1.7)
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	gene	59592081	VBILacVer201387_0003	2283	3656	-	1374		
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	CDS	59592082	VBILacVer201387_0003	2283	3656	-	1374		Aspartokinase (EC 2.7.2.4)
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	CDS	59592084	VBILacVer201387_0004	4111	5412	+	1302		Diaminopimelate decarboxylase (EC 4.1.1.20)
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	gene	59592083	VBILacVer201387_0004	4111	5412	+	1302		
Lactobacillus versmoldensis KCTC 3814	BACR01000001	PATRIC	CDS	59592086	VBILacVer201387_0005	5429	6133	+	705		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)
