GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	source	100865393		1	49540	+	49540		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865394	VBILacCri172082_r001	38	3120	+	3083		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	rRNA	100865395	VBILacCri172082_r001	38	3120	+	3083		Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	rRNA	100865397	VBILacCri172082_r002	3080	3196	+	117		5S RNA
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865396	VBILacCri172082_r002	3080	3196	+	117		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865398	VBILacCri172082_r003	3210	3282	+	73		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	tRNA	100865399	VBILacCri172082_r003	3210	3282	+	73		tRNA-Asn-GTT
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865400	VBILacCri172082_0001	3820	4254	+	435		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	CDS	100865401	VBILacCri172082_0001	3820	4254	+	435		hypothetical protein
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865402	VBILacCri172082_0002	4474	4695	-	222		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	CDS	100865403	VBILacCri172082_0002	4474	4695	-	222		putative steroid binding protein
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865404	VBILacCri172082_0003	4788	5657	-	870		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	CDS	100865405	VBILacCri172082_0003	4788	5657	-	870		FIG00742716: hypothetical protein
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	CDS	100865407	VBILacCri172082_0004	5654	6601	-	948		contains glycosyl transferase family 8 domain
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865406	VBILacCri172082_0004	5654	6601	-	948		
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	CDS	100865409	VBILacCri172082_0005	6615	7568	-	954		contains glycosyl transferase family 8 domain
Lactobacillus crispatus FB077-07	AGZG01000001	PATRIC	gene	100865408	VBILacCri172082_0005	6615	7568	-	954		
