GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	source	36497419		1	15166	+	15166		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497420	VBILacCri143137_0001	135	1097	+	963		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497421	VBILacCri143137_0001	135	1097	+	963		6-phosphofructokinase (EC 2.7.1.11)
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497423	VBILacCri143137_0002	1131	2900	+	1770		Pyruvate kinase (EC 2.7.1.40)
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497422	VBILacCri143137_0002	1131	2900	+	1770		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497424	VBILacCri143137_0003	3027	3920	+	894		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497425	VBILacCri143137_0003	3027	3920	+	894		S1 RNA binding domain
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497427	VBILacCri143137_0004	3907	4812	+	906		Tyrosine recombinase XerD
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497426	VBILacCri143137_0004	3907	4812	+	906		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497428	VBILacCri143137_0005	4821	5183	+	363		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497429	VBILacCri143137_0005	4821	5183	+	363		RibT protein, riboflavin biosynthesis acetyltransferase (GNAT) family
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497431	VBILacCri143137_0006	5170	5910	+	741		Segregation and condensation protein A
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497430	VBILacCri143137_0006	5170	5910	+	741		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497433	VBILacCri143137_0007	5900	6490	+	591		Segregation and condensation protein B
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497432	VBILacCri143137_0007	5900	6490	+	591		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497434	VBILacCri143137_0008	6494	7210	+	717		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497435	VBILacCri143137_0008	6494	7210	+	717		Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497437	VBILacCri143137_0009	7429	8118	+	690		Substrate-specific component RibU of riboflavin ECF transporter
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497436	VBILacCri143137_0009	7429	8118	+	690		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497438	VBILacCri143137_0010	8376	8681	+	306		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497439	VBILacCri143137_0010	8376	8681	+	306		FIG00627979: hypothetical protein
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497441	VBILacCri143137_0011	8850	9404	+	555		Cytidylate kinase (EC 2.7.4.14)
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497440	VBILacCri143137_0011	8850	9404	+	555		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497442	VBILacCri143137_0012	9477	10685	+	1209		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497443	VBILacCri143137_0012	9477	10685	+	1209		SSU ribosomal protein S1p
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497444	VBILacCri143137_0013	10755	12062	+	1308		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497445	VBILacCri143137_0013	10755	12062	+	1308		GTP-binding protein EngA
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497447	VBILacCri143137_0014	12222	12497	+	276		DNA-binding protein HBsu
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497446	VBILacCri143137_0014	12222	12497	+	276		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497449	VBILacCri143137_0015	12578	13825	+	1248		TPR-repeat-containing protein, putative component of Menaquinone-cytochrome C reductase
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497448	VBILacCri143137_0015	12578	13825	+	1248		
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	CDS	36497451	VBILacCri143137_0016	13866	15095	-	1230		Cardiolipin synthetase (EC 2.7.8.-)
Lactobacillus crispatus 214-1	NZ_ADGR01000001	PATRIC	gene	36497450	VBILacCri143137_0016	13866	15095	-	1230		
Lactobacillus crispatus 214-1	NZ_ADGR01000002	PATRIC	source	36497452		1	619	+	619		
Lactobacillus crispatus 214-1	NZ_ADGR01000003	PATRIC	source	36497453		1	1228	+	1228		
Lactobacillus crispatus 214-1	NZ_ADGR01000003	PATRIC	CDS	36497455	VBILacCri143137_0017	96	1202	+	1107		Mobile element protein
Lactobacillus crispatus 214-1	NZ_ADGR01000003	PATRIC	gene	36497454	VBILacCri143137_0017	96	1202	+	1107		
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	source	36497456		1	10036	+	10036		
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	CDS	36497458	VBILacCri143137_0018	24	725	+	702		ABC transporter ATPase protein
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	gene	36497457	VBILacCri143137_0018	24	725	+	702		
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	gene	36497459	VBILacCri143137_0019	735	3275	+	2541		
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	CDS	36497460	VBILacCri143137_0019	735	3275	+	2541		ABC transporter permease protein
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	CDS	36497462	VBILacCri143137_0020	3322	3558	+	237		FIG00743887: hypothetical protein
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	gene	36497461	VBILacCri143137_0020	3322	3558	+	237		
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	gene	36497463	VBILacCri143137_0021	3661	5277	-	1617		
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	CDS	36497464	VBILacCri143137_0021	3661	5277	-	1617		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus crispatus 214-1	NZ_ADGR01000004	PATRIC	gene	36497465	VBILacCri143137_0022	5567	6445	+	879		
