GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	source	59572577		1	33759	+	33759		
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	gene	59572578	VBILacMal202197_0001	319	1326	-	1008		
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	CDS	59572579	VBILacMal202197_0001	319	1326	-	1008		hypothetical protein
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	gene	59572580	VBILacMal202197_0002	1501	2664	+	1164		
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	CDS	59572581	VBILacMal202197_0002	1501	2664	+	1164		3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	CDS	59572583	VBILacMal202197_0003	2705	3421	-	717		Sugar/maltose fermentation stimulation protein homolog
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	gene	59572582	VBILacMal202197_0003	2705	3421	-	717		
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	gene	59572584	VBILacMal202197_0004	3500	4024	+	525		
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	CDS	59572585	VBILacMal202197_0004	3500	4024	+	525		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	CDS	59572587	VBILacMal202197_0005	4068	4709	-	642		hypothetical protein
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	gene	59572586	VBILacMal202197_0005	4068	4709	-	642		
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	CDS	59572589	VBILacMal202197_0006	4714	8472	-	3759		ATP-dependent nuclease, subunit A
Lactobacillus malefermentans KCTC 3548	BACN01000001	PATRIC	gene	59572588	VBILacMal202197_0006	4714	8472	-	3759		
