GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus salivarius UCC118	NC_006529	PATRIC	source	22276627		1	20417	+	20417		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276628	VBILacSal43464_0001	67	2127	-	2061		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276629	VBILacSal43464_0001	67	2127	-	2061		FIG00749639: hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276631	VBILacSal43464_0002	2399	2611	+	213		FIG00746404: hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276630	VBILacSal43464_0002	2399	2611	+	213		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276633	VBILacSal43464_0003	2778	2906	+	129		FIG00746003: hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276632	VBILacSal43464_0003	2778	2906	+	129		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276635	VBILacSal43464_0004	3038	3787	-	750		FIG00753329: hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276634	VBILacSal43464_0004	3038	3787	-	750		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276636	VBILacSal43464_0005	4179	5282	-	1104		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276637	VBILacSal43464_0005	4179	5282	-	1104		RNA polymerase sigma factor RpoD
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276639	VBILacSal43464_0006	5871	6122	-	252		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276638	VBILacSal43464_0006	5871	6122	-	252		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276641	VBILacSal43464_0007	6126	6935	-	810		putative plasmid partition protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276640	VBILacSal43464_0007	6126	6935	-	810		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276642	VBILacSal43464_0008	7011	7583	-	573		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276643	VBILacSal43464_0008	7011	7583	-	573		Site-specific recombinase, DNA invertase Pin related protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276645	VBILacSal43464_0009	8112	9443	+	1332		Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276644	VBILacSal43464_0009	8112	9443	+	1332		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276647	VBILacSal43464_0010	9714	10343	+	630		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276646	VBILacSal43464_0010	9714	10343	+	630		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276649	VBILacSal43464_0011	10850	10966	-	117		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276648	VBILacSal43464_0011	10850	10966	-	117		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276651	VBILacSal43464_0012	10983	11432	+	450		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276650	VBILacSal43464_0012	10983	11432	+	450		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276652	VBILacSal43464_0013	11444	11629	+	186		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276653	VBILacSal43464_0013	11444	11629	+	186		FIG00742910: hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276655	VBILacSal43464_0014	11657	12199	+	543		General stress protein, Gls24 family
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276654	VBILacSal43464_0014	11657	12199	+	543		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276657	VBILacSal43464_0015	12214	12465	+	252		FIG00746789: hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276656	VBILacSal43464_0015	12214	12465	+	252		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276658	VBILacSal43464_0016	12477	12617	+	141		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276659	VBILacSal43464_0016	12477	12617	+	141		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276660	VBILacSal43464_0017	12815	13030	+	216		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276661	VBILacSal43464_0017	12815	13030	+	216		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276662	VBILacSal43464_0018	13518	14090	-	573		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276663	VBILacSal43464_0018	13518	14090	-	573		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276664	VBILacSal43464_0019	14418	15797	-	1380		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276665	VBILacSal43464_0019	14418	15797	-	1380		Mobile element protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276666	VBILacSal43464_0020	16248	16766	+	519		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276667	VBILacSal43464_0020	16248	16766	+	519		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276668	VBILacSal43464_0021	16759	17211	+	453		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276669	VBILacSal43464_0021	16759	17211	+	453		hypothetical protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276670	VBILacSal43464_0022	18177	18440	+	264		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276671	VBILacSal43464_0022	18177	18440	+	264		PemI-like protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276673	VBILacSal43464_0023	18596	18778	+	183		PemK-like protein
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276672	VBILacSal43464_0023	18596	18778	+	183		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	gene	22276674	VBILacSal43464_0024	19002	20222	+	1221		
Lactobacillus salivarius UCC118	NC_006529	PATRIC	CDS	22276675	VBILacSal43464_0024	19002	20222	+	1221		Mobile element protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	source	22276676		1	44013	+	44013		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276677	VBILacSal43464_0025	3	905	-	903		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276678	VBILacSal43464_0025	3	905	-	903		Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276679	VBILacSal43464_0027	1021	1725	-	705		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276680	VBILacSal43464_0027	1021	1725	-	705		Nudix-related transcriptional regulator NrtR
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276681	VBILacSal43464_0028	2967	3098	+	132		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276682	VBILacSal43464_0028	2967	3098	+	132		Transposase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276684	VBILacSal43464_0029	3226	4143	+	918		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276683	VBILacSal43464_0029	3226	4143	+	918		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276686	VBILacSal43464_0030	4156	4659	+	504		BS_yobM related protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276685	VBILacSal43464_0030	4156	4659	+	504		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276688	VBILacSal43464_0031	4773	5000	+	228		Mobile element protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276687	VBILacSal43464_0031	4773	5000	+	228		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276690	VBILacSal43464_0032	5091	5411	+	321		Transposase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276689	VBILacSal43464_0032	5091	5411	+	321		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276691	VBILacSal43464_0033	5450	5581	+	132		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276692	VBILacSal43464_0033	5450	5581	+	132		Transposase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276694	VBILacSal43464_0034	5876	6175	+	300		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276693	VBILacSal43464_0034	5876	6175	+	300		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276696	VBILacSal43464_0035	6172	6507	+	336		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276695	VBILacSal43464_0035	6172	6507	+	336		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276698	VBILacSal43464_0036	6874	7161	-	288		DNA-damage-inducible protein J
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276697	VBILacSal43464_0036	6874	7161	-	288		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276700	VBILacSal43464_0037	7288	8073	+	786		putative plasmid partition protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276699	VBILacSal43464_0037	7288	8073	+	786		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276701	VBILacSal43464_0038	8152	8355	+	204		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276702	VBILacSal43464_0038	8152	8355	+	204		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276704	VBILacSal43464_0039	9165	10259	+	1095		Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276703	VBILacSal43464_0039	9165	10259	+	1095		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276706	VBILacSal43464_0040	10429	10626	+	198		FIG00742586: hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276705	VBILacSal43464_0040	10429	10626	+	198		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276708	VBILacSal43464_0041	10677	11423	+	747		FIG00753329: hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276707	VBILacSal43464_0041	10677	11423	+	747		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276710	VBILacSal43464_0042	11847	12056	-	210		FIG00746404: hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276709	VBILacSal43464_0042	11847	12056	-	210		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276711	VBILacSal43464_0043	12326	14386	+	2061		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276712	VBILacSal43464_0043	12326	14386	+	2061		FIG00749639: hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276714	VBILacSal43464_0044	15124	15477	-	354		Transcriptional regulator HxlR, formaldehyde assimilation
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276713	VBILacSal43464_0044	15124	15477	-	354		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276715	VBILacSal43464_0045	15640	16662	+	1023		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276716	VBILacSal43464_0045	15640	16662	+	1023		Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276717	VBILacSal43464_0046	16666	17346	+	681		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276718	VBILacSal43464_0046	16666	17346	+	681		DNA topoisomerase III (EC 5.99.1.2)
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276720	VBILacSal43464_0047	18132	18998	+	867		Zinc ABC transporter, ATP-binding protein ZnuC
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276719	VBILacSal43464_0047	18132	18998	+	867		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276722	VBILacSal43464_0048	19000	19860	+	861		putative ABC transporter, integral membrane protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276721	VBILacSal43464_0048	19000	19860	+	861		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276723	VBILacSal43464_0049	19866	20318	+	453		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276724	VBILacSal43464_0049	19866	20318	+	453		Response regulator of the LytR/AlgR family
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276725	VBILacSal43464_0050	20984	21853	-	870		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276726	VBILacSal43464_0050	20984	21853	-	870		transposase IS1201
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276727	VBILacSal43464_0051	22721	23173	-	453		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276728	VBILacSal43464_0051	22721	23173	-	453		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276730	VBILacSal43464_0052	23923	25272	+	1350		Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276729	VBILacSal43464_0052	23923	25272	+	1350		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276732	VBILacSal43464_0053	25409	26203	-	795		Collagen adhesin
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276731	VBILacSal43464_0053	25409	26203	-	795		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276733	VBILacSal43464_0054	26387	28327	-	1941		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276734	VBILacSal43464_0054	26387	28327	-	1941		Collagen-binding A protein-like
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276735	VBILacSal43464_0055	28418	29020	+	603		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276736	VBILacSal43464_0055	28418	29020	+	603		Substrate-specific component STY3230 of queuosine-regulated ECF transporter
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276738	VBILacSal43464_0056	29020	29814	+	795		Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276737	VBILacSal43464_0056	29020	29814	+	795		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276740	VBILacSal43464_0057	29787	30344	+	558		ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276739	VBILacSal43464_0057	29787	30344	+	558		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276742	VBILacSal43464_0058	30603	31418	+	816		ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276741	VBILacSal43464_0058	30603	31418	+	816		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276743	VBILacSal43464_0059	32758	34281	+	1524		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276744	VBILacSal43464_0059	32758	34281	+	1524		L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1) / Osmotic adaptation
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276746	VBILacSal43464_0060	34281	35252	+	972		L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276745	VBILacSal43464_0060	34281	35252	+	972		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276747	VBILacSal43464_0061	35348	36679	+	1332		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276748	VBILacSal43464_0061	35348	36679	+	1332		Glutathione reductase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276749	VBILacSal43464_0062	37363	37947	+	585		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276750	VBILacSal43464_0062	37363	37947	+	585		putative resolvase
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276752	VBILacSal43464_0063	38271	39107	-	837		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276751	VBILacSal43464_0063	38271	39107	-	837		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276754	VBILacSal43464_0064	39222	39392	-	171		DNA-damage-inducible protein J
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276753	VBILacSal43464_0064	39222	39392	-	171		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276755	VBILacSal43464_0065	39582	39869	+	288		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276756	VBILacSal43464_0065	39582	39869	+	288		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276757	VBILacSal43464_0066	40441	41274	-	834		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276758	VBILacSal43464_0066	40441	41274	-	834		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276760	VBILacSal43464_0067	41276	41566	-	291		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276759	VBILacSal43464_0067	41276	41566	-	291		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276761	VBILacSal43464_0068	41977	42714	-	738		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276762	VBILacSal43464_0068	41977	42714	-	738		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276764	VBILacSal43464_0069	42863	43006	-	144		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276763	VBILacSal43464_0069	42863	43006	-	144		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276766	VBILacSal43464_0070	43367	43477	-	111		hypothetical protein
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276765	VBILacSal43464_0070	43367	43477	-	111		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	gene	22276767	VBILacSal43464_0071	43479	43739	-	261		
Lactobacillus salivarius UCC118	NC_006530	PATRIC	CDS	22276768	VBILacSal43464_0071	43479	43739	-	261		Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276771	VBILacSal43464_0072	1	1365	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus salivarius UCC118	NC_007929	PATRIC	source	22276769		1	1827111	+	1827111		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276770	VBILacSal43464_0072	1	1365	+	1365		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276773	VBILacSal43464_0073	1532	2671	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276772	VBILacSal43464_0073	1532	2671	+	1140		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276775	VBILacSal43464_0074	3088	3309	+	222		FIG002958: hypothetical protein
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276774	VBILacSal43464_0074	3088	3309	+	222		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276777	VBILacSal43464_0075	3309	4448	+	1140		DNA recombination and repair protein RecF
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276776	VBILacSal43464_0075	3309	4448	+	1140		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276779	VBILacSal43464_0076	4451	6409	+	1959		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276778	VBILacSal43464_0076	4451	6409	+	1959		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276781	VBILacSal43464_0077	6446	8998	+	2553		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276780	VBILacSal43464_0077	6446	8998	+	2553		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276782	VBILacSal43464_0078	9217	9507	+	291		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276783	VBILacSal43464_0078	9217	9507	+	291		SSU ribosomal protein S6p
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276784	VBILacSal43464_0079	9548	10099	+	552		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276785	VBILacSal43464_0079	9548	10099	+	552		Single-stranded DNA-binding protein
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276787	VBILacSal43464_0080	10121	10357	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276786	VBILacSal43464_0080	10121	10357	+	237		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276789	VBILacSal43464_0081	10418	11281	-	864		2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276788	VBILacSal43464_0081	10418	11281	-	864		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276791	VBILacSal43464_0082	11427	12440	+	1014		Glycosyltransferase (EC 2.4.1.-)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276790	VBILacSal43464_0082	11427	12440	+	1014		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276792	VBILacSal43464_0083	12669	13451	+	783		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276793	VBILacSal43464_0083	12669	13451	+	783		Membrane proteins related to metalloendopeptidase-like
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276795	VBILacSal43464_0084	13691	15613	+	1923		Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276794	VBILacSal43464_0084	13691	15613	+	1923		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276796	VBILacSal43464_0085	15714	16088	+	375		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276797	VBILacSal43464_0085	15714	16088	+	375		FIG00749053: hypothetical protein
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276799	VBILacSal43464_0086	16072	16290	+	219		FIG00754145: hypothetical protein
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276798	VBILacSal43464_0086	16072	16290	+	219		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276800	VBILacSal43464_0087	16466	16843	+	378		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276801	VBILacSal43464_0087	16466	16843	+	378		Large-conductance mechanosensitive channel
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276802	VBILacSal43464_0088	16903	18789	-	1887		
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276803	VBILacSal43464_0088	16903	18789	-	1887		Pyruvate oxidase (EC 1.2.3.3)
Lactobacillus salivarius UCC118	NC_007929	PATRIC	CDS	22276805	VBILacSal43464_0089	19313	19639	+	327		hypothetical protein
Lactobacillus salivarius UCC118	NC_007929	PATRIC	gene	22276804	VBILacSal43464_0089	19313	19639	+	327		
