GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	source	37026200		1	521992	+	521992		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026202	VBILacReu94827_0001	378	1628	-	1251		Tyrosyl-tRNA synthetase (EC 6.1.1.1)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026201	VBILacReu94827_0001	378	1628	-	1251		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026204	VBILacReu94827_0002	1981	3030	-	1050		FIG00752849: hypothetical protein
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026203	VBILacReu94827_0002	1981	3030	-	1050		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026206	VBILacReu94827_0003	3198	3884	-	687		Phosphoglycerate mutase (EC 5.4.2.1)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026205	VBILacReu94827_0003	3198	3884	-	687		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026208	VBILacReu94827_0004	3980	5239	-	1260		Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026207	VBILacReu94827_0004	3980	5239	-	1260		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026210	VBILacReu94827_0005	5255	6793	-	1539		IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026209	VBILacReu94827_0005	5255	6793	-	1539		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026211	VBILacReu94827_0006	6797	7369	-	573		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026212	VBILacReu94827_0006	6797	7369	-	573		Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026213	VBILacReu94827_0007	7379	8416	-	1038		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026214	VBILacReu94827_0007	7379	8416	-	1038		Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026215	VBILacReu94827_0008	8421	9875	-	1455		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026216	VBILacReu94827_0008	8421	9875	-	1455		Amidophosphoribosyltransferase (EC 2.4.2.14)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026217	VBILacReu94827_0009	9851	12079	-	2229		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026218	VBILacReu94827_0009	9851	12079	-	2229		Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026220	VBILacReu94827_0010	12083	12763	-	681		Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026219	VBILacReu94827_0010	12083	12763	-	681		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026221	VBILacReu94827_0011	12764	13012	-	249		
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026222	VBILacReu94827_0011	12764	13012	-	249		Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	CDS	37026224	VBILacReu94827_0012	13013	13732	-	720		Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
Lactobacillus reuteri MM4-1A	NZ_GG698406	PATRIC	gene	37026223	VBILacReu94827_0012	13013	13732	-	720		
