GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118814	VBILacIne171726_0001	1	1155	-	1155		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118815	VBILacIne171726_0001	1	1155	-	1155		Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	source	42118813		1	56244	+	56244		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118817	VBILacIne171726_0002	1159	2598	-	1440		Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118816	VBILacIne171726_0002	1159	2598	-	1440		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118819	VBILacIne171726_0003	2598	2900	-	303		Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118818	VBILacIne171726_0003	2598	2900	-	303		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118821	VBILacIne171726_0004	2911	4041	-	1131		Putative pheromone cAM373 precursor lipoprotein CamS
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118820	VBILacIne171726_0004	2911	4041	-	1131		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118822	VBILacIne171726_0005	4047	5750	-	1704		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118823	VBILacIne171726_0005	4047	5750	-	1704		DNA ligase (EC 6.5.1.2)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118824	VBILacIne171726_0006	5735	6064	-	330		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118825	VBILacIne171726_0006	5735	6064	-	330		DNA ligase (EC 6.5.1.2)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118826	VBILacIne171726_0007	6078	6569	-	492		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118827	VBILacIne171726_0007	6078	6569	-	492		ATP-dependent DNA helicase UvrD/PcrA
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118829	VBILacIne171726_0008	6572	8305	-	1734		ATP-dependent DNA helicase UvrD/PcrA
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118828	VBILacIne171726_0008	6572	8305	-	1734		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118830	VBILacIne171726_0009	8407	9018	-	612		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118831	VBILacIne171726_0009	8407	9018	-	612		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118833	VBILacIne171726_0010	9021	9632	-	612		Substrate-specific component PanT of predicted pantothenate ECF transporter
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118832	VBILacIne171726_0010	9021	9632	-	612		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118834	VBILacIne171726_r001	9690	9775	-	86		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	tRNA	42118835	VBILacIne171726_r001	9690	9775	-	86		tRNA-Leu-AAG
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118836	VBILacIne171726_0011	9847	10989	-	1143		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118837	VBILacIne171726_0011	9847	10989	-	1143		Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118839	VBILacIne171726_0012	11136	13799	-	2664		Calcium-transporting ATPase (EC 3.6.3.8)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118838	VBILacIne171726_0012	11136	13799	-	2664		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118841	VBILacIne171726_0013	13985	14719	-	735		NAD synthetase (EC 6.3.1.5)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118840	VBILacIne171726_0013	13985	14719	-	735		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118842	VBILacIne171726_0014	14825	16303	-	1479		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118843	VBILacIne171726_0014	14825	16303	-	1479		Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118845	VBILacIne171726_0015	16354	17052	-	699		Putative mannosyltransferase involved in polysaccharide biosynthesis
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118844	VBILacIne171726_0015	16354	17052	-	699		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118846	VBILacIne171726_0016	17115	18203	-	1089		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118847	VBILacIne171726_0016	17115	18203	-	1089		Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118849	VBILacIne171726_0017	18239	18964	-	726		N-acetylmannosaminyltransferase (EC 2.4.1.187)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118848	VBILacIne171726_0017	18239	18964	-	726		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118851	VBILacIne171726_0018	18968	19591	-	624		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118850	VBILacIne171726_0018	18968	19591	-	624		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118853	VBILacIne171726_0019	19641	20396	-	756		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118852	VBILacIne171726_0019	19641	20396	-	756		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118855	VBILacIne171726_0020	20411	21544	-	1134		CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118854	VBILacIne171726_0020	20411	21544	-	1134		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118857	VBILacIne171726_0021	21682	22071	+	390		Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118856	VBILacIne171726_0021	21682	22071	+	390		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118858	VBILacIne171726_0022	22300	23553	+	1254		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118859	VBILacIne171726_0022	22300	23553	+	1254		major facilitator superfamily permease
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118861	VBILacIne171726_0023	23653	24354	-	702		Transcriptional regulator, GntR family
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118860	VBILacIne171726_0023	23653	24354	-	702		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118862	VBILacIne171726_r002	24486	24557	-	72		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	tRNA	42118863	VBILacIne171726_r002	24486	24557	-	72		tRNA-Gln-TTG
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	tRNA	42118865	VBILacIne171726_r003	24565	24646	-	82		tRNA-Tyr-GTA
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118864	VBILacIne171726_r003	24565	24646	-	82		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118867	VBILacIne171726_0024	24758	25666	-	909		L-lactate dehydrogenase (EC 1.1.1.27)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118866	VBILacIne171726_0024	24758	25666	-	909		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	tRNA	42118869	VBILacIne171726_r004	25777	25851	-	75		tRNA-Gln-TTG
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118868	VBILacIne171726_r004	25777	25851	-	75		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118872	VBILacIne171726_0025	25908	26357	-	450		Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118871	VBILacIne171726_0025	25908	26357	-	450		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118870	VBILacIne171726_pg001	25908	27072	-	1165		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118873	VBILacIne171726_0026	26443	27072	-	630		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118874	VBILacIne171726_0026	26443	27072	-	630		Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118876	VBILacIne171726_0027	27072	28280	-	1209		Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118875	VBILacIne171726_0027	27072	28280	-	1209		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118878	VBILacIne171726_0028	28277	28756	-	480		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118879	VBILacIne171726_0028	28277	28756	-	480		3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	gene	42118877	VBILacIne171726_pg002	28277	29442	-	1166		
Lactobacillus iners LactinV 03V1-b	NZ_AEHP01000001	PATRIC	CDS	42118881	VBILacIne171726_0029	28822	29442	-	621		3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
