GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	source	27453004		1	1030662	+	1030662		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453005	VBILacJoh81045_0001	42	1415	-	1374		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453006	VBILacJoh81045_0001	42	1415	-	1374		D-serine/D-alanine/glycine transporter
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453007	VBILacJoh81045_0002	1729	4338	+	2610		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453008	VBILacJoh81045_0002	1729	4338	+	2610		Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453009	VBILacJoh81045_0003	4531	4953	-	423		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453010	VBILacJoh81045_0003	4531	4953	-	423		FIG00745605: hypothetical protein
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453011	VBILacJoh81045_0004	5237	5944	+	708		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453012	VBILacJoh81045_0004	5237	5944	+	708		4-carboxymuconolactone decarboxylase (EC 4.1.1.44)
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453014	VBILacJoh81045_0005	6055	7935	+	1881		FIG00746980: hypothetical protein
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453013	VBILacJoh81045_0005	6055	7935	+	1881		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453015	VBILacJoh81045_0006	7939	9273	+	1335		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453016	VBILacJoh81045_0006	7939	9273	+	1335		probable ATP /GTP binding protein
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453017	VBILacJoh81045_0007	9281	11503	+	2223		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453018	VBILacJoh81045_0007	9281	11503	+	2223		ATP-dependent helicase
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453019	VBILacJoh81045_0008	11545	12537	-	993		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453020	VBILacJoh81045_0008	11545	12537	-	993		UDP-glucose 4-epimerase (EC 5.1.3.2)
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453022	VBILacJoh81045_0009	12738	13367	-	630		FIG00754043: hypothetical protein
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453021	VBILacJoh81045_0009	12738	13367	-	630		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	gene	27453023	VBILacJoh81045_0010	13490	14821	+	1332		
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453024	VBILacJoh81045_0010	13490	14821	+	1332		Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase
Lactobacillus johnsonii ATCC 33200	NZ_GG670120	PATRIC	CDS	27453026	VBILacJoh81045_0011	14903	15760	+	858		oxidoreductase of aldo/keto reductase family, subgroup 1
