GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus salivarius CECT 5713	CP002034	PATRIC	source	43088784		1	1828169	+	1828169		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088785	VBILacSal150030_0001	442	1782	+	1341		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088786	VBILacSal150030_0001	442	1782	+	1341		Chromosomal replication initiator protein DnaA
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088787	VBILacSal150030_0002	2075	3133	+	1059		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088788	VBILacSal150030_0002	2075	3133	+	1059		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088790	VBILacSal150030_0003	3527	3748	+	222		FIG002958: hypothetical protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088789	VBILacSal150030_0003	3527	3748	+	222		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088791	VBILacSal150030_0004	3748	4887	+	1140		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088792	VBILacSal150030_0004	3748	4887	+	1140		DNA recombination and repair protein RecF
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088794	VBILacSal150030_0005	4890	6848	+	1959		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088793	VBILacSal150030_0005	4890	6848	+	1959		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088796	VBILacSal150030_0006	6885	9437	+	2553		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088795	VBILacSal150030_0006	6885	9437	+	2553		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088798	VBILacSal150030_0007	9656	9946	+	291		SSU ribosomal protein S6p
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088797	VBILacSal150030_0007	9656	9946	+	291		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088799	VBILacSal150030_0008	9987	10538	+	552		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088800	VBILacSal150030_0008	9987	10538	+	552		Single-stranded DNA-binding protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088801	VBILacSal150030_0009	10560	10796	+	237		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088802	VBILacSal150030_0009	10560	10796	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088803	VBILacSal150030_0010	10859	11722	-	864		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088804	VBILacSal150030_0010	10859	11722	-	864		2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088806	VBILacSal150030_0011	11868	12881	+	1014		Glycosyltransferase (EC 2.4.1.-)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088805	VBILacSal150030_0011	11868	12881	+	1014		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088808	VBILacSal150030_0012	13083	13889	+	807		Membrane proteins related to metalloendopeptidase-like
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088807	VBILacSal150030_0012	13083	13889	+	807		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088810	VBILacSal150030_0013	14129	16051	+	1923		Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088809	VBILacSal150030_0013	14129	16051	+	1923		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088811	VBILacSal150030_0014	16152	16454	+	303		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088812	VBILacSal150030_0014	16152	16454	+	303		FIG00749053: hypothetical protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088813	VBILacSal150030_0015	16489	16725	+	237		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088814	VBILacSal150030_0015	16489	16725	+	237		FIG00754145: hypothetical protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088815	VBILacSal150030_0016	16901	17278	+	378		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088816	VBILacSal150030_0016	16901	17278	+	378		Large-conductance mechanosensitive channel
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088817	VBILacSal150030_0017	17338	19224	-	1887		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088818	VBILacSal150030_0017	17338	19224	-	1887		Pyruvate oxidase (EC 1.2.3.3)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088820	VBILacSal150030_0018	19748	20074	+	327		hypothetical protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088819	VBILacSal150030_0018	19748	20074	+	327		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088821	VBILacSal150030_0019	20218	21750	+	1533		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088822	VBILacSal150030_0019	20218	21750	+	1533		UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088823	VBILacSal150030_0020	21750	23000	+	1251		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088824	VBILacSal150030_0020	21750	23000	+	1251		probably carbamoylphosphate synthase large subunit, evidenced by COGnitor
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088826	VBILacSal150030_0021	23010	23723	+	714		Aspartate racemase (EC 5.1.1.13)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088825	VBILacSal150030_0021	23010	23723	+	714		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088827	VBILacSal150030_0022	23758	24981	-	1224		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088828	VBILacSal150030_0022	23758	24981	-	1224		Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088830	VBILacSal150030_0023	25115	25681	+	567		FIG00752112: hypothetical protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088829	VBILacSal150030_0023	25115	25681	+	567		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088832	VBILacSal150030_0024	25801	26667	+	867		glucose uptake protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088831	VBILacSal150030_0024	25801	26667	+	867		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088833	VBILacSal150030_0025	26897	28243	+	1347		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088834	VBILacSal150030_0025	26897	28243	+	1347		Integral membrane protein
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	gene	43088835	VBILacSal150030_0026	28258	28818	+	561		
Lactobacillus salivarius CECT 5713	CP002034	PATRIC	CDS	43088836	VBILacSal150030_0026	28258	28818	+	561		GCN5-related N-acetyltransferase
