GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	source	58694754		1	1298316	+	1298316		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694755	VBILacSan150155_0001	380	1729	+	1350		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694756	VBILacSan150155_0001	380	1729	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694757	VBILacSan150155_0002	1942	3081	+	1140		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694758	VBILacSan150155_0002	1942	3081	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694759	VBILacSan150155_0003	3255	3473	+	219		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694760	VBILacSan150155_0003	3255	3473	+	219		FIG002958: hypothetical protein
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694762	VBILacSan150155_0004	3482	4594	+	1113		DNA recombination and repair protein RecF
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694761	VBILacSan150155_0004	3482	4594	+	1113		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694763	VBILacSan150155_0005	4615	6564	+	1950		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694764	VBILacSan150155_0005	4615	6564	+	1950		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694766	VBILacSan150155_0006	6609	9116	+	2508		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694765	VBILacSan150155_0006	6609	9116	+	2508		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694768	VBILacSan150155_0007	9313	9612	+	300		SSU ribosomal protein S6p
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694767	VBILacSan150155_0007	9313	9612	+	300		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694769	VBILacSan150155_0008	9641	10153	+	513		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694770	VBILacSan150155_0008	9641	10153	+	513		Single-stranded DNA-binding protein
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694771	VBILacSan150155_0009	10195	10452	+	258		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694772	VBILacSan150155_0009	10195	10452	+	258		SSU ribosomal protein S18p
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694774	VBILacSan150155_0010	10565	12583	+	2019		Phosphoesterase, DHH family protein
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694773	VBILacSan150155_0010	10565	12583	+	2019		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694776	VBILacSan150155_0011	12614	13066	+	453		LSU ribosomal protein L9p
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694775	VBILacSan150155_0011	12614	13066	+	453		
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	CDS	58694778	VBILacSan150155_0012	13095	14528	+	1434		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	PATRIC	gene	58694777	VBILacSan150155_0012	13095	14528	+	1434		
