GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	source	27440270		1	93192	+	93192		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440272	VBILacJen672_0001	538	1995	-	1458		Cardiolipin synthetase (EC 2.7.8.-)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440271	VBILacJen672_0001	538	1995	-	1458		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440274	VBILacJen672_0002	2074	2997	-	924		cell surface hydrolase (putative)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440273	VBILacJen672_0002	2074	2997	-	924		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440276	VBILacJen672_0003	3072	3836	+	765		Ribonuclease HI (EC 3.1.26.4)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440275	VBILacJen672_0003	3072	3836	+	765		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440277	VBILacJen672_0004	3858	4622	+	765		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440278	VBILacJen672_0004	3858	4622	+	765		TerC-like integral membrane protein
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440280	VBILacJen672_0005	4677	5636	-	960		Extracellular protein
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440279	VBILacJen672_0005	4677	5636	-	960		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440281	VBILacJen672_0006	5802	6614	+	813		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440282	VBILacJen672_0006	5802	6614	+	813		contains glycosyl transferase family 2 region
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440283	VBILacJen672_0007	6633	7289	+	657		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440284	VBILacJen672_0007	6633	7289	+	657		Alpha/beta hydrolase fold (EC 3.8.1.5)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440285	VBILacJen672_0008	7315	7689	-	375		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440286	VBILacJen672_0008	7315	7689	-	375		Integral membrane protein
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440287	VBILacJen672_0009	7854	8816	+	963		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440288	VBILacJen672_0009	7854	8816	+	963		Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440289	VBILacJen672_0010	8955	9641	+	687		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440290	VBILacJen672_0010	8955	9641	+	687		Transcriptional regulator, TetR family
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440291	VBILacJen672_0011	9652	10485	+	834		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440292	VBILacJen672_0011	9652	10485	+	834		FIG00744040: hypothetical protein
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440293	VBILacJen672_0012	10563	12062	-	1500		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440294	VBILacJen672_0012	10563	12062	-	1500		FIG00742077: hypothetical protein
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440296	VBILacJen672_0013	12268	13353	+	1086		D-alanine--D-alanine ligase (EC 6.3.2.4)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440295	VBILacJen672_0013	12268	13353	+	1086		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440297	VBILacJen672_0014	13365	14084	+	720		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440298	VBILacJen672_0014	13365	14084	+	720		contains chromosome segregation ATPase domain
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440299	VBILacJen672_0015	14162	15259	+	1098		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440300	VBILacJen672_0015	14162	15259	+	1098		Transporter
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440302	VBILacJen672_0016	15261	16013	+	753		Integral membrane protein
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440301	VBILacJen672_0016	15261	16013	+	753		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440303	VBILacJen672_0017	16064	19042	-	2979		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440304	VBILacJen672_0017	16064	19042	-	2979		Maltodextrin glucosidase (EC 3.2.1.20)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440305	VBILacJen672_0018	19187	20347	+	1161		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440306	VBILacJen672_0018	19187	20347	+	1161		N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440307	VBILacJen672_0019	20347	21180	+	834		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440308	VBILacJen672_0019	20347	21180	+	834		Beta-glucoside bgl operon antiterminator, BglG family
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440309	VBILacJen672_0020	21376	23346	+	1971		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440310	VBILacJen672_0020	21376	23346	+	1971		PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440312	VBILacJen672_0021	23357	24844	+	1488		6-phospho-beta-glucosidase (EC 3.2.1.86)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440311	VBILacJen672_0021	23357	24844	+	1488		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440313	VBILacJen672_0022	25357	26214	-	858		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440314	VBILacJen672_0022	25357	26214	-	858		Transcriptional regulator, AraC family
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440315	VBILacJen672_0023	26250	27134	-	885		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440316	VBILacJen672_0023	26250	27134	-	885		lipase
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440317	VBILacJen672_0024	27337	28536	+	1200		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440318	VBILacJen672_0024	27337	28536	+	1200		Permease of the major facilitator superfamily
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	gene	27440319	VBILacJen672_0025	28562	29473	+	912		
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440320	VBILacJen672_0025	28562	29473	+	912		Sugar kinase and transcription regulator (EC 2.7.1.-)
Lactobacillus jensenii 269-3	NZ_ACOY01000001	PATRIC	CDS	27440322	VBILacJen672_0026	29729	30949	+	1221		hypothetical protein
