GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus casei BD-II	CP002618	PATRIC	source	54290620		1	3069926	+	3069926		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290621	VBILacCas184581_0001	81	1430	+	1350		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290622	VBILacCas184581_0001	81	1430	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290623	VBILacCas184581_pg001	1438	2740	+	1303		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290624	VBILacCas184581_0002	1601	2740	+	1140		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290625	VBILacCas184581_0002	1601	2740	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290626	VBILacCas184581_0003	2840	3022	-	183		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290627	VBILacCas184581_0003	2840	3022	-	183		hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290629	VBILacCas184581_0004	3286	3429	+	144		hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290628	VBILacCas184581_0004	3286	3429	+	144		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290630	VBILacCas184581_0005	3593	3805	+	213		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290631	VBILacCas184581_0005	3593	3805	+	213		FIG002958: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290632	VBILacCas184581_0006	3802	4917	+	1116		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290633	VBILacCas184581_0006	3802	4917	+	1116		DNA recombination and repair protein RecF
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290634	VBILacCas184581_0007	5046	7007	+	1962		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290635	VBILacCas184581_0007	5046	7007	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290637	VBILacCas184581_0008	7069	9690	+	2622		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290636	VBILacCas184581_0008	7069	9690	+	2622		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290638	VBILacCas184581_0009	9795	10499	-	705		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290639	VBILacCas184581_0009	9795	10499	-	705		Deoxyribose-phosphate aldolase (EC 4.1.2.4)
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290641	VBILacCas184581_0010	10682	11113	+	432		Single-stranded DNA-binding protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290640	VBILacCas184581_0010	10682	11113	+	432		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290642	VBILacCas184581_0011	11241	11537	+	297		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290643	VBILacCas184581_0011	11241	11537	+	297		SSU ribosomal protein S6p
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290645	VBILacCas184581_0012	11568	12164	+	597		Single-stranded DNA-binding protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290644	VBILacCas184581_0012	11568	12164	+	597		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290647	VBILacCas184581_0013	12251	12487	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290646	VBILacCas184581_0013	12251	12487	+	237		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290649	VBILacCas184581_0014	12883	14508	+	1626		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290648	VBILacCas184581_0014	12883	14508	+	1626		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290652	VBILacCas184581_0015	15370	16848	+	1479		Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290650	VBILacCas184581_pg002	15370	17860	+	2491		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290651	VBILacCas184581_0015	15370	16848	+	1479		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290654	VBILacCas184581_0016	16841	17860	+	1020		Cytochrome bd-type quinol oxidase, fusion of subunit 1 and subunit 2
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290653	VBILacCas184581_0016	16841	17860	+	1020		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290655	VBILacCas184581_0017	17884	18081	+	198		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290656	VBILacCas184581_0017	17884	18081	+	198		FIG00743550: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290658	VBILacCas184581_0018	18154	18747	-	594		Predicted integral membrane protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290657	VBILacCas184581_0018	18154	18747	-	594		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290660	VBILacCas184581_0019	19144	19539	-	396		hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290659	VBILacCas184581_0019	19144	19539	-	396		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290663	VBILacCas184581_0020	19752	20054	-	303		FIG00749270: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290662	VBILacCas184581_0020	19752	20054	-	303		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290661	VBILacCas184581_pg003	19752	20120	-	369		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290664	VBILacCas184581_0021	20327	21184	-	858		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290665	VBILacCas184581_0021	20327	21184	-	858		CAAX amino terminal protease family
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290667	VBILacCas184581_0022	21264	21446	-	183		hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290666	VBILacCas184581_0022	21264	21446	-	183		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290669	VBILacCas184581_0023	22174	23409	-	1236		FIG00743123: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290668	VBILacCas184581_0023	22174	23409	-	1236		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290670	VBILacCas184581_0024	23613	26186	-	2574		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290671	VBILacCas184581_0024	23613	26186	-	2574		ABC transporter, permease protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290672	VBILacCas184581_0025	26199	26900	-	702		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290673	VBILacCas184581_0025	26199	26900	-	702		ABC transporter, ATP-binding protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290674	VBILacCas184581_0026	27180	27731	+	552		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290675	VBILacCas184581_0026	27180	27731	+	552		Transcriptional regulator
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290676	VBILacCas184581_0027	27775	28581	+	807		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290677	VBILacCas184581_0027	27775	28581	+	807		Predicted hydrolase of the HAD superfamily
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290678	VBILacCas184581_0028	28586	28906	+	321		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290679	VBILacCas184581_0028	28586	28906	+	321		FIG00744246: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290681	VBILacCas184581_0029	29132	29812	+	681		hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290680	VBILacCas184581_0029	29132	29812	+	681		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290683	VBILacCas184581_0030	30268	32418	-	2151		FIG00749963: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290682	VBILacCas184581_0030	30268	32418	-	2151		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290684	VBILacCas184581_0031	32487	33374	-	888		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290685	VBILacCas184581_0031	32487	33374	-	888		Predicted permease
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290687	VBILacCas184581_0032	33556	34161	+	606		Predicted integral membrane protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290686	VBILacCas184581_0032	33556	34161	+	606		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290689	VBILacCas184581_0033	34285	35178	-	894		Magnesium and cobalt transport protein CorA
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290688	VBILacCas184581_0033	34285	35178	-	894		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290691	VBILacCas184581_0034	35227	35865	-	639		Transcriptional regulator, TetR family
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290690	VBILacCas184581_0034	35227	35865	-	639		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290693	VBILacCas184581_0035	36094	37470	+	1377		Manganese transport protein MntH
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290692	VBILacCas184581_0035	36094	37470	+	1377		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290694	VBILacCas184581_0036	37693	37911	-	219		
Lactobacillus casei BD-II	CP002618	PATRIC	CDS	54290695	VBILacCas184581_0036	37693	37911	-	219		FIG00746394: hypothetical protein
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290696	VBILacCas184581_pg004	38113	38610	-	498		
Lactobacillus casei BD-II	CP002618	PATRIC	gene	54290697	VBILacCas184581_0037	38113	38472	-	360		
