GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus GG	NC_013198	PATRIC	source	22261346		1	3010111	+	3010111		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261347	VBILacRha2892_0001	1	1350	+	1350		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261348	VBILacRha2892_0001	1	1350	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261350	VBILacRha2892_0002	1524	2663	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261349	VBILacRha2892_0002	1524	2663	+	1140		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261351	VBILacRha2892_0003	2705	2827	-	123		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261352	VBILacRha2892_0003	2705	2827	-	123		FIG00747131: hypothetical protein
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261353	VBILacRha2892_0004	3157	3369	+	213		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261354	VBILacRha2892_0004	3157	3369	+	213		FIG002958: hypothetical protein
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261356	VBILacRha2892_0005	3366	4484	+	1119		DNA recombination and repair protein RecF
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261355	VBILacRha2892_0005	3366	4484	+	1119		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261358	VBILacRha2892_0006	4516	6477	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261357	VBILacRha2892_0006	4516	6477	+	1962		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261359	VBILacRha2892_0007	6540	9152	+	2613		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261360	VBILacRha2892_0007	6540	9152	+	2613		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261362	VBILacRha2892_0008	9845	10075	+	231		hypothetical protein
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261361	VBILacRha2892_0008	9845	10075	+	231		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261364	VBILacRha2892_0009	11006	11437	+	432		Single-stranded DNA-binding protein
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261363	VBILacRha2892_0009	11006	11437	+	432		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261366	VBILacRha2892_0010	11564	11860	+	297		SSU ribosomal protein S6p
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261365	VBILacRha2892_0010	11564	11860	+	297		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261367	VBILacRha2892_0011	11890	12480	+	591		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261368	VBILacRha2892_0011	11890	12480	+	591		Single-stranded DNA-binding protein
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261370	VBILacRha2892_0012	12572	12808	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261369	VBILacRha2892_0012	12572	12808	+	237		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261372	VBILacRha2892_0013	13202	13708	-	507		ThiJ/PfpI family protein
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261371	VBILacRha2892_0013	13202	13708	-	507		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261374	VBILacRha2892_0014	14019	15497	+	1479		Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261373	VBILacRha2892_0014	14019	15497	+	1479		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	gene	22261375	VBILacRha2892_0015	15490	16509	+	1020		
Lactobacillus rhamnosus GG	NC_013198	PATRIC	CDS	22261376	VBILacRha2892_0015	15490	16509	+	1020		Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)
