GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	source	27449624		1	466977	+	466977		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449625	VBILacJen111417_0001	33	1571	-	1539		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449626	VBILacJen111417_0001	33	1571	-	1539		Citrate lyase alpha chain (EC 4.1.3.6)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449628	VBILacJen111417_0002	1561	2475	-	915		Citrate lyase beta chain (EC 4.1.3.6)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449627	VBILacJen111417_0002	1561	2475	-	915		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449629	VBILacJen111417_0003	2476	2769	-	294		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449630	VBILacJen111417_0003	2476	2769	-	294		Citrate lyase gamma chain, acyl carrier protein (EC 4.1.3.6)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449632	VBILacJen111417_0004	2759	3814	-	1056		[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449631	VBILacJen111417_0004	2759	3814	-	1056		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449633	VBILacJen111417_0005	4010	4963	+	954		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449634	VBILacJen111417_0005	4010	4963	+	954		Citrate lyase transcriptional regulator CitI
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449635	VBILacJen111417_0006	4964	5755	-	792		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449636	VBILacJen111417_0006	4964	5755	-	792		FIG00773110: hypothetical protein
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449637	VBILacJen111417_0007	5802	6725	-	924		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449638	VBILacJen111417_0007	5802	6725	-	924		L-lactate dehydrogenase (EC 1.1.1.27)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449639	VBILacJen111417_0008	6751	7887	-	1137		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449640	VBILacJen111417_0008	6751	7887	-	1137		Malate dehydrogenase (EC 1.1.1.37)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449641	VBILacJen111417_0009	7984	8526	-	543		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449642	VBILacJen111417_0009	7984	8526	-	543		putative apo-citrate lyase( EC:2.7.7.- )
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449644	VBILacJen111417_0010	8577	9764	-	1188		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449643	VBILacJen111417_0010	8577	9764	-	1188		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449645	VBILacJen111417_0011	9879	11333	-	1455		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449646	VBILacJen111417_0011	9879	11333	-	1455		2-oxoglutarate-malate translocator
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449647	VBILacJen111417_0012	11609	13030	-	1422		
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449648	VBILacJen111417_0012	11609	13030	-	1422		Di- and tricarboxylate transporter
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	CDS	27449650	VBILacJen111417_0013	13201	14592	-	1392		Fumarate reductase flavoprotein subunit (EC 1.3.99.1)
Lactobacillus jensenii SJ-7A-US	NZ_GG704682	PATRIC	gene	27449649	VBILacJen111417_0013	13201	14592	-	1392		
