GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	source	30729435		1	1145567	+	1145567		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729436	VBILacGas103492_0001	114	1487	-	1374		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729437	VBILacGas103492_0001	114	1487	-	1374		D-serine/D-alanine/glycine transporter
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729438	VBILacGas103492_0002	1793	4402	+	2610		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729439	VBILacGas103492_0002	1793	4402	+	2610		Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729440	VBILacGas103492_0003	4553	4918	-	366		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729441	VBILacGas103492_0003	4553	4918	-	366		FIG00745605: hypothetical protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729442	VBILacGas103492_0004	5218	5925	+	708		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729443	VBILacGas103492_0004	5218	5925	+	708		4-carboxymuconolactone decarboxylase (EC 4.1.1.44)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729445	VBILacGas103492_0005	6035	7924	+	1890		FIG00746980: hypothetical protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729444	VBILacGas103492_0005	6035	7924	+	1890		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729447	VBILacGas103492_0006	7929	9263	+	1335		probable ATP /GTP binding protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729446	VBILacGas103492_0006	7929	9263	+	1335		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729448	VBILacGas103492_0007	9271	11493	+	2223		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729449	VBILacGas103492_0007	9271	11493	+	2223		ATP-dependent helicase
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729450	VBILacGas103492_0037	12770	14101	+	1332		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729451	VBILacGas103492_0037	12770	14101	+	1332		Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729453	VBILacGas103492_0038	14177	15034	+	858		oxidoreductase of aldo/keto reductase family, subgroup 1
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729452	VBILacGas103492_0038	14177	15034	+	858		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	tRNA	30729455	VBILacGas103492_r004	15134	15206	+	73		tRNA-Thr-CGT
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729454	VBILacGas103492_r004	15134	15206	+	73		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729456	VBILacGas103492_0039	15354	16328	+	975		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729457	VBILacGas103492_0039	15354	16328	+	975		FIG00744476: hypothetical protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729459	VBILacGas103492_0040	16428	16949	+	522		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729458	VBILacGas103492_0040	16428	16949	+	522		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729461	VBILacGas103492_0041	16944	17348	-	405		membrane protein, putative
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729460	VBILacGas103492_0041	16944	17348	-	405		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729462	VBILacGas103492_0042	17491	18213	+	723		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729463	VBILacGas103492_0042	17491	18213	+	723		FIG00742387: hypothetical protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729464	VBILacGas103492_0043	18436	19221	+	786		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729465	VBILacGas103492_0043	18436	19221	+	786		surface protein, aggregation promoting factor
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729466	VBILacGas103492_0044	19445	20338	+	894		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729467	VBILacGas103492_0044	19445	20338	+	894		surface protein, aggregation promoting factor
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	tRNA	30729469	VBILacGas103492_r005	20522	20593	+	72		tRNA-Gln-TTG
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729468	VBILacGas103492_r005	20522	20593	+	72		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729470	VBILacGas103492_0045	20651	20971	+	321		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729471	VBILacGas103492_0045	20651	20971	+	321		FIG00742906: hypothetical protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729472	VBILacGas103492_0046	21017	22003	-	987		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729473	VBILacGas103492_0046	21017	22003	-	987		oxidoreductase, Gfo/Idh/MocA family
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729475	VBILacGas103492_0047	22009	22674	-	666		Ribose 5-phosphate isomerase A (EC 5.3.1.6)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729474	VBILacGas103492_0047	22009	22674	-	666		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729477	VBILacGas103492_0048	22825	23664	+	840		Sialic acid utilization regulator, RpiR family
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729476	VBILacGas103492_0048	22825	23664	+	840		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729478	VBILacGas103492_0049	23737	24645	+	909		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729479	VBILacGas103492_0049	23737	24645	+	909		L-2-hydroxyisocaproate dehydrogenase
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	tRNA	30729481	VBILacGas103492_r006	24742	24823	+	82		tRNA-Tyr-GTA
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729480	VBILacGas103492_r006	24742	24823	+	82		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729482	VBILacGas103492_r007	24878	24949	+	72		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	tRNA	30729483	VBILacGas103492_r007	24878	24949	+	72		tRNA-Gln-TTG
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729484	VBILacGas103492_0050	25020	25322	-	303		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729485	VBILacGas103492_0050	25020	25322	-	303		Rhodanese-related sulfurtransferase
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729486	VBILacGas103492_0051	25415	26536	+	1122		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729487	VBILacGas103492_0051	25415	26536	+	1122		FIG00742719: hypothetical protein
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729488	VBILacGas103492_0052	26591	27292	+	702		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729489	VBILacGas103492_0052	26591	27292	+	702		Transcriptional regulator, GntR family
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729490	VBILacGas103492_0053	27342	27728	-	387		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729491	VBILacGas103492_0053	27342	27728	-	387		Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729492	VBILacGas103492_0054	27871	28599	+	729		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729493	VBILacGas103492_0054	27871	28599	+	729		N-acetylmannosaminyltransferase (EC 2.4.1.187)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729495	VBILacGas103492_0055	28619	29719	+	1101		Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729494	VBILacGas103492_0055	28619	29719	+	1101		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729496	VBILacGas103492_0056	29719	31692	+	1974		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729497	VBILacGas103492_0056	29719	31692	+	1974		contains glycosyl transferase group 2 domain
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729499	VBILacGas103492_0057	31803	33275	+	1473		Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729498	VBILacGas103492_0057	31803	33275	+	1473		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729501	VBILacGas103492_0058	33277	34110	+	834		NAD synthetase (EC 6.3.1.5)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729500	VBILacGas103492_0058	33277	34110	+	834		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729502	VBILacGas103492_0059	34282	36957	+	2676		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729503	VBILacGas103492_0059	34282	36957	+	2676		Calcium-transporting ATPase (EC 3.6.3.8)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729505	VBILacGas103492_0060	37045	38613	-	1569		ABC-type multidrug transport system, ATPase and permease components
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729504	VBILacGas103492_0060	37045	38613	-	1569		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729507	VBILacGas103492_0061	38716	39522	-	807		contains transcriptional regulator helix-turn-helix domain
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729506	VBILacGas103492_0061	38716	39522	-	807		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729509	VBILacGas103492_0062	39752	40900	+	1149		CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729508	VBILacGas103492_0062	39752	40900	+	1149		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729510	VBILacGas103492_0063	40912	42348	+	1437		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729511	VBILacGas103492_0063	40912	42348	+	1437		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729512	VBILacGas103492_0064	42345	43046	+	702		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729513	VBILacGas103492_0064	42345	43046	+	702		Putative mannosyltransferase involved in polysaccharide biosynthesis
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729515	VBILacGas103492_0065	43046	43504	+	459		Putative metallopeptidase (Zinc) SprT family
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729514	VBILacGas103492_0065	43046	43504	+	459		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729516	VBILacGas103492_r008	43561	43649	+	89		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	tRNA	30729517	VBILacGas103492_r008	43561	43649	+	89		tRNA-Leu-AAG
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729519	VBILacGas103492_0066	43720	44337	+	618		Substrate-specific component PanT of predicted pantothenate ECF transporter
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729518	VBILacGas103492_0066	43720	44337	+	618		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729521	VBILacGas103492_0067	44339	44965	+	627		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729520	VBILacGas103492_0067	44339	44965	+	627		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729522	VBILacGas103492_0068	45034	47307	+	2274		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729523	VBILacGas103492_0068	45034	47307	+	2274		ATP-dependent DNA helicase UvrD/PcrA
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729524	VBILacGas103492_0069	47347	49353	+	2007		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729525	VBILacGas103492_0069	47347	49353	+	2007		DNA ligase (EC 6.5.1.2)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729527	VBILacGas103492_0070	49376	50515	+	1140		Putative pheromone cAM373 precursor lipoprotein CamS
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729526	VBILacGas103492_0070	49376	50515	+	1140		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	CDS	30729529	VBILacGas103492_0071	50526	50828	+	303		Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729528	VBILacGas103492_0071	50526	50828	+	303		
Lactobacillus gasseri JV-V03	NZ_GG669974	PATRIC	gene	30729530	VBILacGas103492_0072	50828	52267	+	1440		
