GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	source	44745999		1	477166	+	477166		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746000	VBILacCri70875_0001	408	1115	+	708		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746001	VBILacCri70875_0001	408	1115	+	708		Transposase
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746002	VBILacCri70875_0002	1196	1969	+	774		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746003	VBILacCri70875_0002	1196	1969	+	774		ISSth1, transposase (orf2), IS3 family
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746004	VBILacCri70875_0003	1962	2819	-	858		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746005	VBILacCri70875_0003	1962	2819	-	858		Mobile element protein
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746007	VBILacCri70875_0004	3212	4246	-	1035		conserved hypothetical protein
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746006	VBILacCri70875_0004	3212	4246	-	1035		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746008	VBILacCri70875_0005	4272	4610	-	339		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746009	VBILacCri70875_0005	4272	4610	-	339		conserved hypothetical protein
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746011	VBILacCri70875_0006	4607	5605	-	999		conserved hypothetical protein
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746010	VBILacCri70875_0006	4607	5605	-	999		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746013	VBILacCri70875_0007	5662	5832	-	171		conserved hypothetical protein
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746012	VBILacCri70875_0007	5662	5832	-	171		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	gene	44746014	VBILacCri70875_0008	5856	6200	-	345		
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746015	VBILacCri70875_0008	5856	6200	-	345		Adhesion exoprotein
Lactobacillus crispatus CTV-05	NZ_GL531736	PATRIC	CDS	44746017	VBILacCri70875_0009	6251	6658	-	408		Adhesion exoprotein
