GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	source	22267081		1	2968598	+	2968598		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267083	VBILacRha58455_0001	106	1350	+	1245		Chromosomal replication initiator protein DnaA
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267082	VBILacRha58455_0001	106	1350	+	1245		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267084	VBILacRha58455_0002	1524	2663	+	1140		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267085	VBILacRha58455_0002	1524	2663	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267086	VBILacRha58455_0003	3529	3741	+	213		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267087	VBILacRha58455_0003	3529	3741	+	213		FIG002958: hypothetical protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267089	VBILacRha58455_0004	3879	4004	-	126		hypothetical protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267088	VBILacRha58455_0004	3879	4004	-	126		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267090	VBILacRha58455_0005	4344	4856	+	513		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267091	VBILacRha58455_0005	4344	4856	+	513		DNA recombination and repair protein RecF
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267093	VBILacRha58455_0006	4888	6849	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267092	VBILacRha58455_0006	4888	6849	+	1962		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267095	VBILacRha58455_0007	6912	9524	+	2613		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267094	VBILacRha58455_0007	6912	9524	+	2613		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267097	VBILacRha58455_0008	9884	10075	-	192		hypothetical protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267096	VBILacRha58455_0008	9884	10075	-	192		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267098	VBILacRha58455_0009	11378	11809	+	432		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267099	VBILacRha58455_0009	11378	11809	+	432		Single-stranded DNA-binding protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267101	VBILacRha58455_0010	11936	12232	+	297		SSU ribosomal protein S6p
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267100	VBILacRha58455_0010	11936	12232	+	297		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267103	VBILacRha58455_0011	12262	12852	+	591		Single-stranded DNA-binding protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267102	VBILacRha58455_0011	12262	12852	+	591		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267105	VBILacRha58455_0012	12944	13180	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267104	VBILacRha58455_0012	12944	13180	+	237		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267106	VBILacRha58455_0013	13473	13979	-	507		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267107	VBILacRha58455_0013	13473	13979	-	507		ThiJ/PfpI family protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267108	VBILacRha58455_0014	14290	15768	+	1479		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267109	VBILacRha58455_0014	14290	15768	+	1479		Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267111	VBILacRha58455_0015	15761	16780	+	1020		Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267110	VBILacRha58455_0015	15761	16780	+	1020		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267113	VBILacRha58455_0016	17339	17461	+	123		hypothetical protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267112	VBILacRha58455_0016	17339	17461	+	123		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267114	VBILacRha58455_0017	18365	19042	+	678		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267115	VBILacRha58455_0017	18365	19042	+	678		membrane-bound protease, CAAX family
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267116	VBILacRha58455_0018	19318	20070	-	753		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267117	VBILacRha58455_0018	19318	20070	-	753		ABC-2 type transporter
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267118	VBILacRha58455_0019	20093	21001	-	909		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267119	VBILacRha58455_0019	20093	21001	-	909		FIG00751668: hypothetical protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267121	VBILacRha58455_0020	21739	22824	+	1086		ammonium transporter family protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267120	VBILacRha58455_0020	21739	22824	+	1086		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267122	VBILacRha58455_0021	22842	23951	+	1110		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267123	VBILacRha58455_0021	22842	23951	+	1110		probable monooxygenase
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	CDS	22267125	VBILacRha58455_0022	24169	25419	-	1251		FIG00743123: hypothetical protein
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267124	VBILacRha58455_0022	24169	25419	-	1251		
Lactobacillus rhamnosus Lc 705	NC_013199	PATRIC	gene	22267126	VBILacRha58455_0023	25622	28195	-	2574		
