GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	source	93400813		1	45155	+	45155		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400814	VBILacRos233553_0001	778	6087	-	5310		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400815	VBILacRos233553_0001	778	6087	-	5310		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400817	VBILacRos233553_0002	6593	7441	+	849		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400816	VBILacRos233553_0002	6593	7441	+	849		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400819	VBILacRos233553_0003	7523	8050	-	528		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400818	VBILacRos233553_0003	7523	8050	-	528		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400821	VBILacRos233553_0004	8117	8374	-	258		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400820	VBILacRos233553_0004	8117	8374	-	258		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400823	VBILacRos233553_0005	8398	9693	-	1296		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400822	VBILacRos233553_0005	8398	9693	-	1296		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400825	VBILacRos233553_0006	9899	10831	-	933		Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400824	VBILacRos233553_0006	9899	10831	-	933		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400826	VBILacRos233553_0007	11213	11896	+	684		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400827	VBILacRos233553_0007	11213	11896	+	684		Predicted N-ribosylNicotinamide CRP-like regulator
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400829	VBILacRos233553_0008	11978	12235	-	258		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400828	VBILacRos233553_0008	11978	12235	-	258		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400830	VBILacRos233553_0009	12396	12785	-	390		
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400831	VBILacRos233553_0009	12396	12785	-	390		hypothetical protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	CDS	93400833	VBILacRos233553_0010	12838	13272	-	435		alkaline shock protein
Lactobacillus rossiae DSM 15814	AKZK01000001	PATRIC	gene	93400832	VBILacRos233553_0010	12838	13272	-	435		
