GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000001	PATRIC	source	52787312		1	1435	+	1435		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000001	PATRIC	CDS	52787314	VBILacCor181928_0001	158	1216	-	1059		hypothetical protein
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000001	PATRIC	gene	52787313	VBILacCor181928_0001	158	1216	-	1059		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000002	PATRIC	source	52787315		1	1346	+	1346		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000002	PATRIC	gene	52787316	VBILacCor181928_0002	358	1290	+	933		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000002	PATRIC	CDS	52787317	VBILacCor181928_0002	358	1290	+	933		Inner membrane protein translocase component YidC, OxaA protein
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000003	PATRIC	source	52787318		1	2287	+	2287		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000003	PATRIC	CDS	52787320	VBILacCor181928_0003	32	1282	-	1251		DNA-cytosine methyltransferase (EC 2.1.1.37)
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000003	PATRIC	gene	52787319	VBILacCor181928_0003	32	1282	-	1251		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000003	PATRIC	CDS	52787322	VBILacCor181928_0004	1702	2004	-	303		hypothetical protein
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000003	PATRIC	gene	52787321	VBILacCor181928_0004	1702	2004	-	303		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	source	52787323		1	8413	+	8413		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	CDS	52787325	VBILacCor181928_0005	1375	4596	-	3222		Superfamily II DNA and RNA helicase
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	gene	52787324	VBILacCor181928_0005	1375	4596	-	3222		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	CDS	52787327	VBILacCor181928_0006	4602	7049	-	2448		hypothetical protein
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	gene	52787326	VBILacCor181928_0006	4602	7049	-	2448		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	gene	52787328	VBILacCor181928_0007	7160	7414	-	255		
Lactobacillus coryniformis subsp. torquens KCTC 3535	AEOS01000004	PATRIC	CDS	52787329	VBILacCor181928_0007	7160	7414	-	255		hypothetical protein
