GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450341	VBILacGas139055_r001	1	335	-	335		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	rRNA	36450342	VBILacGas139055_r001	1	335	-	335		Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	source	36450340		1	107076	+	107076		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	tRNA	36450344	VBILacGas139055_r002	391	463	-	73		tRNA-Ala-TGC
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450343	VBILacGas139055_r002	391	463	-	73		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450345	VBILacGas139055_r003	497	570	-	74		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	tRNA	36450346	VBILacGas139055_r003	497	570	-	74		tRNA-Ile-GAT
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	rRNA	36450348	VBILacGas139055_r004	766	2286	-	1521		Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450347	VBILacGas139055_r004	766	2286	-	1521		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450349	VBILacGas139055_0001	2715	4112	-	1398		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450350	VBILacGas139055_0001	2715	4112	-	1398		FIG00743117: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450351	VBILacGas139055_0002	4236	6356	-	2121		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450352	VBILacGas139055_0002	4236	6356	-	2121		ATP-dependent Clp protease ATP-binding subunit ClpA
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450354	VBILacGas139055_0003	6609	7385	-	777		cell surface hydrolase (putative)
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450353	VBILacGas139055_0003	6609	7385	-	777		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450356	VBILacGas139055_0004	7512	7814	-	303		PTS system, cellobiose-specific IIC component
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450355	VBILacGas139055_0004	7512	7814	-	303		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450358	VBILacGas139055_0005	7826	8830	-	1005		PTS system, cellobiose-specific IIC component
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450357	VBILacGas139055_0005	7826	8830	-	1005		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450360	VBILacGas139055_0006	8998	9234	+	237		FIG00743887: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450359	VBILacGas139055_0006	8998	9234	+	237		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450362	VBILacGas139055_0007	9352	10551	+	1200		Permeases of the major facilitator superfamily
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450361	VBILacGas139055_0007	9352	10551	+	1200		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450363	VBILacGas139055_0008	10790	11581	-	792		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450364	VBILacGas139055_0008	10790	11581	-	792		Beta-lactamase class C and other penicillin binding proteins
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450366	VBILacGas139055_0009	11578	11715	-	138		Beta-lactamase class C and other penicillin binding proteins
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450365	VBILacGas139055_0009	11578	11715	-	138		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450368	VBILacGas139055_0010	11720	13042	-	1323		Poly(glycerophosphate chain) D-alanine transfer protein DltD
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450367	VBILacGas139055_0010	11720	13042	-	1323		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450370	VBILacGas139055_0011	13035	13274	-	240		D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450369	VBILacGas139055_0011	13035	13274	-	240		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450371	VBILacGas139055_0012	13305	14387	-	1083		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450372	VBILacGas139055_0012	13305	14387	-	1083		D-alanyl transfer protein DltB
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450373	VBILacGas139055_0013	14523	16031	-	1509		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450374	VBILacGas139055_0013	14523	16031	-	1509		D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450375	VBILacGas139055_0014	16347	16634	-	288		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450376	VBILacGas139055_0014	16347	16634	-	288		FIG00744572: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450377	VBILacGas139055_0015	16636	17787	-	1152		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450378	VBILacGas139055_0015	16636	17787	-	1152		FIG00742425: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450379	VBILacGas139055_0016	18198	18506	-	309		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450380	VBILacGas139055_0016	18198	18506	-	309		FIG00744871: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450382	VBILacGas139055_0017	18509	18796	-	288		FIG00742510: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450381	VBILacGas139055_0017	18509	18796	-	288		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450384	VBILacGas139055_0018	19094	19378	+	285		FIG00747049: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450383	VBILacGas139055_0018	19094	19378	+	285		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450386	VBILacGas139055_0019	19713	20201	+	489		CBS domain protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450385	VBILacGas139055_0019	19713	20201	+	489		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450388	VBILacGas139055_0020	20281	22188	+	1908		Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450387	VBILacGas139055_0020	20281	22188	+	1908		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450389	VBILacGas139055_0021	22323	23483	+	1161		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450390	VBILacGas139055_0021	22323	23483	+	1161		Na+/H+ antiporter NapA
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450391	VBILacGas139055_0022	23533	23703	-	171		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450392	VBILacGas139055_0022	23533	23703	-	171		FIG00746330: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450394	VBILacGas139055_0023	23704	25281	-	1578		ABC transporter ATPase and permease components
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450393	VBILacGas139055_0023	23704	25281	-	1578		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450395	VBILacGas139055_0024	25383	26297	+	915		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450396	VBILacGas139055_0024	25383	26297	+	915		Transcriptional regulator, xre family
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450397	VBILacGas139055_0025	26852	26986	-	135		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450398	VBILacGas139055_0025	26852	26986	-	135		FIG00745243: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450400	VBILacGas139055_0026	27373	28020	-	648		Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450399	VBILacGas139055_0026	27373	28020	-	648		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450402	VBILacGas139055_0027	28039	28962	-	924		putative membrane protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450401	VBILacGas139055_0027	28039	28962	-	924		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450403	VBILacGas139055_0028	28964	29638	-	675		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450404	VBILacGas139055_0028	28964	29638	-	675		FIG00743102: hypothetical protein
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450405	VBILacGas139055_0029	29800	31251	+	1452		
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	CDS	36450406	VBILacGas139055_0029	29800	31251	+	1452		PTS system, galactitol-specific IIC component (EC 2.7.1.69)
Lactobacillus gasseri 224-1	NZ_ADFT01000001	PATRIC	gene	36450407	VBILacGas139055_0030	31379	31489	+	111		
