GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	source	71443649		1	98376	+	98376		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443651	VBIPedAci223341_0001	49	1389	+	1341		Chromosomal replication initiator protein DnaA
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443650	VBIPedAci223341_0001	49	1389	+	1341		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443653	VBIPedAci223341_0002	1565	2704	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443652	VBIPedAci223341_0002	1565	2704	+	1140		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443654	VBIPedAci223341_0003	3311	3538	+	228		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443655	VBIPedAci223341_0003	3311	3538	+	228		FIG002958: hypothetical protein
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443657	VBIPedAci223341_0004	3539	4663	+	1125		DNA recombination and repair protein RecF
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443656	VBIPedAci223341_0004	3539	4663	+	1125		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443659	VBIPedAci223341_0005	4667	6613	+	1947		DNA gyrase subunit B (EC 5.99.1.3)
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443658	VBIPedAci223341_0005	4667	6613	+	1947		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443660	VBIPedAci223341_0006	6660	9191	+	2532		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443661	VBIPedAci223341_0006	6660	9191	+	2532		DNA gyrase subunit A (EC 5.99.1.3)
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443662	VBIPedAci223341_0007	9377	9664	+	288		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443663	VBIPedAci223341_0007	9377	9664	+	288		SSU ribosomal protein S6p
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	CDS	71443665	VBIPedAci223341_0008	9701	10222	+	522		Single-stranded DNA-binding protein
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443664	VBIPedAci223341_0008	9701	10222	+	522		
Pediococcus acidilactici MA18/5M	AGKB01000001	PATRIC	gene	71443666	VBIPedAci223341_0009	10252	10488	+	237		
