GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	source	46765351		1	18772	+	18772		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765352	VBILacIne177967_0001	1477	2349	-	873		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765353	VBILacIne177967_0001	1477	2349	-	873		aldose epimerase family protein
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765354	VBILacIne177967_0002	2533	3210	-	678		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765355	VBILacIne177967_0002	2533	3210	-	678		FIG00744856: hypothetical protein
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765357	VBILacIne177967_0003	3223	3798	-	576		Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765356	VBILacIne177967_0003	3223	3798	-	576		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765359	VBILacIne177967_0004	3816	4244	-	429		Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765358	VBILacIne177967_0004	3816	4244	-	429		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765361	VBILacIne177967_0005	4254	5012	-	759		Lactose phosphotransferase system repressor
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765360	VBILacIne177967_0005	4254	5012	-	759		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765362	VBILacIne177967_0006	5130	6122	-	993		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765363	VBILacIne177967_0006	5130	6122	-	993		Tagatose 1,6-diphosphate aldolase (EC 4.1.2.40)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765364	VBILacIne177967_0007	6223	7626	-	1404		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765365	VBILacIne177967_0007	6223	7626	-	1404		6-phospho-beta-galactosidase (EC 3.2.1.85)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765367	VBILacIne177967_0008	7695	9386	-	1692		PTS system, lactose-specific IIB component (EC 2.7.1.69) / PTS system, lactose-specific IIC component (EC 2.7.1.69)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765366	VBILacIne177967_0008	7695	9386	-	1692		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765368	VBILacIne177967_0009	9391	9702	-	312		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765369	VBILacIne177967_0009	9391	9702	-	312		PTS system, lactose-specific IIA component (EC 2.7.1.69)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765371	VBILacIne177967_0010	10118	11116	-	999		MSM (multiple sugar metabolism) operon regulatory protein
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765370	VBILacIne177967_0010	10118	11116	-	999		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765372	VBILacIne177967_0011	11118	12791	-	1674		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765373	VBILacIne177967_0011	11118	12791	-	1674		Oligo-1,6-glucosidase (EC 3.2.1.10)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765375	VBILacIne177967_0012	12788	13210	-	423		PTS system, mannose-specific IIA component (EC 2.7.1.69)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765374	VBILacIne177967_0012	12788	13210	-	423		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765376	VBILacIne177967_0013	13225	14061	-	837		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765377	VBILacIne177967_0013	13225	14061	-	837		PTS system, mannose-specific IID component (EC 2.7.1.69)
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765378	VBILacIne177967_0014	14054	14860	-	807		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765379	VBILacIne177967_0014	14054	14860	-	807		phosphoenolpyruvate-dependent sugar phosphotransferase system EIIC, probable sorbose specific
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765381	VBILacIne177967_0015	14863	15354	-	492		phosphoenolpyruvate-dependent sugar phosphotransferase system EIIB, probable sorbose specific
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765380	VBILacIne177967_0015	14863	15354	-	492		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	gene	46765382	VBILacIne177967_0016	15624	18722	-	3099		
Lactobacillus iners UPII 60-B	NZ_AEXK01000001	PATRIC	CDS	46765383	VBILacIne177967_0016	15624	18722	-	3099		Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)
Lactobacillus iners UPII 60-B	NZ_AEXK01000002	PATRIC	source	46765384		1	47435	+	47435		
Lactobacillus iners UPII 60-B	NZ_AEXK01000002	PATRIC	CDS	46765386	VBILacIne177967_0017	58	3012	-	2955		contains glycosyl hydrolases family 31 domain
Lactobacillus iners UPII 60-B	NZ_AEXK01000002	PATRIC	gene	46765385	VBILacIne177967_0017	58	3012	-	2955		
