GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus casei LC2W	CP002616	PATRIC	source	54297182		1	3039042	+	3039042		
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297183	VBILacCas186771_0001	81	1430	+	1350		
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297184	VBILacCas186771_0001	81	1430	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297185	VBILacCas186771_pg001	1438	2740	+	1303		
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297186	VBILacCas186771_0002	1601	2740	+	1140		
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297187	VBILacCas186771_0002	1601	2740	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297189	VBILacCas186771_0003	3286	3429	+	144		hypothetical protein
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297188	VBILacCas186771_0003	3286	3429	+	144		
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297191	VBILacCas186771_0004	3593	3805	+	213		FIG002958: hypothetical protein
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297190	VBILacCas186771_0004	3593	3805	+	213		
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297193	VBILacCas186771_0005	3802	4917	+	1116		DNA recombination and repair protein RecF
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297192	VBILacCas186771_0005	3802	4917	+	1116		
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297194	VBILacCas186771_0006	5046	7007	+	1962		
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297195	VBILacCas186771_0006	5046	7007	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus casei LC2W	CP002616	PATRIC	CDS	54297197	VBILacCas186771_0007	7069	9690	+	2622		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297196	VBILacCas186771_0007	7069	9690	+	2622		
Lactobacillus casei LC2W	CP002616	PATRIC	gene	54297198	VBILacCas186771_0008	9795	10499	-	705		
