GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus florum 2F	ALXF01000001	PATRIC	source	101736706		1	586	+	586		
Lactobacillus florum 2F	ALXF01000001	PATRIC	gene	101736707	VBILacFlo254402_0001	183	332	-	150		
Lactobacillus florum 2F	ALXF01000001	PATRIC	CDS	101736708	VBILacFlo254402_0001	183	332	-	150		hypothetical protein
Lactobacillus florum 2F	ALXF01000002	PATRIC	source	101736709		1	1037	+	1037		
Lactobacillus florum 2F	ALXF01000002	PATRIC	gene	101736710	VBILacFlo254402_0002	470	847	+	378		
Lactobacillus florum 2F	ALXF01000002	PATRIC	CDS	101736711	VBILacFlo254402_0002	470	847	+	378		hypothetical protein
Lactobacillus florum 2F	ALXF01000003	PATRIC	source	101736712		1	15996	+	15996		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736714	VBILacFlo254402_0003	72	1661	-	1590		Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736713	VBILacFlo254402_0003	72	1661	-	1590		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736716	VBILacFlo254402_0004	1679	4657	-	2979		Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736715	VBILacFlo254402_0004	1679	4657	-	2979		
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736717	VBILacFlo254402_0005	4731	5297	-	567		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736718	VBILacFlo254402_0005	4731	5297	-	567		FIG00753329: hypothetical protein
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736720	VBILacFlo254402_0006	5656	6381	-	726		hypothetical protein
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736719	VBILacFlo254402_0006	5656	6381	-	726		
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736721	VBILacFlo254402_0007	6700	7896	-	1197		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736722	VBILacFlo254402_0007	6700	7896	-	1197		Ammonium transporter
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736723	VBILacFlo254402_0008	8087	9424	+	1338		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736724	VBILacFlo254402_0008	8087	9424	+	1338		Aminotransferase class-III
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736726	VBILacFlo254402_0009	9429	9998	-	570		DNA-3-methyladenine glycosylase (EC 3.2.2.20)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736725	VBILacFlo254402_0009	9429	9998	-	570		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736728	VBILacFlo254402_0010	10160	11080	-	921		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736727	VBILacFlo254402_0010	10160	11080	-	921		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736730	VBILacFlo254402_0011	11102	12727	-	1626		Ribokinase (EC 2.7.1.15)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736729	VBILacFlo254402_0011	11102	12727	-	1626		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736732	VBILacFlo254402_0012	13072	14097	+	1026		Sorbitol dehydrogenase (EC 1.1.1.14)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736731	VBILacFlo254402_0012	13072	14097	+	1026		
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736733	VBILacFlo254402_0013	14119	14946	+	828		
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736734	VBILacFlo254402_0013	14119	14946	+	828		sugar specific permease (putative)
Lactobacillus florum 2F	ALXF01000003	PATRIC	CDS	101736736	VBILacFlo254402_0014	15075	15965	-	891		Predicted cell-wall-anchored protein SasA (LPXTG motif)
Lactobacillus florum 2F	ALXF01000003	PATRIC	gene	101736735	VBILacFlo254402_0014	15075	15965	-	891		
Lactobacillus florum 2F	ALXF01000004	PATRIC	source	101736737		1	59916	+	59916		
Lactobacillus florum 2F	ALXF01000004	PATRIC	gene	101736738	VBILacFlo254402_0015	50	1357	+	1308		
Lactobacillus florum 2F	ALXF01000004	PATRIC	CDS	101736739	VBILacFlo254402_0015	50	1357	+	1308		GTP-binding protein EngA
Lactobacillus florum 2F	ALXF01000004	PATRIC	CDS	101736741	VBILacFlo254402_0016	1561	1836	+	276		DNA-binding protein HBsu
