GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	source	72118702		1	639968	+	639968		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118704	VBILacPla196510_0001	1457	2362	-	906		Permease of the drug/metabolite transporter (DMT) superfamily
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118703	VBILacPla196510_0001	1457	2362	-	906		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118705	VBILacPla196510_0002	2556	3257	+	702		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118706	VBILacPla196510_0002	2556	3257	+	702		Acyltransferase
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118707	VBILacPla196510_0003	3428	4351	-	924		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118708	VBILacPla196510_0003	3428	4351	-	924		metal-dependent hydrolase (putative)
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118709	VBILacPla196510_0004	4451	5074	+	624		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118710	VBILacPla196510_0004	4451	5074	+	624		Transcriptional regulator, TetR family
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118712	VBILacPla196510_0005	5157	5459	-	303		transcription regulator (putative)
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118711	VBILacPla196510_0005	5157	5459	-	303		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118714	VBILacPla196510_0006	5562	6449	-	888		N-acetylmannosamine kinase (EC 2.7.1.60)
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118713	VBILacPla196510_0006	5562	6449	-	888		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	gene	72118715	VBILacPla196510_0007	6642	8399	-	1758		
Lactobacillus plantarum subsp. plantarum NC8	AGRI01000001	PATRIC	CDS	72118716	VBILacPla196510_0007	6642	8399	-	1758		Lipid A export ATP-binding/permease protein MsbA
