GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	source	31201711		1	1227701	+	1227701		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201713	VBILacAci137213_0001	167	1177	+	1011		PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201712	VBILacAci137213_0001	167	1177	+	1011		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201715	VBILacAci137213_0002	1196	2005	+	810		PTS system, mannose-specific IIC component (EC 2.7.1.69)
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201714	VBILacAci137213_0002	1196	2005	+	810		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201717	VBILacAci137213_0003	2034	2957	+	924		PTS system, mannose-specific IID component (EC 2.7.1.69)
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201716	VBILacAci137213_0003	2034	2957	+	924		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201719	VBILacAci137213_0004	2964	3332	+	369		Putative regulator of the mannose operon, ManO
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201718	VBILacAci137213_0004	2964	3332	+	369		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201721	VBILacAci137213_0148	3636	4517	-	882		transcriptional regulator
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201720	VBILacAci137213_0148	3636	4517	-	882		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201723	VBILacAci137213_0149	4859	5152	+	294		Acetyltransferase (isoleucine patch superfamily)
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201722	VBILacAci137213_0149	4859	5152	+	294		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201724	VBILacAci137213_0150	5180	6553	-	1374		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201725	VBILacAci137213_0150	5180	6553	-	1374		D-serine/D-alanine/glycine transporter
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201727	VBILacAci137213_0151	6846	9476	+	2631		Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201726	VBILacAci137213_0151	6846	9476	+	2631		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	gene	31201728	VBILacAci137213_0152	9658	11469	+	1812		
Lactobacillus acidophilus ATCC 4796	NZ_GG669566	PATRIC	CDS	31201729	VBILacAci137213_0152	9658	11469	+	1812		Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
