GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	source	55251091		1	1705688	+	1705688		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251092	VBILacSal194107_0001	61	1389	+	1329		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251093	VBILacSal194107_0001	61	1389	+	1329		Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251094	VBILacSal194107_0002	1349	1606	+	258		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251095	VBILacSal194107_0002	1349	1606	+	258		hypothetical protein
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251096	VBILacSal194107_0003	3938	6307	+	2370		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251097	VBILacSal194107_0003	3938	6307	+	2370		DinG family ATP-dependent helicase CPE1197
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251098	VBILacSal194107_0004	6332	6988	-	657		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251099	VBILacSal194107_0004	6332	6988	-	657		membrane protein
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251100	VBILacSal194107_0005	7070	7318	-	249		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251101	VBILacSal194107_0005	7070	7318	-	249		LSU ribosomal protein L31p
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251102	VBILacSal194107_0006	7424	8707	-	1284		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251103	VBILacSal194107_0006	7424	8707	-	1284		Transcription termination factor Rho
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251105	VBILacSal194107_0007	8718	9989	-	1272		UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251104	VBILacSal194107_0007	8718	9989	-	1272		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251106	VBILacSal194107_0008	10245	10445	-	201		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251107	VBILacSal194107_0008	10245	10445	-	201		FIG00753478: hypothetical protein
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251108	VBILacSal194107_0009	10557	12155	-	1599		
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	CDS	55251109	VBILacSal194107_0009	10557	12155	-	1599		CTP synthase (EC 6.3.4.2)
Lactobacillus salivarius NIAS840	AFMN01000001	PATRIC	gene	55251110	VBILacSal194107_0010	12336	12920	-	585		
