GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	source	45112848		1	1229783	+	1229783		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112850	VBILacIne171003_0001	100	1047	+	948		Thioredoxin reductase (EC 1.8.1.9)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112849	VBILacIne171003_0001	100	1047	+	948		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112852	VBILacIne171003_0002	1075	1719	+	645		DedA protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112851	VBILacIne171003_0002	1075	1719	+	645		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112854	VBILacIne171003_0003	1848	2018	-	171		hypothetical protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112853	VBILacIne171003_0003	1848	2018	-	171		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112855	VBILacIne171003_0004	2267	2875	-	609		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112856	VBILacIne171003_0004	2267	2875	-	609		COG4478, integral membrane protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112858	VBILacIne171003_0005	2875	3654	-	780		Hypothetical NagD-like phosphatase
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112857	VBILacIne171003_0005	2875	3654	-	780		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112860	VBILacIne171003_0006	3657	4202	-	546		Hypothetical DUF1027 domain protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112859	VBILacIne171003_0006	3657	4202	-	546		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112861	VBILacIne171003_0007	4203	4535	-	333		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112862	VBILacIne171003_0007	4203	4535	-	333		FIG00742710: hypothetical protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112863	VBILacIne171003_0008	4643	6010	+	1368		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112864	VBILacIne171003_0008	4643	6010	+	1368		Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112865	VBILacIne171003_0009	6025	7422	+	1398		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112866	VBILacIne171003_0009	6025	7422	+	1398		Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112867	VBILacIne171003_0010	7502	8578	-	1077		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112868	VBILacIne171003_0010	7502	8578	-	1077		Catabolite control protein A
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112869	VBILacIne171003_0011	8652	9758	+	1107		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112870	VBILacIne171003_0011	8652	9758	+	1107		Proline dipeptidase (EC 3.4.13.9)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112871	VBILacIne171003_0012	9815	10144	-	330		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112872	VBILacIne171003_0012	9815	10144	-	330		FIG01255542: hypothetical protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112873	VBILacIne171003_0013	10158	10595	-	438		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112874	VBILacIne171003_0013	10158	10595	-	438		General stress protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112875	VBILacIne171003_0014	10720	11565	+	846		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112876	VBILacIne171003_0014	10720	11565	+	846		Potassium efflux system KefA protein / Small-conductance mechanosensitive channel
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112877	VBILacIne171003_0015	11591	12211	-	621		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112878	VBILacIne171003_0015	11591	12211	-	621		Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112880	VBILacIne171003_0016	12229	13014	-	786		Glutamate racemase (EC 5.1.1.3)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112879	VBILacIne171003_0016	12229	13014	-	786		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112881	VBILacIne171003_0017	13110	13508	+	399		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112882	VBILacIne171003_0017	13110	13508	+	399		FIG01227099: hypothetical protein
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112883	VBILacIne171003_0018	13635	13946	-	312		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112884	VBILacIne171003_0018	13635	13946	-	312		Thioredoxin
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112886	VBILacIne171003_0019	14043	16403	-	2361		Recombination inhibitory protein MutS2
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112885	VBILacIne171003_0019	14043	16403	-	2361		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112887	VBILacIne171003_0020	16511	16822	-	312		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112888	VBILacIne171003_0020	16511	16822	-	312		Ortholog of S. aureus MRSA252 (BX571856) SAR1694
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112889	VBILacIne171003_0021	16829	17260	-	432		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112890	VBILacIne171003_0021	16829	17260	-	432		Putative Holliday junction resolvase (EC 3.1.-.-)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112892	VBILacIne171003_0022	17260	17517	-	258		Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112891	VBILacIne171003_0022	17260	17517	-	258		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112894	VBILacIne171003_0023	17597	20230	-	2634		Alanyl-tRNA synthetase (EC 6.1.1.7)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112893	VBILacIne171003_0023	17597	20230	-	2634		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112895	VBILacIne171003_pg001	20452	21833	-	1382		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112896	VBILacIne171003_0024	20574	21833	-	1260		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112897	VBILacIne171003_0024	20574	21833	-	1260		ATP-dependent RNA helicase YqfR
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112898	VBILacIne171003_0025	21820	22776	-	957		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112899	VBILacIne171003_0025	21820	22776	-	957		FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112901	VBILacIne171003_0026	22832	23941	-	1110		DNA polymerase IV (EC 2.7.7.7)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112900	VBILacIne171003_0026	22832	23941	-	1110		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112902	VBILacIne171003_0027	23942	25390	-	1449		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112903	VBILacIne171003_0027	23942	25390	-	1449		Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	gene	45112904	VBILacIne171003_0028	25495	25851	-	357		
Lactobacillus iners ATCC 55195	NZ_GL622333	PATRIC	CDS	45112905	VBILacIne171003_0028	25495	25851	-	357		Preprotein translocase subunit YajC (TC 3.A.5.1.1)
