GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus casei BL23	NC_010999	PATRIC	source	22209531		1	3079196	+	3079196		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209533	VBILacCas89204_0001	81	1430	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209532	VBILacCas89204_0001	81	1430	+	1350		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209535	VBILacCas89204_0002	1603	2742	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209534	VBILacCas89204_0002	1603	2742	+	1140		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209536	VBILacCas89204_0003	3595	3807	+	213		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209537	VBILacCas89204_0003	3595	3807	+	213		FIG002958: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209539	VBILacCas89204_0004	3804	4919	+	1116		DNA recombination and repair protein RecF
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209538	VBILacCas89204_0004	3804	4919	+	1116		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209541	VBILacCas89204_0005	5048	7009	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209540	VBILacCas89204_0005	5048	7009	+	1962		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209542	VBILacCas89204_0006	7071	9692	+	2622		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209543	VBILacCas89204_0006	7071	9692	+	2622		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209545	VBILacCas89204_0007	9797	10501	-	705		Deoxyribose-phosphate aldolase (EC 4.1.2.4)
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209544	VBILacCas89204_0007	9797	10501	-	705		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209546	VBILacCas89204_0008	10684	11115	+	432		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209547	VBILacCas89204_0008	10684	11115	+	432		Single-stranded DNA-binding protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209549	VBILacCas89204_0009	11243	11539	+	297		SSU ribosomal protein S6p
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209548	VBILacCas89204_0009	11243	11539	+	297		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209551	VBILacCas89204_0010	11570	12166	+	597		Single-stranded DNA-binding protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209550	VBILacCas89204_0010	11570	12166	+	597		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209552	VBILacCas89204_0011	12253	12489	+	237		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209553	VBILacCas89204_0011	12253	12489	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209554	VBILacCas89204_0012	12885	14510	+	1626		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209555	VBILacCas89204_0012	12885	14510	+	1626		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209556	VBILacCas89204_0013	15372	16850	+	1479		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209557	VBILacCas89204_0013	15372	16850	+	1479		Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209558	VBILacCas89204_0014	16843	17862	+	1020		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209559	VBILacCas89204_0014	16843	17862	+	1020		Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209560	VBILacCas89204_0015	17886	18083	+	198		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209561	VBILacCas89204_0015	17886	18083	+	198		FIG00743550: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209563	VBILacCas89204_0016	18156	18749	-	594		Predicted integral membrane protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209562	VBILacCas89204_0016	18156	18749	-	594		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209565	VBILacCas89204_0017	19754	20056	-	303		FIG00749270: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209564	VBILacCas89204_0017	19754	20056	-	303		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209567	VBILacCas89204_0018	20329	21186	-	858		CAAX amino terminal protease family
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209566	VBILacCas89204_0018	20329	21186	-	858		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209569	VBILacCas89204_0019	21266	21448	-	183		Putative uncharacterized protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209568	VBILacCas89204_0019	21266	21448	-	183		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209570	VBILacCas89204_0020	22176	23411	-	1236		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209571	VBILacCas89204_0020	22176	23411	-	1236		FIG00743123: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209573	VBILacCas89204_0021	23615	26188	-	2574		ABC transporter, permease protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209572	VBILacCas89204_0021	23615	26188	-	2574		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209574	VBILacCas89204_0022	26201	26902	-	702		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209575	VBILacCas89204_0022	26201	26902	-	702		ABC transporter, ATP-binding protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209576	VBILacCas89204_0023	27182	27733	+	552		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209577	VBILacCas89204_0023	27182	27733	+	552		Transcriptional regulator
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209579	VBILacCas89204_0024	27777	28583	+	807		Predicted hydrolase of the HAD superfamily
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209578	VBILacCas89204_0024	27777	28583	+	807		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209580	VBILacCas89204_0025	28588	28908	+	321		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209581	VBILacCas89204_0025	28588	28908	+	321		FIG00744246: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209583	VBILacCas89204_0026	29134	29814	+	681		hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209582	VBILacCas89204_0026	29134	29814	+	681		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209584	VBILacCas89204_0027	30270	32492	-	2223		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209585	VBILacCas89204_0027	30270	32492	-	2223		FIG00749963: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209587	VBILacCas89204_0028	32489	33376	-	888		Predicted permease
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209586	VBILacCas89204_0028	32489	33376	-	888		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209588	VBILacCas89204_0029	33558	34163	+	606		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209589	VBILacCas89204_0029	33558	34163	+	606		Predicted integral membrane protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209590	VBILacCas89204_0030	34287	35180	-	894		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209591	VBILacCas89204_0030	34287	35180	-	894		Magnesium and cobalt transport protein CorA
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209592	VBILacCas89204_0031	35229	35867	-	639		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209593	VBILacCas89204_0031	35229	35867	-	639		Transcriptional regulator, TetR family
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209594	VBILacCas89204_0032	36096	37472	+	1377		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209595	VBILacCas89204_0032	36096	37472	+	1377		Manganese transport protein MntH
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209597	VBILacCas89204_0033	38115	38474	-	360		FIG00751658: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209596	VBILacCas89204_0033	38115	38474	-	360		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209599	VBILacCas89204_0034	38715	40157	+	1443		dipeptidase, truncated
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209598	VBILacCas89204_0034	38715	40157	+	1443		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209600	VBILacCas89204_0035	40352	40987	+	636		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209601	VBILacCas89204_0035	40352	40987	+	636		Sugar specific permease
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209603	VBILacCas89204_0036	41037	41348	-	312		FIG00745435: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209602	VBILacCas89204_0036	41037	41348	-	312		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209605	VBILacCas89204_0037	41517	41705	+	189		Putative uncharacterized protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209604	VBILacCas89204_0037	41517	41705	+	189		
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209606	VBILacCas89204_0038	41837	41950	-	114		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209607	VBILacCas89204_0038	41837	41950	-	114		FIG00744553: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209608	VBILacCas89204_0039	44103	44813	+	711		
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209609	VBILacCas89204_0039	44103	44813	+	711		FIG00749961: hypothetical protein
Lactobacillus casei BL23	NC_010999	PATRIC	CDS	22209611	VBILacCas89204_0040	44800	45129	+	330		FIG028593: membrane protein
Lactobacillus casei BL23	NC_010999	PATRIC	gene	22209610	VBILacCas89204_0040	44800	45129	+	330		
