GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	source	30722059		1	342590	+	342590		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722061	VBILacFer68609_0001	82	849	-	768		Mobile element protein
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722060	VBILacFer68609_0001	82	849	-	768		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722062	VBILacFer68609_0002	1232	1399	+	168		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722063	VBILacFer68609_0002	1232	1399	+	168		Mobile element protein
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722064	VBILacFer68609_0003	1556	2227	-	672		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722065	VBILacFer68609_0003	1556	2227	-	672		FIG028593: membrane protein
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722066	VBILacFer68609_0004	2475	3767	+	1293		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722067	VBILacFer68609_0004	2475	3767	+	1293		Proton/glutamate symport protein @ Sodium/glutamate symport protein
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722068	VBILacFer68609_0005	3770	5578	+	1809		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722069	VBILacFer68609_0005	3770	5578	+	1809		Oligoendopeptidase F
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722071	VBILacFer68609_0006	5850	6851	-	1002		Transcriptional regulator, LacI family
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722070	VBILacFer68609_0006	5850	6851	-	1002		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722072	VBILacFer68609_0007	6868	7293	-	426		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722073	VBILacFer68609_0007	6868	7293	-	426		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722074	VBILacFer68609_0008	7324	7635	-	312		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722075	VBILacFer68609_0008	7324	7635	-	312		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722077	VBILacFer68609_0009	7794	8249	-	456		Transcriptional regulator, AsnC family
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722076	VBILacFer68609_0009	7794	8249	-	456		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722078	VBILacFer68609_0010	8411	8884	+	474		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722079	VBILacFer68609_0010	8411	8884	+	474		Universal stress protein family
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722081	VBILacFer68609_0011	9250	10689	-	1440		6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722080	VBILacFer68609_0011	9250	10689	-	1440		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722083	VBILacFer68609_0012	10874	12355	-	1482		Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722082	VBILacFer68609_0012	10874	12355	-	1482		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722084	VBILacFer68609_0013	12846	13823	-	978		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722085	VBILacFer68609_0013	12846	13823	-	978		Cyanate permease
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722086	VBILacFer68609_0014	13858	14001	+	144		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722087	VBILacFer68609_0014	13858	14001	+	144		hypothetical protein
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722088	VBILacFer68609_0015	14208	14639	+	432		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722089	VBILacFer68609_0015	14208	14639	+	432		PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	CDS	30722091	VBILacFer68609_0016	14884	15348	-	465		Ribonucleotide reduction protein NrdI
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722090	VBILacFer68609_0016	14884	15348	-	465		
Lactobacillus fermentum ATCC 14931	NZ_GG669900	PATRIC	gene	30722092	VBILacFer68609_0017	15435	16820	-	1386		
