GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	source	29216550		1	831754	+	831754		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216552	VBILacUlt69912_0001	312	1322	+	1011		PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216551	VBILacUlt69912_0001	312	1322	+	1011		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216553	VBILacUlt69912_0002	1341	2153	+	813		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216554	VBILacUlt69912_0002	1341	2153	+	813		PTS system, mannose-specific IIC component (EC 2.7.1.69)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216556	VBILacUlt69912_0003	2182	3102	+	921		PTS system, mannose-specific IID component (EC 2.7.1.69)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216555	VBILacUlt69912_0003	2182	3102	+	921		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216558	VBILacUlt69912_0004	3109	3477	+	369		Putative regulator of the mannose operon, ManO
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216557	VBILacUlt69912_0004	3109	3477	+	369		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216560	VBILacUlt69912_0005	3525	4418	-	894		transcriptional regulator
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216559	VBILacUlt69912_0005	3525	4418	-	894		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216562	VBILacUlt69912_0006	4514	5032	+	519		Acetyltransferase (isoleucine patch superfamily)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216561	VBILacUlt69912_0006	4514	5032	+	519		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216563	VBILacUlt69912_0007	5062	6435	-	1374		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216564	VBILacUlt69912_0007	5062	6435	-	1374		D-serine/D-alanine/glycine transporter
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216565	VBILacUlt69912_0008	6734	9361	+	2628		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216566	VBILacUlt69912_0008	6734	9361	+	2628		Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216567	VBILacUlt69912_0009	9563	11374	+	1812		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216568	VBILacUlt69912_0009	9563	11374	+	1812		Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216570	VBILacUlt69912_0010	11695	12888	+	1194		Acetate kinase (EC 2.7.2.1)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216569	VBILacUlt69912_0010	11695	12888	+	1194		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216571	VBILacUlt69912_0011	12990	13721	+	732		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216572	VBILacUlt69912_0011	12990	13721	+	732		4-carboxymuconolactone decarboxylase (EC 4.1.1.44)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216573	VBILacUlt69912_0012	13808	14035	+	228		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216574	VBILacUlt69912_0012	13808	14035	+	228		FIG00746231: hypothetical protein
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216575	VBILacUlt69912_0013	14182	14595	+	414		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216576	VBILacUlt69912_0013	14182	14595	+	414		FIG00743345: hypothetical protein
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216578	VBILacUlt69912_0014	14680	16338	-	1659		Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216577	VBILacUlt69912_0014	14680	16338	-	1659		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216580	VBILacUlt69912_0015	16552	18414	+	1863		FIG00744731: hypothetical protein
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216579	VBILacUlt69912_0015	16552	18414	+	1863		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216581	VBILacUlt69912_0016	18419	19744	+	1326		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216582	VBILacUlt69912_0016	18419	19744	+	1326		probable ATP /GTP binding protein
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216583	VBILacUlt69912_0017	19756	21987	+	2232		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216584	VBILacUlt69912_0017	19756	21987	+	2232		ATP-dependent helicase
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216586	VBILacUlt69912_0018	22018	22392	+	375		FIG00748159: hypothetical protein
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216585	VBILacUlt69912_0018	22018	22392	+	375		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216588	VBILacUlt69912_0019	22552	23292	+	741		transcriptional regulator for glyoxylate bypass
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216587	VBILacUlt69912_0019	22552	23292	+	741		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216590	VBILacUlt69912_0020	23304	23915	+	612		Isochorismatase (EC 3.3.2.1)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216589	VBILacUlt69912_0020	23304	23915	+	612		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216591	VBILacUlt69912_0021	23908	24666	+	759		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216592	VBILacUlt69912_0021	23908	24666	+	759		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	CDS	29216594	VBILacUlt69912_0022	24852	25610	+	759		Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216593	VBILacUlt69912_0022	24852	25610	+	759		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	gene	29216595	VBILacUlt69912_r001	25705	25780	+	76		
Lactobacillus ultunensis DSM 16047	NZ_GG693253	PATRIC	tRNA	29216596	VBILacUlt69912_r001	25705	25780	+	76		tRNA-Thr-CGT
