GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus acidipiscis KCTC 13900	BACS01000001	PATRIC	source	59563554		1	2256	+	2256		
Lactobacillus acidipiscis KCTC 13900	BACS01000002	PATRIC	source	59563555		1	865	+	865		
Lactobacillus acidipiscis KCTC 13900	BACS01000002	PATRIC	CDS	59563557	VBILacAci203005_0001	98	793	+	696		ClpB protein
Lactobacillus acidipiscis KCTC 13900	BACS01000002	PATRIC	gene	59563556	VBILacAci203005_0001	98	793	+	696		
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	source	59563558		1	6850	+	6850		
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	gene	59563559	VBILacAci203005_0002	477	3815	+	3339		
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	CDS	59563560	VBILacAci203005_0002	477	3815	+	3339		DNA polymerase III alpha subunit (EC 2.7.7.7)
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	gene	59563561	VBILacAci203005_0003	3945	4907	+	963		
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	CDS	59563562	VBILacAci203005_0003	3945	4907	+	963		6-phosphofructokinase (EC 2.7.1.11)
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	gene	59563563	VBILacAci203005_0004	5000	6760	+	1761		
Lactobacillus acidipiscis KCTC 13900	BACS01000003	PATRIC	CDS	59563564	VBILacAci203005_0004	5000	6760	+	1761		Pyruvate kinase (EC 2.7.1.40)
Lactobacillus acidipiscis KCTC 13900	BACS01000004	PATRIC	source	59563565		1	1789	+	1789		
Lactobacillus acidipiscis KCTC 13900	BACS01000004	PATRIC	gene	59563566	VBILacAci203005_0005	107	565	+	459		
Lactobacillus acidipiscis KCTC 13900	BACS01000004	PATRIC	CDS	59563567	VBILacAci203005_0005	107	565	+	459		putative membrane protein
Lactobacillus acidipiscis KCTC 13900	BACS01000004	PATRIC	CDS	59563569	VBILacAci203005_0006	580	1440	+	861		S1 RNA binding domain
Lactobacillus acidipiscis KCTC 13900	BACS01000004	PATRIC	gene	59563568	VBILacAci203005_0006	580	1440	+	861		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	source	59563570		1	8033	+	8033		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563573	VBILacAci203005_0007	113	472	+	360		hypothetical protein
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563572	VBILacAci203005_0007	113	472	+	360		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563571	VBILacAci203005_pg001	113	502	+	390		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563575	VBILacAci203005_0008	462	1244	+	783		Segregation and condensation protein A
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563574	VBILacAci203005_0008	462	1244	+	783		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563577	VBILacAci203005_0009	1341	1856	+	516		Segregation and condensation protein B
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563576	VBILacAci203005_0009	1341	1856	+	516		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563579	VBILacAci203005_0010	1849	2580	+	732		Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563578	VBILacAci203005_0010	1849	2580	+	732		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563581	VBILacAci203005_0011	2607	3653	+	1047		hypothetical protein
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563580	VBILacAci203005_0011	2607	3653	+	1047		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563582	VBILacAci203005_0012	3640	5100	+	1461		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563583	VBILacAci203005_0012	3640	5100	+	1461		ATP-dependent DNA helicase RecQ
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563585	VBILacAci203005_0013	5247	5864	+	618		hypothetical protein
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563584	VBILacAci203005_0013	5247	5864	+	618		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563586	VBILacAci203005_pg002	6031	6727	+	697		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563587	VBILacAci203005_0014	6031	6231	+	201		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563588	VBILacAci203005_0014	6031	6231	+	201		Cytidylate kinase (EC 2.7.4.14)
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563589	VBILacAci203005_pg003	6043	6727	+	685		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563590	VBILacAci203005_0015	6215	6727	+	513		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563591	VBILacAci203005_0015	6215	6727	+	513		Cytidylate kinase (EC 2.7.4.14)
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	gene	59563592	VBILacAci203005_0016	6781	7974	+	1194		
Lactobacillus acidipiscis KCTC 13900	BACS01000005	PATRIC	CDS	59563593	VBILacAci203005_0016	6781	7974	+	1194		SSU ribosomal protein S1p
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	source	59563594		1	6343	+	6343		
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	CDS	59563596	VBILacAci203005_0017	45	1355	+	1311		GTP-binding protein EngA
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	gene	59563595	VBILacAci203005_0017	45	1355	+	1311		
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	CDS	59563598	VBILacAci203005_0018	1580	1855	+	276		DNA-binding protein HBsu
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	gene	59563597	VBILacAci203005_0018	1580	1855	+	276		
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	CDS	59563600	VBILacAci203005_0019	1995	3254	+	1260		TPR-repeat-containing protein, putative component of Menaquinone-cytochrome C reductase
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	gene	59563599	VBILacAci203005_0019	1995	3254	+	1260		
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	CDS	59563602	VBILacAci203005_0020	3308	4138	-	831		FIG00744586: hypothetical protein
Lactobacillus acidipiscis KCTC 13900	BACS01000006	PATRIC	gene	59563601	VBILacAci203005_0020	3308	4138	-	831		
