GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus brevis ATCC 367	NC_008497	PATRIC	source	22198964		1	2291220	+	2291220		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198965	VBILacBre134470_0001	113	1471	+	1359		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198966	VBILacBre134470_0001	113	1471	+	1359		Chromosomal replication initiator protein DnaA
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198967	VBILacBre134470_0002	1742	2881	+	1140		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198968	VBILacBre134470_0002	1742	2881	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198970	VBILacBre134470_0003	2955	3071	-	117		hypothetical protein
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198969	VBILacBre134470_0003	2955	3071	-	117		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198971	VBILacBre134470_0004	3301	3528	+	228		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198972	VBILacBre134470_0004	3301	3528	+	228		FIG002958: hypothetical protein
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198974	VBILacBre134470_0005	3528	4682	+	1155		DNA recombination and repair protein RecF
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198973	VBILacBre134470_0005	3528	4682	+	1155		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198975	VBILacBre134470_0006	4686	6629	+	1944		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198976	VBILacBre134470_0006	4686	6629	+	1944		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198978	VBILacBre134470_0007	6651	9185	+	2535		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198977	VBILacBre134470_0007	6651	9185	+	2535		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198980	VBILacBre134470_0008	9954	10250	+	297		SSU ribosomal protein S6p
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198979	VBILacBre134470_0008	9954	10250	+	297		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198982	VBILacBre134470_0009	10284	10850	+	567		Single-stranded DNA-binding protein
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198981	VBILacBre134470_0009	10284	10850	+	567		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198983	VBILacBre134470_0010	10879	11115	+	237		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198984	VBILacBre134470_0010	10879	11115	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198985	VBILacBre134470_0011	11260	12447	-	1188		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198986	VBILacBre134470_0011	11260	12447	-	1188		hypothetical protein
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198987	VBILacBre134470_0012	12478	14085	-	1608		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198988	VBILacBre134470_0012	12478	14085	-	1608		Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198989	VBILacBre134470_0013	14694	15470	+	777		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198990	VBILacBre134470_0013	14694	15470	+	777		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198992	VBILacBre134470_0014	15603	16787	-	1185		Aryldialkylphosphatase related protein
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198991	VBILacBre134470_0014	15603	16787	-	1185		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198993	VBILacBre134470_0015	16809	18410	-	1602		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198994	VBILacBre134470_0015	16809	18410	-	1602		Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198995	VBILacBre134470_0016	18966	19532	-	567		
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	CDS	22198996	VBILacBre134470_0016	18966	19532	-	567		Transcriptional regulator, TetR family
Lactobacillus brevis ATCC 367	NC_008497	PATRIC	gene	22198997	VBILacBre134470_0017	19652	19909	+	258		
