GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus johnsonii FI9785	NC_013504	PATRIC	source	32244697		1	1755993	+	1755993		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244698	VBILacJoh137736_0001	1	1365	+	1365		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244699	VBILacJoh137736_0001	1	1365	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244700	VBILacJoh137736_0002	1546	2676	+	1131		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244701	VBILacJoh137736_0002	1546	2676	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244702	VBILacJoh137736_0003	3006	3101	+	96		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244703	VBILacJoh137736_0003	3006	3101	+	96		hypothetical protein
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244704	VBILacJoh137736_0004	3105	4229	+	1125		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244705	VBILacJoh137736_0004	3105	4229	+	1125		DNA recombination and repair protein RecF
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244706	VBILacJoh137736_0005	4230	6197	+	1968		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244707	VBILacJoh137736_0005	4230	6197	+	1968		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244708	VBILacJoh137736_0006	6208	8697	+	2490		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244709	VBILacJoh137736_0006	6208	8697	+	2490		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	gene	32244710	VBILacJoh137736_0007	8884	9180	+	297		
Lactobacillus johnsonii FI9785	NC_013504	PATRIC	CDS	32244711	VBILacJoh137736_0007	8884	9180	+	297		SSU ribosomal protein S6p
