GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	source	47127965		1	1872918	+	1872918		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127967	VBILacDel183177_0001	277	1641	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127966	VBILacDel183177_0001	277	1641	+	1365		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127969	VBILacDel183177_0002	1823	2950	+	1128		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127968	VBILacDel183177_0002	1823	2950	+	1128		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127971	VBILacDel183177_0003	3181	3405	+	225		FIG002958: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127970	VBILacDel183177_0003	3181	3405	+	225		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127972	VBILacDel183177_0004	3405	4550	+	1146		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127973	VBILacDel183177_0004	3405	4550	+	1146		DNA recombination and repair protein RecF
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127975	VBILacDel183177_0005	4534	6495	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127974	VBILacDel183177_0005	4534	6495	+	1962		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127976	VBILacDel183177_0006	6508	8979	+	2472		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127977	VBILacDel183177_0006	6508	8979	+	2472		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127978	VBILacDel183177_0007	9195	9488	+	294		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127979	VBILacDel183177_0007	9195	9488	+	294		SSU ribosomal protein S6p
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127981	VBILacDel183177_0008	9529	10104	+	576		Single-stranded DNA-binding protein
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127980	VBILacDel183177_0008	9529	10104	+	576		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127983	VBILacDel183177_0009	10131	10367	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127982	VBILacDel183177_0009	10131	10367	+	237		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127985	VBILacDel183177_0010	10496	12529	+	2034		Phosphoesterase, DHH family protein
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127984	VBILacDel183177_0010	10496	12529	+	2034		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	CDS	47127987	VBILacDel183177_0011	12552	13007	+	456		LSU ribosomal protein L9p
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127986	VBILacDel183177_0011	12552	13007	+	456		
Lactobacillus delbrueckii subsp. bulgaricus 2038	CP000156	PATRIC	gene	47127988	VBILacDel183177_0012	13031	14401	+	1371		
