GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	source	35849130		1	459200	+	459200		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849131	VBIPedAci303_0001	116	916	-	801		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849132	VBIPedAci303_0001	116	916	-	801		Histidinol-phosphatase (EC 3.1.3.15)
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849133	VBIPedAci303_0002	1024	2463	-	1440		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849134	VBIPedAci303_0002	1024	2463	-	1440		6-phospho-beta-glucosidase (EC 3.2.1.86)
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849135	VBIPedAci303_0003	2591	3724	-	1134		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849136	VBIPedAci303_0003	2591	3724	-	1134		Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849138	VBIPedAci303_0004	3771	3920	-	150		hypothetical protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849137	VBIPedAci303_0004	3771	3920	-	150		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849140	VBIPedAci303_0005	3925	4428	-	504		unknown
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849139	VBIPedAci303_0005	3925	4428	-	504		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849141	VBIPedAci303_0006	4425	5234	-	810		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849142	VBIPedAci303_0006	4425	5234	-	810		protein containing diguanylate cyclase/phosphodiesterase domain 2 (EAL)
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849143	VBIPedAci303_0007	5401	5721	-	321		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849144	VBIPedAci303_0007	5401	5721	-	321		FIG009688: Thioredoxin
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849146	VBIPedAci303_0008	6274	7227	-	954		Transcription regulator [contains diacylglycerol kinase catalytic domain]
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849145	VBIPedAci303_0008	6274	7227	-	954		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849148	VBIPedAci303_0009	7227	8171	-	945		hypothetical protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849147	VBIPedAci303_0009	7227	8171	-	945		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849149	VBIPedAci303_r001	8287	8359	+	73		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	tRNA	35849150	VBIPedAci303_r001	8287	8359	+	73		tRNA-Ala-CGC
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849152	VBIPedAci303_0010	8577	9083	-	507		Transcriptional regulator
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849151	VBIPedAci303_0010	8577	9083	-	507		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849153	VBIPedAci303_0011	9437	10177	+	741		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849154	VBIPedAci303_0011	9437	10177	+	741		ABC-type multidrug transport system, ATPase component
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849156	VBIPedAci303_0012	10198	10974	+	777		ABC transporter, permease protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849155	VBIPedAci303_0012	10198	10974	+	777		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849157	VBIPedAci303_0013	11554	13065	+	1512		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849158	VBIPedAci303_0013	11554	13065	+	1512		hypothetical protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849160	VBIPedAci303_0014	13417	14163	+	747		Nicotinamide mononucleotide transporter
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849159	VBIPedAci303_0014	13417	14163	+	747		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849161	VBIPedAci303_0015	14123	14245	+	123		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849162	VBIPedAci303_0015	14123	14245	+	123		hypothetical protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849163	VBIPedAci303_0016	14936	15949	-	1014		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849164	VBIPedAci303_0016	14936	15949	-	1014		Choloylglycine hydrolase (EC 3.5.1.24)
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849165	VBIPedAci303_0017	16044	17111	-	1068		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849166	VBIPedAci303_0017	16044	17111	-	1068		Hypothetical membrane spanning protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849168	VBIPedAci303_0018	17123	17896	-	774		Beta-lactamase (EC 3.5.2.6)
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849167	VBIPedAci303_0018	17123	17896	-	774		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849169	VBIPedAci303_0019	18805	19827	+	1023		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849170	VBIPedAci303_0019	18805	19827	+	1023		hypothetical protein
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	gene	35849171	VBIPedAci303_0020	19877	20896	+	1020		
Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	35849172	VBIPedAci303_0020	19877	20896	+	1020		hypothetical protein
