GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	source	101621576		1	73871	+	73871		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621578	VBILacGig181218_0001	372	2303	+	1932		Threonyl-tRNA synthetase (EC 6.1.1.3)
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621577	VBILacGig181218_0001	372	2303	+	1932		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621579	VBILacGig181218_0002	2457	2768	+	312		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621580	VBILacGig181218_0002	2457	2768	+	312		PlcB, ORFX, ORFP, ORFB, ORFA, ldh gene
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621582	VBILacGig181218_0003	2978	3499	+	522		Translation initiation factor 3
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621581	VBILacGig181218_0003	2978	3499	+	522		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621584	VBILacGig181218_0004	3519	3719	+	201		LSU ribosomal protein L35p
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621583	VBILacGig181218_0004	3519	3719	+	201		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621586	VBILacGig181218_0005	3755	4111	+	357		LSU ribosomal protein L20p
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621585	VBILacGig181218_0005	3755	4111	+	357		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621587	VBILacGig181218_pg001	4160	5142	-	983		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621589	VBILacGig181218_0006	4228	4710	-	483		Adenosine deaminase (EC 3.5.4.4)
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621588	VBILacGig181218_0006	4228	4710	-	483		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621590	VBILacGig181218_0007	4846	5001	-	156		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621591	VBILacGig181218_0007	4846	5001	-	156		Adenosine deaminase (EC 3.5.4.4)
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621592	VBILacGig181218_0008	5310	5834	+	525		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621593	VBILacGig181218_0008	5310	5834	+	525		FIG001553: Hydrolase, HAD subfamily IIIA
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621594	VBILacGig181218_0009	5827	6936	+	1110		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621595	VBILacGig181218_0009	5827	6936	+	1110		GTP-binding protein YqeH, required for biogenesis of 30S ribosome subunit
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621597	VBILacGig181218_0010	6950	7588	+	639		Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621596	VBILacGig181218_0010	6950	7588	+	639		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621598	VBILacGig181218_0011	7581	8174	+	594		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621599	VBILacGig181218_0011	7581	8174	+	594		Hydrolase (HAD superfamily), YqeK
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621601	VBILacGig181218_0012	8187	8534	+	348		Iojap protein
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621600	VBILacGig181218_0012	8187	8534	+	348		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621603	VBILacGig181218_0013	8540	9691	+	1152		FIG007079: UPF0348 protein family
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621602	VBILacGig181218_0013	8540	9691	+	1152		
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	CDS	101621605	VBILacGig181218_0014	9694	10257	+	564		COG1399 protein in cluster with ribosomal protein L32p, Firmicutes subfamily
Lactobacillus gigeriorum CRBIP 24.85	CAKC01000001	PATRIC	gene	101621604	VBILacGig181218_0014	9694	10257	+	564		
