GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri lpuph	AEAX01000001	PATRIC	source	52256991		1	2308	+	2308		
Lactobacillus reuteri lpuph	AEAX01000001	PATRIC	gene	52256992	VBILacReu166854_0001	880	2292	+	1413		
Lactobacillus reuteri lpuph	AEAX01000001	PATRIC	CDS	52256993	VBILacReu166854_0001	880	2292	+	1413		putative PQQ enzyme repeat
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	source	52256994		1	30848	+	30848		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52256995	VBILacReu166854_0002	395	886	-	492		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52256996	VBILacReu166854_0002	395	886	-	492		FIG00743049: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52256998	VBILacReu166854_0003	914	3070	-	2157		FIG00747764: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52256997	VBILacReu166854_0003	914	3070	-	2157		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52256999	VBILacReu166854_0004	3083	6694	-	3612		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257000	VBILacReu166854_0004	3083	6694	-	3612		FIG00745011: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257002	VBILacReu166854_0005	6961	7665	+	705		Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257001	VBILacReu166854_0005	6961	7665	+	705		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257004	VBILacReu166854_0006	7662	8222	-	561		Filamentation induced by cAMP protein Fic
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257003	VBILacReu166854_0006	7662	8222	-	561		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257005	VBILacReu166854_0007	8215	8637	-	423		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257006	VBILacReu166854_0007	8215	8637	-	423		conserved hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257008	VBILacReu166854_0008	8747	10876	-	2130		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257009	VBILacReu166854_0008	8747	10876	-	2130		5'-nucleotidase (EC 3.1.3.5)
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257007	VBILacReu166854_pg001	8747	11004	-	2258		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257011	VBILacReu166854_0009	11206	11883	+	678		FIG00744503: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257010	VBILacReu166854_0009	11206	11883	+	678		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257012	VBILacReu166854_0010	12515	15616	-	3102		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257013	VBILacReu166854_0010	12515	15616	-	3102		Exonuclease SbcC
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257015	VBILacReu166854_0011	15618	16736	-	1119		Exonuclease SbcD
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257014	VBILacReu166854_0011	15618	16736	-	1119		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257017	VBILacReu166854_0012	17027	17929	-	903		Glycoside hydrolase, family 25
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257016	VBILacReu166854_0012	17027	17929	-	903		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257019	VBILacReu166854_0013	18082	18858	-	777		Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257018	VBILacReu166854_0013	18082	18858	-	777		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257020	VBILacReu166854_0014	18955	22443	-	3489		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257021	VBILacReu166854_0014	18955	22443	-	3489		helicase
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257023	VBILacReu166854_0015	22508	24400	-	1893		FIG00742240: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257022	VBILacReu166854_0015	22508	24400	-	1893		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257025	VBILacReu166854_0016	24583	24825	+	243		FIG00751385: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257024	VBILacReu166854_0016	24583	24825	+	243		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257026	VBILacReu166854_0017	24825	25199	+	375		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257027	VBILacReu166854_0017	24825	25199	+	375		PemK family protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257029	VBILacReu166854_0018	25305	25562	-	258		FIG00745117: hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257028	VBILacReu166854_0018	25305	25562	-	258		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257030	VBILacReu166854_0019	25641	27044	-	1404		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257031	VBILacReu166854_0019	25641	27044	-	1404		amino acid permease
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257034	VBILacReu166854_0020	27037	27162	-	126		Homocysteine S-methyltransferase (EC 2.1.1.10)
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257032	VBILacReu166854_pg002	27037	27985	-	949		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257033	VBILacReu166854_0020	27037	27162	-	126		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257035	VBILacReu166854_0021	27269	27985	-	717		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257036	VBILacReu166854_0021	27269	27985	-	717		Homocysteine S-methyltransferase (EC 2.1.1.10)
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257038	VBILacReu166854_0022	28430	28825	-	396		hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257037	VBILacReu166854_0022	28430	28825	-	396		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257040	VBILacReu166854_0023	28855	29025	-	171		hypothetical protein
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257039	VBILacReu166854_0023	28855	29025	-	171		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	gene	52257041	VBILacReu166854_0024	29075	29653	-	579		
Lactobacillus reuteri lpuph	AEAX01000002	PATRIC	CDS	52257042	VBILacReu166854_0024	29075	29653	-	579		hypothetical protein
