GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	source	59576854		1	13471	+	13471		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	tRNA	59576856	VBILacMal202055_r001	91	162	+	72		tRNA-Glu-TTC
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576855	VBILacMal202055_r001	91	162	+	72		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	tRNA	59576858	VBILacMal202055_r002	170	242	+	73		tRNA-Thr-CGT
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576857	VBILacMal202055_r002	170	242	+	73		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576860	VBILacMal202055_0001	298	423	-	126		hypothetical protein
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576859	VBILacMal202055_0001	298	423	-	126		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576861	VBILacMal202055_0002	1459	2928	+	1470		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576862	VBILacMal202055_0002	1459	2928	+	1470		Di/tripeptide permease DtpT
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	tRNA	59576864	VBILacMal202055_r003	3005	3087	+	83		tRNA-Tyr-GTA
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576863	VBILacMal202055_r003	3005	3087	+	83		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	tRNA	59576866	VBILacMal202055_r004	3094	3165	+	72		tRNA-Gln-TTG
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576865	VBILacMal202055_r004	3094	3165	+	72		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576868	VBILacMal202055_0003	3325	4125	+	801		Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576867	VBILacMal202055_0003	3325	4125	+	801		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576869	VBILacMal202055_0004	4144	5280	+	1137		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576870	VBILacMal202055_0004	4144	5280	+	1137		N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576872	VBILacMal202055_0005	5301	6002	+	702		Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576871	VBILacMal202055_0005	5301	6002	+	702		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576873	VBILacMal202055_0006	6123	6863	-	741		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576874	VBILacMal202055_0006	6123	6863	-	741		N-acetylmannosaminyltransferase (EC 2.4.1.187)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576876	VBILacMal202055_0007	7045	8508	+	1464		Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576875	VBILacMal202055_0007	7045	8508	+	1464		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576878	VBILacMal202055_0008	8566	9393	+	828		NAD synthetase (EC 6.3.1.5)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576877	VBILacMal202055_0008	8566	9393	+	828		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576880	VBILacMal202055_0009	9480	11657	+	2178		Transcription accessory protein (S1 RNA-binding domain)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576879	VBILacMal202055_0009	9480	11657	+	2178		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576881	VBILacMal202055_0010	11664	12122	+	459		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576882	VBILacMal202055_0010	11664	12122	+	459		Putative metallopeptidase (Zinc) SprT family
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	tRNA	59576884	VBILacMal202055_r005	12172	12257	+	86		tRNA-Leu-AAG
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576883	VBILacMal202055_r005	12172	12257	+	86		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	CDS	59576886	VBILacMal202055_0011	12383	13366	+	984		3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000001	PATRIC	gene	59576885	VBILacMal202055_0011	12383	13366	+	984		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	source	59576887		1	92623	+	92623		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576889	VBILacMal202055_0012	20	1177	-	1158		Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576888	VBILacMal202055_0012	20	1177	-	1158		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576890	VBILacMal202055_0013	1384	2328	+	945		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576891	VBILacMal202055_0013	1384	2328	+	945		Malate permease
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576893	VBILacMal202055_0014	2343	3308	+	966		Permease of the drug/metabolite transporter (DMT) superfamily
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576892	VBILacMal202055_0014	2343	3308	+	966		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576895	VBILacMal202055_0015	3676	4875	+	1200		hypothetical protein
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576894	VBILacMal202055_0015	3676	4875	+	1200		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576897	VBILacMal202055_0016	5199	5873	+	675		Phosphoglycerate mutase (EC 5.4.2.1)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576896	VBILacMal202055_0016	5199	5873	+	675		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576899	VBILacMal202055_0017	6073	7407	-	1335		Aminopeptidase C (EC 3.4.22.40)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576898	VBILacMal202055_0017	6073	7407	-	1335		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576900	VBILacMal202055_0018	7482	8168	-	687		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576901	VBILacMal202055_0018	7482	8168	-	687		Ribose 5-phosphate isomerase A (EC 5.3.1.6)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576903	VBILacMal202055_0019	8179	8472	-	294		hypothetical protein
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576902	VBILacMal202055_0019	8179	8472	-	294		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576905	VBILacMal202055_0020	8576	9112	+	537		Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576904	VBILacMal202055_0020	8576	9112	+	537		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576907	VBILacMal202055_0021	9196	10566	+	1371		DNA repair protein RadA
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576906	VBILacMal202055_0021	9196	10566	+	1371		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576909	VBILacMal202055_0022	10588	11715	+	1128		Pili retraction protein pilT
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576908	VBILacMal202055_0022	10588	11715	+	1128		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576910	VBILacMal202055_0023	11843	13327	+	1485		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576911	VBILacMal202055_0023	11843	13327	+	1485		Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576913	VBILacMal202055_0024	13650	15071	+	1422		Cysteinyl-tRNA synthetase (EC 6.1.1.16)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576912	VBILacMal202055_0024	13650	15071	+	1422		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576915	VBILacMal202055_0025	15064	15468	+	405		COG1939: Ribonuclease III family protein
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576914	VBILacMal202055_0025	15064	15468	+	405		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576916	VBILacMal202055_0026	15470	16219	+	750		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576917	VBILacMal202055_0026	15470	16219	+	750		TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576918	VBILacMal202055_0027	16222	16758	+	537		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576919	VBILacMal202055_0027	16222	16758	+	537		Hypothetical protein DUF901, similar to C-terminal domain of ribosome protection-type Tc-resistance proteins
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576921	VBILacMal202055_0028	16813	16962	+	150		LSU ribosomal protein L33p
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576920	VBILacMal202055_0028	16813	16962	+	150		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576923	VBILacMal202055_0029	16975	17142	+	168		Preprotein translocase subunit SecE (TC 3.A.5.1.1)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576922	VBILacMal202055_0029	16975	17142	+	168		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576925	VBILacMal202055_0030	17274	17825	+	552		Transcription antitermination protein NusG
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576924	VBILacMal202055_0030	17274	17825	+	552		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576926	VBILacMal202055_0031	17848	18582	+	735		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576927	VBILacMal202055_0031	17848	18582	+	735		hypothetical protein
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576928	VBILacMal202055_0032	18697	19122	+	426		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576929	VBILacMal202055_0032	18697	19122	+	426		LSU ribosomal protein L11p (L12e)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576930	VBILacMal202055_0033	19224	19913	+	690		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576931	VBILacMal202055_0033	19224	19913	+	690		LSU ribosomal protein L1p (L10Ae)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576932	VBILacMal202055_0034	20139	20642	+	504		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576933	VBILacMal202055_0034	20139	20642	+	504		LSU ribosomal protein L10p (P0)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576934	VBILacMal202055_0035	20688	21056	+	369		
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	CDS	59576935	VBILacMal202055_0035	20688	21056	+	369		LSU ribosomal protein L7/L12 (P1/P2)
Lactobacillus mali KCTC 3596 = DSM 20444	BACP01000002	PATRIC	gene	59576936	VBILacMal202055_0036	21200	23785	+	2586		
