GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri 100-23	NC_001757	PATRIC	source	26514485		1	5113	+	5113		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	CDS	26514487	VBILacReu112121_0001	121	708	+	588		hypothetical protein
Lactobacillus reuteri 100-23	NC_001757	PATRIC	gene	26514486	VBILacReu112121_0001	121	708	+	588		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	gene	26514488	VBILacReu112121_0002	1360	2298	+	939		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	CDS	26514489	VBILacReu112121_0002	1360	2298	+	939		replication initiation protein
Lactobacillus reuteri 100-23	NC_001757	PATRIC	CDS	26514491	VBILacReu112121_0003	2304	2522	+	219		hypothetical protein
Lactobacillus reuteri 100-23	NC_001757	PATRIC	gene	26514490	VBILacReu112121_0003	2304	2522	+	219		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	gene	26514492	VBILacReu112121_0004	2808	3389	-	582		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	CDS	26514493	VBILacReu112121_0004	2808	3389	-	582		hypothetical protein
Lactobacillus reuteri 100-23	NC_001757	PATRIC	CDS	26514495	VBILacReu112121_0005	3578	3952	+	375		hypothetical protein
Lactobacillus reuteri 100-23	NC_001757	PATRIC	gene	26514494	VBILacReu112121_0005	3578	3952	+	375		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	gene	26514496	VBILacReu112121_0006	3952	4119	+	168		
Lactobacillus reuteri 100-23	NC_001757	PATRIC	CDS	26514497	VBILacReu112121_0006	3952	4119	+	168		hypothetical protein
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	source	26514498		1	1576206	+	1576206		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514499	VBILacReu112121_0007	56	982	+	927		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514500	VBILacReu112121_0007	56	982	+	927		Predicted cell-wall-anchored protein SasA (LPXTG motif)
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514502	VBILacReu112121_0008	1054	2457	-	1404		dipeptidase
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514501	VBILacReu112121_0008	1054	2457	-	1404		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514503	VBILacReu112121_0009	2595	4424	+	1830		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514504	VBILacReu112121_0009	2595	4424	+	1830		Na+-H+ antiporter
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514505	VBILacReu112121_0010	4507	4692	+	186		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514506	VBILacReu112121_0010	4507	4692	+	186		4-oxalocrotonate tautomerase (EC 5.3.2.-); Xylose transport system permease protein xylH
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514507	VBILacReu112121_0011	4827	6329	+	1503		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514508	VBILacReu112121_0011	4827	6329	+	1503		Glycerol kinase (EC 2.7.1.30)
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514510	VBILacReu112121_0012	6386	6889	+	504		FIG00745619: hypothetical protein
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514509	VBILacReu112121_0012	6386	6889	+	504		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514512	VBILacReu112121_0013	6931	7167	-	237		FIG00742602: hypothetical protein
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514511	VBILacReu112121_0013	6931	7167	-	237		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514514	VBILacReu112121_0014	7177	7320	-	144		RNA polymerase, sigma-24 subunit, ECF subfamily
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514513	VBILacReu112121_0014	7177	7320	-	144		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514516	VBILacReu112121_0015	7327	7752	-	426		RNA polymerase, sigma-24 subunit, ECF subfamily
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514515	VBILacReu112121_0015	7327	7752	-	426		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514517	VBILacReu112121_0016	7969	8691	+	723		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514518	VBILacReu112121_0016	7969	8691	+	723		FIG00749683: hypothetical protein
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514520	VBILacReu112121_0017	8796	9194	+	399		FIG00746081: hypothetical protein
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514519	VBILacReu112121_0017	8796	9194	+	399		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514522	VBILacReu112121_0018	9589	10593	+	1005		Exopolysaccharide biosynthesis transcriptional activator EpsA
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514521	VBILacReu112121_0018	9589	10593	+	1005		
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	CDS	26514524	VBILacReu112121_0019	10613	11488	+	876		Tyrosine-protein kinase transmembrane modulator EpsC
Lactobacillus reuteri 100-23	NZ_AAPZ02000001	PATRIC	gene	26514523	VBILacReu112121_0019	10613	11488	+	876		
