GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	source	30701413		1	601721	+	601721		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701414	VBILacCol129754_r001	8	80	+	73		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701415	VBILacCol129754_r001	8	80	+	73		tRNA-Val-TAC
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701417	VBILacCol129754_r002	99	171	+	73		tRNA-Lys-TTT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701416	VBILacCol129754_r002	99	171	+	73		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701418	VBILacCol129754_r003	194	267	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701419	VBILacCol129754_r003	194	267	+	74		tRNA-Thr-TGT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701421	VBILacCol129754_r004	284	355	+	72		tRNA-Gly-GCC
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701420	VBILacCol129754_r004	284	355	+	72		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701422	VBILacCol129754_r005	377	462	+	86		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701423	VBILacCol129754_r005	377	462	+	86		tRNA-Leu-TAA
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701425	VBILacCol129754_r006	468	541	+	74		tRNA-Arg-ACG
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701424	VBILacCol129754_r006	468	541	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701426	VBILacCol129754_r007	548	621	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701427	VBILacCol129754_r007	548	621	+	74		tRNA-Pro-TGG
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701428	VBILacCol129754_r008	652	725	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701429	VBILacCol129754_r008	652	725	+	74		tRNA-Met-CAT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701430	VBILacCol129754_r009	742	815	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701431	VBILacCol129754_r009	742	815	+	74		tRNA-Met-CAT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701433	VBILacCol129754_r010	849	936	+	88		tRNA-Ser-TGA
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701432	VBILacCol129754_r010	849	936	+	88		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701435	VBILacCol129754_r011	947	1020	+	74		tRNA-Met-CAT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701434	VBILacCol129754_r011	947	1020	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701437	VBILacCol129754_r012	1023	1097	+	75		tRNA-Asp-GTC
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701436	VBILacCol129754_r012	1023	1097	+	75		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701439	VBILacCol129754_r013	1101	1173	+	73		tRNA-Phe-GAA
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701438	VBILacCol129754_r013	1101	1173	+	73		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701441	VBILacCol129754_r014	1183	1253	+	71		tRNA-Gly-TCC
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701440	VBILacCol129754_r014	1183	1253	+	71		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701443	VBILacCol129754_r015	1274	1348	+	75		tRNA-Ile-GAT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701442	VBILacCol129754_r015	1274	1348	+	75		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701444	VBILacCol129754_r016	1351	1439	+	89		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701445	VBILacCol129754_r016	1351	1439	+	89		tRNA-Ser-GCT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701446	VBILacCol129754_r017	1466	1538	+	73		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701447	VBILacCol129754_r017	1466	1538	+	73		tRNA-Glu-TTC
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701448	VBILacCol129754_r018	1549	1622	+	74		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701449	VBILacCol129754_r018	1549	1622	+	74		tRNA-Met-CAT
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	tRNA	30701451	VBILacCol129754_r019	1625	1699	+	75		tRNA-Asp-GTC
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701450	VBILacCol129754_r019	1625	1699	+	75		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701453	VBILacCol129754_0001	1860	2291	-	432		hypothetical protein
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701452	VBILacCol129754_0001	1860	2291	-	432		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701454	VBILacCol129754_0002	2433	3092	+	660		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701455	VBILacCol129754_0002	2433	3092	+	660		Negative regulator of genetic competence MecA
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701456	VBILacCol129754_0003	3165	4220	+	1056		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701457	VBILacCol129754_0003	3165	4220	+	1056		Competence protein CoiA
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701459	VBILacCol129754_0004	4234	4908	+	675		GTP pyrophosphokinase (EC 2.7.6.5)
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701458	VBILacCol129754_0004	4234	4908	+	675		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701460	VBILacCol129754_0005	4920	5726	+	807		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701461	VBILacCol129754_0005	4920	5726	+	807		NAD kinase (EC 2.7.1.23)
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701463	VBILacCol129754_0006	5727	6614	+	888		Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701462	VBILacCol129754_0006	5727	6614	+	888		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701465	VBILacCol129754_0007	6684	7724	-	1041		6-phosphogluconolactonase (EC 3.1.1.31)
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701464	VBILacCol129754_0007	6684	7724	-	1041		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701467	VBILacCol129754_0008	7824	8357	+	534		rRNA large subunit methyltransferase A( EC:2.1.1.51 )
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701466	VBILacCol129754_0008	7824	8357	+	534		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701469	VBILacCol129754_0009	8412	8678	+	267		RRNA large subunit methyltransferase A (EC 2.1.1.51)
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701468	VBILacCol129754_0009	8412	8678	+	267		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701470	VBILacCol129754_0010	8849	9358	+	510		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701471	VBILacCol129754_0010	8849	9358	+	510		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701472	VBILacCol129754_0011	9549	11678	+	2130		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701473	VBILacCol129754_0011	9549	11678	+	2130		Cell division protein FtsK
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701475	VBILacCol129754_0012	11711	11833	-	123		FIG00742263: hypothetical protein
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701474	VBILacCol129754_0012	11711	11833	-	123		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701476	VBILacCol129754_0013	12465	12893	+	429		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701477	VBILacCol129754_0013	12465	12893	+	429		Cell division protein MraZ
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701478	VBILacCol129754_0014	12912	13853	+	942		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701479	VBILacCol129754_0014	12912	13853	+	942		rRNA small subunit methyltransferase H
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701481	VBILacCol129754_0015	13874	14236	+	363		Cell division protein FtsL
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701480	VBILacCol129754_0015	13874	14236	+	363		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701482	VBILacCol129754_0016	14236	16386	+	2151		
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	CDS	30701483	VBILacCol129754_0016	14236	16386	+	2151		Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)
Lactobacillus coleohominis 101-4-CHN	NZ_GG698802	PATRIC	gene	30701484	VBILacCol129754_0017	16407	17378	+	972		
