GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	source	30183544		1	754183	+	754183		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183545	VBILacAnt9210_r001	71	1641	+	1571		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	rRNA	30183546	VBILacAnt9210_r001	71	1641	+	1571		Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183547	VBILacAnt9210_r005	4973	5045	+	73		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183548	VBILacAnt9210_r005	4973	5045	+	73		tRNA-Val-TAC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183549	VBILacAnt9210_r006	5067	5139	+	73		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183550	VBILacAnt9210_r006	5067	5139	+	73		tRNA-Lys-TTT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183551	VBILacAnt9210_r007	5183	5255	+	73		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183552	VBILacAnt9210_r007	5183	5255	+	73		tRNA-Thr-TGT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183554	VBILacAnt9210_r008	5265	5336	+	72		tRNA-Gly-GCC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183553	VBILacAnt9210_r008	5265	5336	+	72		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183555	VBILacAnt9210_r009	5354	5439	+	86		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183556	VBILacAnt9210_r009	5354	5439	+	86		tRNA-Leu-TAA
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183557	VBILacAnt9210_r010	5447	5520	+	74		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183558	VBILacAnt9210_r010	5447	5520	+	74		tRNA-Arg-ACG
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183559	VBILacAnt9210_r011	5525	5598	+	74		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183560	VBILacAnt9210_r011	5525	5598	+	74		tRNA-Pro-TGG
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183561	VBILacAnt9210_r012	5624	5697	+	74		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183562	VBILacAnt9210_r012	5624	5697	+	74		tRNA-Met-CAT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183564	VBILacAnt9210_r013	5714	5787	+	74		tRNA-Met-CAT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183563	VBILacAnt9210_r013	5714	5787	+	74		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183565	VBILacAnt9210_r014	5826	5913	+	88		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183566	VBILacAnt9210_r014	5826	5913	+	88		tRNA-Ser-TGA
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183568	VBILacAnt9210_r015	5923	5996	+	74		tRNA-Met-CAT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183567	VBILacAnt9210_r015	5923	5996	+	74		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183570	VBILacAnt9210_r016	6001	6075	+	75		tRNA-Asp-GTC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183569	VBILacAnt9210_r016	6001	6075	+	75		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183571	VBILacAnt9210_r017	6080	6152	+	73		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183572	VBILacAnt9210_r017	6080	6152	+	73		tRNA-Phe-GAA
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183574	VBILacAnt9210_r018	6165	6235	+	71		tRNA-Gly-TCC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183573	VBILacAnt9210_r018	6165	6235	+	71		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183576	VBILacAnt9210_r019	6244	6318	+	75		tRNA-Ile-GAT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183575	VBILacAnt9210_r019	6244	6318	+	75		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183577	VBILacAnt9210_r020	6321	6409	+	89		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183578	VBILacAnt9210_r020	6321	6409	+	89		tRNA-Ser-GCT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183579	VBILacAnt9210_r021	6415	6486	+	72		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183580	VBILacAnt9210_r021	6415	6486	+	72		tRNA-Glu-TTC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183581	VBILacAnt9210_r022	6497	6570	+	74		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183582	VBILacAnt9210_r022	6497	6570	+	74		tRNA-Met-CAT
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	tRNA	30183584	VBILacAnt9210_r023	6575	6652	+	78		tRNA-Asp-GTC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183583	VBILacAnt9210_r023	6575	6652	+	78		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183585	VBILacAnt9210_0305	6759	7253	-	495		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183586	VBILacAnt9210_0305	6759	7253	-	495		Uncharacterized protein, homolog of B.subtilis yhgC
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183588	VBILacAnt9210_0306	7599	7859	+	261		Arsenate reductase and related proteins, glutaredoxin family
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183587	VBILacAnt9210_0306	7599	7859	+	261		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183589	VBILacAnt9210_0307	8003	8665	+	663		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183590	VBILacAnt9210_0307	8003	8665	+	663		Negative regulator of genetic competence MecA
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183591	VBILacAnt9210_0308	8713	9798	+	1086		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183592	VBILacAnt9210_0308	8713	9798	+	1086		Competence protein CoiA
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183593	VBILacAnt9210_0309	9955	10590	-	636		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183594	VBILacAnt9210_0309	9955	10590	-	636		YjbH-like, GTP pyrophosphokinase domain
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183596	VBILacAnt9210_0310	10745	11416	+	672		GTP pyrophosphokinase (EC 2.7.6.5)
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183595	VBILacAnt9210_0310	10745	11416	+	672		
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	CDS	30183598	VBILacAnt9210_0311	11417	12232	+	816		NAD kinase (EC 2.7.1.23)
Lactobacillus antri DSM 16041	NZ_GG700732	PATRIC	gene	30183597	VBILacAnt9210_0311	11417	12232	+	816		
