GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	source	30187828		1	1433332	+	1433332		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187829	VBILacBre13134_0001	139	261	+	123		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187830	VBILacBre13134_0001	139	261	+	123		hypothetical protein
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187831	VBILacBre13134_0002	335	1513	+	1179		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187832	VBILacBre13134_0002	335	1513	+	1179		3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187833	VBILacBre13134_0003	1601	3172	-	1572		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187834	VBILacBre13134_0003	1601	3172	-	1572		FIG00750986: hypothetical protein
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187836	VBILacBre13134_0004	3300	3515	+	216		FIG00749304: hypothetical protein
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187835	VBILacBre13134_0004	3300	3515	+	216		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187838	VBILacBre13134_0005	3682	4215	+	534		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187837	VBILacBre13134_0005	3682	4215	+	534		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187840	VBILacBre13134_0006	4278	4469	+	192		FIG00747085: hypothetical protein
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187839	VBILacBre13134_0006	4278	4469	+	192		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	gene	30187841	VBILacBre13134_0007	4684	5829	-	1146		
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187842	VBILacBre13134_0007	4684	5829	-	1146		Cystathionine gamma-lyase (EC 4.4.1.1)
Lactobacillus brevis subsp. gravesensis ATCC 27305	NZ_GG669604	PATRIC	CDS	30187844	VBILacBre13134_0008	6294	6854	-	561		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
