GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	source	86961477		1	2066652	+	2066652		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961479	VBILacRum210878_0001	92	235	+	144		hypothetical protein
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961478	VBILacRum210878_0001	92	235	+	144		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961480	VBILacRum210878_0002	397	1782	+	1386		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961481	VBILacRum210878_0002	397	1782	+	1386		Chromosomal replication initiator protein DnaA
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961483	VBILacRum210878_0003	1958	3097	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961482	VBILacRum210878_0003	1958	3097	+	1140		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961484	VBILacRum210878_0004	3352	3579	+	228		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961485	VBILacRum210878_0004	3352	3579	+	228		FIG002958: hypothetical protein
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961487	VBILacRum210878_0005	3581	4741	+	1161		DNA recombination and repair protein RecF
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961486	VBILacRum210878_0005	3581	4741	+	1161		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961489	VBILacRum210878_0006	4780	6738	+	1959		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961488	VBILacRum210878_0006	4780	6738	+	1959		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	gene	86961490	VBILacRum210878_0007	6820	9327	+	2508		
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961491	VBILacRum210878_0007	6820	9327	+	2508		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus ruminis ATCC 27782	CP003032	PATRIC	CDS	86961493	VBILacRum210878_0008	9564	9857	+	294		SSU ribosomal protein S6p
