GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	source	52252730		1	7539	+	7539		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252731	VBILacReu168417_0001	509	760	-	252		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252732	VBILacReu168417_0001	509	760	-	252		hypothetical protein
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252734	VBILacReu168417_0002	726	1031	+	306		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252733	VBILacReu168417_pg001	726	1652	+	927		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252735	VBILacReu168417_0002	726	1031	+	306		Malate permease
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252737	VBILacReu168417_0003	1059	1202	+	144		Malate permease
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252736	VBILacReu168417_0003	1059	1202	+	144		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252739	VBILacReu168417_0004	1278	1652	+	375		Malate permease
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252738	VBILacReu168417_0004	1278	1652	+	375		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252741	VBILacReu168417_0005	2079	2219	+	141		hypothetical protein
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252740	VBILacReu168417_0005	2079	2219	+	141		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252743	VBILacReu168417_0006	2649	2837	-	189		Bacteriocin-like peptide N BlpN; Bacteriocin lactacin F, subunit LafX
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252742	VBILacReu168417_0006	2649	2837	-	189		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252745	VBILacReu168417_0007	2864	3070	-	207		Bacteriocin prepeptide or inducing factor for bacteriocin synthesis
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252744	VBILacReu168417_0007	2864	3070	-	207		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252746	VBILacReu168417_0008	3435	4067	+	633		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252747	VBILacReu168417_0008	3435	4067	+	633		Mobile element protein
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252748	VBILacReu168417_0009	4060	4659	+	600		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252749	VBILacReu168417_0009	4060	4659	+	600		Mobile element protein
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252750	VBILacReu168417_0010	5685	5804	+	120		
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252751	VBILacReu168417_0010	5685	5804	+	120		hypothetical protein
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	CDS	52252753	VBILacReu168417_0011	5824	7086	+	1263		ATP-binding region, ATPase-like
Lactobacillus reuteri mlc3	AEAW01000001	PATRIC	gene	52252752	VBILacReu168417_0011	5824	7086	+	1263		
Lactobacillus reuteri mlc3	AEAW01000002	PATRIC	source	52252754		1	1379	+	1379		
Lactobacillus reuteri mlc3	AEAW01000002	PATRIC	gene	52252755	VBILacReu168417_0012	47	982	+	936		
Lactobacillus reuteri mlc3	AEAW01000002	PATRIC	CDS	52252756	VBILacReu168417_0012	47	982	+	936		permease of the major facilitator superfamily
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	source	52252757		1	3560	+	3560		
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	gene	52252758	VBILacReu168417_0013	32	670	-	639		
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	CDS	52252759	VBILacReu168417_0013	32	670	-	639		YjbH-like, GTP pyrophosphokinase domain
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	CDS	52252761	VBILacReu168417_0014	835	1488	+	654		GTP pyrophosphokinase (EC 2.7.6.5)
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	gene	52252760	VBILacReu168417_0014	835	1488	+	654		
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	gene	52252762	VBILacReu168417_0015	1492	2304	+	813		
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	CDS	52252763	VBILacReu168417_0015	1492	2304	+	813		NAD kinase (EC 2.7.1.23)
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	CDS	52252765	VBILacReu168417_0016	2418	3209	+	792		Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type
Lactobacillus reuteri mlc3	AEAW01000003	PATRIC	gene	52252764	VBILacReu168417_0016	2418	3209	+	792		
Lactobacillus reuteri mlc3	AEAW01000004	PATRIC	source	52252766		1	9364	+	9364		
Lactobacillus reuteri mlc3	AEAW01000004	PATRIC	gene	52252767	VBILacReu168417_0017	15	284	-	270		
