GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	source	53485615		1	2317	+	2317		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	gene	53485616	VBILacDel173930_0001	30	1622	-	1593		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	CDS	53485617	VBILacDel173930_0001	30	1622	-	1593		Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	tRNA	53485619	VBILacDel173930_r001	2157	2229	+	73		tRNA-Asn-GTT
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	gene	53485618	VBILacDel173930_r001	2157	2229	+	73		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	gene	53485620	VBILacDel173930_r002	2233	2306	+	74		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000001	PATRIC	tRNA	53485621	VBILacDel173930_r002	2233	2306	+	74		tRNA-Pro-TGG
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	source	53485622		1	3934	+	3934		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	gene	53485623	VBILacDel173930_0002	365	1984	+	1620		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	CDS	53485624	VBILacDel173930_0002	365	1984	+	1620		Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	gene	53485625	VBILacDel173930_0003	2075	2317	+	243		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	CDS	53485626	VBILacDel173930_0003	2075	2317	+	243		hypothetical protein
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	CDS	53485628	VBILacDel173930_0004	2276	2488	-	213		hypothetical protein
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	gene	53485627	VBILacDel173930_0004	2276	2488	-	213		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	CDS	53485630	VBILacDel173930_0005	2460	2888	-	429		C-di-GMP-specific phosphodiesterase
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	gene	53485629	VBILacDel173930_0005	2460	2888	-	429		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	gene	53485631	VBILacDel173930_0006	3103	3867	-	765		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000002	PATRIC	CDS	53485632	VBILacDel173930_0006	3103	3867	-	765		FIG00747000: hypothetical protein
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	source	53485633		1	7501	+	7501		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	CDS	53485635	VBILacDel173930_0007	480	1364	+	885		Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	gene	53485634	VBILacDel173930_0007	480	1364	+	885		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	CDS	53485637	VBILacDel173930_0008	1384	2292	+	909		Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	gene	53485636	VBILacDel173930_0008	1384	2292	+	909		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	gene	53485638	VBILacDel173930_0009	2295	3170	+	876		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	CDS	53485639	VBILacDel173930_0009	2295	3170	+	876		Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	CDS	53485641	VBILacDel173930_0010	3173	3928	+	756		Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	gene	53485640	VBILacDel173930_0010	3173	3928	+	756		
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	CDS	53485643	VBILacDel173930_0011	3947	4585	+	639		Phosphate transport system regulatory protein PhoU
Lactobacillus delbrueckii subsp. lactis DSM 20072	AEXU01000003	PATRIC	gene	53485642	VBILacDel173930_0011	3947	4585	+	639		
