GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus SJ-3C-US	ADDT01000001	PATRIC	source	51847252		1	2396	+	2396		
Lactobacillus crispatus SJ-3C-US	ADDT01000001	PATRIC	CDS	51847254	VBILacCri20165_0001	252	2075	-	1824		CRISPR-associated protein, SAG0894 family
Lactobacillus crispatus SJ-3C-US	ADDT01000001	PATRIC	gene	51847253	VBILacCri20165_0001	252	2075	-	1824		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	source	51847255		1	10909	+	10909		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847256	VBILacCri20165_0002	18	179	+	162		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847257	VBILacCri20165_0002	18	179	+	162		transposase IS1201
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847258	VBILacCri20165_0003	549	1145	+	597		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847259	VBILacCri20165_0003	549	1145	+	597		putative enterolysin A
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847261	VBILacCri20165_0004	1216	1782	-	567		Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847260	VBILacCri20165_0004	1216	1782	-	567		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847262	VBILacCri20165_0005	1899	2066	-	168		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847263	VBILacCri20165_0005	1899	2066	-	168		FIG00752837: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847265	VBILacCri20165_0006	3130	4008	-	879		Integral membrane protein
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847264	VBILacCri20165_0006	3130	4008	-	879		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847267	VBILacCri20165_0007	4179	4826	+	648		putative temperature-sensitive replication protein
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847266	VBILacCri20165_0007	4179	4826	+	648		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847268	VBILacCri20165_0008	4852	5715	-	864		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847269	VBILacCri20165_0008	4852	5715	-	864		Homoserine kinase (EC 2.7.1.39)
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847271	VBILacCri20165_0009	5729	6964	-	1236		Homoserine dehydrogenase (EC 1.1.1.3)
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847270	VBILacCri20165_0009	5729	6964	-	1236		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847273	VBILacCri20165_0010	7076	8566	+	1491		Threonine synthase (EC 4.2.3.1)
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847272	VBILacCri20165_0010	7076	8566	+	1491		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847275	VBILacCri20165_0011	8586	9953	+	1368		Aspartokinase (EC 2.7.2.4)
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847274	VBILacCri20165_0011	8586	9953	+	1368		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	gene	51847276	VBILacCri20165_0012	10044	10604	-	561		
Lactobacillus crispatus SJ-3C-US	ADDT01000002	PATRIC	CDS	51847277	VBILacCri20165_0012	10044	10604	-	561		Phosphoglycerate mutase family 2
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	source	51847278		1	5113	+	5113		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	CDS	51847280	VBILacCri20165_0013	67	249	+	183		transposase IS1201
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	gene	51847279	VBILacCri20165_0013	67	249	+	183		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	gene	51847281	VBILacCri20165_0014	465	2780	+	2316		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	CDS	51847282	VBILacCri20165_0014	465	2780	+	2316		FIG00745716: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	gene	51847283	VBILacCri20165_0015	3210	3776	-	567		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	CDS	51847284	VBILacCri20165_0015	3210	3776	-	567		Transcriptional regulator, xre family
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	CDS	51847286	VBILacCri20165_0016	3854	4093	+	240		hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	gene	51847285	VBILacCri20165_0016	3854	4093	+	240		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	CDS	51847288	VBILacCri20165_0017	4352	4498	+	147		hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	gene	51847287	VBILacCri20165_0017	4352	4498	+	147		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	gene	51847289	VBILacCri20165_0018	4901	5083	-	183		
Lactobacillus crispatus SJ-3C-US	ADDT01000003	PATRIC	CDS	51847290	VBILacCri20165_0018	4901	5083	-	183		transposase IS1201
Lactobacillus crispatus SJ-3C-US	ADDT01000004	PATRIC	source	51847291		1	2442	+	2442		
Lactobacillus crispatus SJ-3C-US	ADDT01000004	PATRIC	CDS	51847293	VBILacCri20165_0019	280	609	-	330		ABC transporter ATP binding and permease protein
Lactobacillus crispatus SJ-3C-US	ADDT01000004	PATRIC	gene	51847292	VBILacCri20165_0019	280	609	-	330		
Lactobacillus crispatus SJ-3C-US	ADDT01000004	PATRIC	gene	51847294	VBILacCri20165_0020	606	2147	-	1542		
Lactobacillus crispatus SJ-3C-US	ADDT01000004	PATRIC	CDS	51847295	VBILacCri20165_0020	606	2147	-	1542		ABC-type multidrug transport system, ATPase and permease components
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	source	51847296		1	10965	+	10965		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847297	VBILacCri20165_0021	360	1022	-	663		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847298	VBILacCri20165_0021	360	1022	-	663		FIG00742186: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847300	VBILacCri20165_0022	1118	1657	-	540		FIG00747712: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847299	VBILacCri20165_0022	1118	1657	-	540		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847302	VBILacCri20165_0023	1756	2373	-	618		FIG00744922: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847301	VBILacCri20165_0023	1756	2373	-	618		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847303	VBILacCri20165_0024	2363	2524	-	162		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847304	VBILacCri20165_0024	2363	2524	-	162		FIG00744940: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847305	VBILacCri20165_0025	2540	3706	-	1167		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847306	VBILacCri20165_0025	2540	3706	-	1167		FIG00744804: hypothetical protein
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847308	VBILacCri20165_0026	3822	4358	-	537		Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61)
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847307	VBILacCri20165_0026	3822	4358	-	537		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847309	VBILacCri20165_0027	4372	5274	-	903		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847310	VBILacCri20165_0027	4372	5274	-	903		Ornithine carbamoyltransferase (EC 2.1.3.3)
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847311	VBILacCri20165_0028	5235	5666	-	432		
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	CDS	51847312	VBILacCri20165_0028	5235	5666	-	432		Ornithine carbamoyltransferase (EC 2.1.3.3)
Lactobacillus crispatus SJ-3C-US	ADDT01000005	PATRIC	gene	51847313	VBILacCri20165_0029	5677	6906	-	1230		
