GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gastricus PS3	AICN01000001	PATRIC	source	74027363		1	2771	+	2771		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027364	VBILacGas239477_0001	420	1751	-	1332		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	CDS	74027365	VBILacGas239477_0001	420	1751	-	1332		Xanthine/uracil permease
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027367	VBILacGas239477_r001	2019	2102	-	84		tRNA-Leu-CAA
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027366	VBILacGas239477_r001	2019	2102	-	84		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027368	VBILacGas239477_r002	2117	2187	-	71		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027369	VBILacGas239477_r002	2117	2187	-	71		tRNA-Cys-GCA
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027370	VBILacGas239477_r003	2215	2289	-	75		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027371	VBILacGas239477_r003	2215	2289	-	75		tRNA-His-GTG
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027373	VBILacGas239477_r004	2304	2374	-	71		tRNA-Trp-CCA
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027372	VBILacGas239477_r004	2304	2374	-	71		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027374	VBILacGas239477_r005	2384	2456	-	73		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027375	VBILacGas239477_r005	2384	2456	-	73		tRNA-Phe-GAA
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027377	VBILacGas239477_r006	2477	2549	-	73		tRNA-Val-TAC
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027376	VBILacGas239477_r006	2477	2549	-	73		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027378	VBILacGas239477_r007	2557	2628	-	72		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027379	VBILacGas239477_r007	2557	2628	-	72		tRNA-Glu-TTC
Lactobacillus gastricus PS3	AICN01000001	PATRIC	gene	74027380	VBILacGas239477_r008	2635	2726	-	92		
Lactobacillus gastricus PS3	AICN01000001	PATRIC	tRNA	74027381	VBILacGas239477_r008	2635	2726	-	92		tRNA-Pseudo-GGA
Lactobacillus gastricus PS3	AICN01000002	PATRIC	source	74027382		1	15869	+	15869		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027383	VBILacGas239477_0002	128	1345	+	1218		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027384	VBILacGas239477_0002	128	1345	+	1218		Preprotein translocase SecY2 subunit (TC 3.A.5.1.1)
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027385	VBILacGas239477_0003	1360	2931	+	1572		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027386	VBILacGas239477_0003	1360	2931	+	1572		Accessory secretory protein Asp1
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027387	VBILacGas239477_0004	2931	4487	+	1557		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027388	VBILacGas239477_0004	2931	4487	+	1557		Accessory secretory protein Asp2
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027390	VBILacGas239477_0005	4503	5120	+	618		Accessory secretory protein Asp3
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027389	VBILacGas239477_0005	4503	5120	+	618		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027391	VBILacGas239477_0006	5133	7508	+	2376		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027392	VBILacGas239477_0006	5133	7508	+	2376		Protein export cytoplasm protein SecA2 ATPase RNA helicase (TC 3.A.5.1.1)
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027393	VBILacGas239477_0007	7501	7713	+	213		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027394	VBILacGas239477_0007	7501	7713	+	213		hypothetical protein
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027395	VBILacGas239477_0008	7726	9207	+	1482		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027396	VBILacGas239477_0008	7726	9207	+	1482		Poly(glycerol-phosphate) alpha-glucosyltransferase GftA (EC 2.4.1.52)
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027397	VBILacGas239477_0009	9254	10534	+	1281		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027398	VBILacGas239477_0009	9254	10534	+	1281		conserved hypothetical protein
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027399	VBILacGas239477_0010	10608	10937	+	330		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027400	VBILacGas239477_0010	10608	10937	+	330		hypothetical protein
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027402	VBILacGas239477_0011	10921	11688	+	768		Galactofuranosyltransferase( EC:2.4.1.- )
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027401	VBILacGas239477_0011	10921	11688	+	768		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027404	VBILacGas239477_0012	11701	13707	+	2007		putative glycosyltransferase
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027403	VBILacGas239477_0012	11701	13707	+	2007		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027405	VBILacGas239477_0013	13799	14494	+	696		
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027406	VBILacGas239477_0013	13799	14494	+	696		Phosphoglycerate mutase (EC 5.4.2.1)
Lactobacillus gastricus PS3	AICN01000002	PATRIC	CDS	74027408	VBILacGas239477_0014	14659	15675	+	1017		hypothetical protein
Lactobacillus gastricus PS3	AICN01000002	PATRIC	gene	74027407	VBILacGas239477_0014	14659	15675	+	1017		
