GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	source	35686509		1	374877	+	374877		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686510	VBILacCri90530_0001	98	1126	-	1029		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686511	VBILacCri90530_0001	98	1126	-	1029		6-phosphogluconolactonase (EC 3.1.1.31)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686512	VBILacCri90530_0002	1306	1686	+	381		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686513	VBILacCri90530_0002	1306	1686	+	381		PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686514	VBILacCri90530_0003	1703	2890	+	1188		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686515	VBILacCri90530_0003	1703	2890	+	1188		FIG00906412: hypothetical protein
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686516	VBILacCri90530_0004	2953	3513	+	561		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686517	VBILacCri90530_0004	2953	3513	+	561		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686518	VBILacCri90530_0005	3513	3908	+	396		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686519	VBILacCri90530_0005	3513	3908	+	396		FIG00742078: hypothetical protein
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686521	VBILacCri90530_0006	3921	6344	+	2424		Cell division protein FtsK
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686520	VBILacCri90530_0006	3921	6344	+	2424		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686522	VBILacCri90530_0007	6331	7545	+	1215		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686523	VBILacCri90530_0007	6331	7545	+	1215		FIG001621: Zinc protease
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686524	VBILacCri90530_0008	7542	8786	+	1245		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686525	VBILacCri90530_0008	7542	8786	+	1245		FIG009210: peptidase, M16 family
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686527	VBILacCri90530_0009	8800	9528	+	729		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686526	VBILacCri90530_0009	8800	9528	+	729		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686529	VBILacCri90530_0010	9596	10675	+	1080		Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686528	VBILacCri90530_0010	9596	10675	+	1080		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686531	VBILacCri90530_0011	10693	11253	+	561		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686530	VBILacCri90530_0011	10693	11253	+	561		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686533	VBILacCri90530_0012	11446	12546	+	1101		RecA protein
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686532	VBILacCri90530_0012	11446	12546	+	1101		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686534	VBILacCri90530_0013	12662	14299	+	1638		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686535	VBILacCri90530_0013	12662	14299	+	1638		FIG002344: Hydrolase (HAD superfamily)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686537	VBILacCri90530_0014	14403	15560	+	1158		Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686536	VBILacCri90530_0014	14403	15560	+	1158		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686538	VBILacCri90530_0015	15595	16257	-	663		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686539	VBILacCri90530_0015	15595	16257	-	663		FIG000605: protein co-occurring with transport systems (COG1739)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686540	VBILacCri90530_0016	16303	17583	+	1281		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686541	VBILacCri90530_0016	16303	17583	+	1281		ComF operon protein A, DNA transporter ATPase
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686543	VBILacCri90530_0017	17580	18275	+	696		ComF operon protein C
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686542	VBILacCri90530_0017	17580	18275	+	696		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686544	VBILacCri90530_0018	18356	18901	+	546		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686545	VBILacCri90530_0018	18356	18901	+	546		Ribosomal subunit interface protein
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686546	VBILacCri90530_0019	19043	21442	+	2400		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686547	VBILacCri90530_0019	19043	21442	+	2400		Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686549	VBILacCri90530_0020	21625	22623	+	999		Peptide chain release factor 2
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686548	VBILacCri90530_0020	21625	22623	+	999		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686550	VBILacCri90530_0021	22632	22904	+	273		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686551	VBILacCri90530_0021	22632	22904	+	273		FIG01263178: hypothetical protein
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686552	VBILacCri90530_0022	22919	23887	+	969		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686553	VBILacCri90530_0022	22919	23887	+	969		HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686555	VBILacCri90530_0023	23880	24719	+	840		Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686554	VBILacCri90530_0023	23880	24719	+	840		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686556	VBILacCri90530_0024	24760	25779	+	1020		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686557	VBILacCri90530_0024	24760	25779	+	1020		Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686558	VBILacCri90530_0025	25861	26799	+	939		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686559	VBILacCri90530_0025	25861	26799	+	939		Thioredoxin reductase (EC 1.8.1.9)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686561	VBILacCri90530_0026	26966	28690	+	1725		Phosphoglucosamine mutase (EC 5.4.2.10) / Phosphomannomutase (EC 5.4.2.8)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686560	VBILacCri90530_0026	26966	28690	+	1725		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686562	VBILacCri90530_0027	28793	30823	+	2031		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686563	VBILacCri90530_0027	28793	30823	+	2031		Excinuclease ABC subunit B
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686565	VBILacCri90530_0028	30813	33653	+	2841		Excinuclease ABC subunit A
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686564	VBILacCri90530_0028	30813	33653	+	2841		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686566	VBILacCri90530_0029	33726	34268	+	543		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686567	VBILacCri90530_0029	33726	34268	+	543		Integral membrane protein
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686569	VBILacCri90530_0030	34362	35243	+	882		Hypothetical ATP-binding protein UPF0042, contains P-loop
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686568	VBILacCri90530_0030	34362	35243	+	882		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686571	VBILacCri90530_0031	35254	36297	+	1044		Hypothetical protein UPF0052
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686570	VBILacCri90530_0031	35254	36297	+	1044		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686573	VBILacCri90530_0032	36290	37225	+	936		Cytoplasmic hypothetical protein DUF199
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686572	VBILacCri90530_0032	36290	37225	+	936		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686575	VBILacCri90530_0132	38319	38903	-	585		ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	gene	35686574	VBILacCri90530_0132	38319	38903	-	585		
Lactobacillus crispatus MV-3A-US	NZ_GG704606	PATRIC	CDS	35686577	VBILacCri90530_0133	39098	40726	+	1629		FIG00747220: hypothetical protein
