GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	source	30733476		1	205925	+	205925		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733478	VBILacGas39627_0001	1	171	+	171		FIG00746935: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733477	VBILacGas39627_0001	1	171	+	171		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733479	VBILacGas39627_0002	1101	1262	+	162		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733480	VBILacGas39627_0002	1101	1262	+	162		Inner membrane protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733482	VBILacGas39627_0003	1914	2282	+	369		Inner membrane protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733481	VBILacGas39627_0003	1914	2282	+	369		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733483	VBILacGas39627_0004	2328	2726	-	399		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733484	VBILacGas39627_0004	2328	2726	-	399		Transcriptional regulator
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733486	VBILacGas39627_0005	2835	2987	+	153		COG0488: ATPase components of ABC transporters with duplicated ATPase domains
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733485	VBILacGas39627_0005	2835	2987	+	153		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733487	VBILacGas39627_0006	3363	3620	-	258		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733488	VBILacGas39627_0006	3363	3620	-	258		FIG00747650: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733490	VBILacGas39627_0007	3744	4019	+	276		FIG00745912: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733489	VBILacGas39627_0007	3744	4019	+	276		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733492	VBILacGas39627_0008	4174	4299	+	126		FIG00748112: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733491	VBILacGas39627_0008	4174	4299	+	126		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733494	VBILacGas39627_0009	5220	5858	+	639		YbbL ABC transporter ATP-binding protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733493	VBILacGas39627_0009	5220	5858	+	639		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733496	VBILacGas39627_0010	5855	6616	+	762		YbbM seven transmembrane helix protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733495	VBILacGas39627_0010	5855	6616	+	762		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733497	VBILacGas39627_0011	6665	7186	+	522		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733498	VBILacGas39627_0011	6665	7186	+	522		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733500	VBILacGas39627_0012	7423	7836	-	414		FIG00750601: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733499	VBILacGas39627_0012	7423	7836	-	414		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733502	VBILacGas39627_0013	7838	8275	-	438		FIG00749442: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733501	VBILacGas39627_0013	7838	8275	-	438		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733503	VBILacGas39627_0014	8543	9226	-	684		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733504	VBILacGas39627_0014	8543	9226	-	684		Predicted integral membrane protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733506	VBILacGas39627_0015	9421	11268	+	1848		cell surface protein precursor
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733505	VBILacGas39627_0015	9421	11268	+	1848		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733508	VBILacGas39627_0016	11288	12133	+	846		Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733507	VBILacGas39627_0016	11288	12133	+	846		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733509	VBILacGas39627_0017	12258	20711	+	8454		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733510	VBILacGas39627_0017	12258	20711	+	8454		hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733512	VBILacGas39627_0018	20753	21163	+	411		FIG00745413: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733511	VBILacGas39627_0018	20753	21163	+	411		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733513	VBILacGas39627_0019	21242	23890	+	2649		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733514	VBILacGas39627_0019	21242	23890	+	2649		FIG00745413: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733516	VBILacGas39627_0020	24248	25729	+	1482		FIG00748463: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733515	VBILacGas39627_0020	24248	25729	+	1482		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733518	VBILacGas39627_0021	25829	26428	+	600		contains haloacid dehalogenase-like domain
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733517	VBILacGas39627_0021	25829	26428	+	600		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733520	VBILacGas39627_0022	26459	27082	+	624		ADP-ribose pyrophosphatase
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733519	VBILacGas39627_0022	26459	27082	+	624		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733521	VBILacGas39627_0023	27401	28147	+	747		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733522	VBILacGas39627_0023	27401	28147	+	747		FIG00746764: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733523	VBILacGas39627_0024	28609	29988	+	1380		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733524	VBILacGas39627_0024	28609	29988	+	1380		Branched-chain amino acid transport system carrier protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733526	VBILacGas39627_0025	30041	30214	-	174		transposase
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733525	VBILacGas39627_0025	30041	30214	-	174		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733528	VBILacGas39627_0026	30180	30329	-	150		Transposase
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733527	VBILacGas39627_0026	30180	30329	-	150		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733530	VBILacGas39627_0027	30426	30536	-	111		Transposase
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733529	VBILacGas39627_0027	30426	30536	-	111		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733532	VBILacGas39627_0028	30533	30679	-	147		transposase
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733531	VBILacGas39627_0028	30533	30679	-	147		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733534	VBILacGas39627_0029	30817	31098	-	282		Mobile element protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733533	VBILacGas39627_0029	30817	31098	-	282		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733535	VBILacGas39627_0030	31133	31276	-	144		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733536	VBILacGas39627_0030	31133	31276	-	144		hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733538	VBILacGas39627_0031	31538	31777	+	240		FIG00745106: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733537	VBILacGas39627_0031	31538	31777	+	240		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733540	VBILacGas39627_0032	31832	32212	-	381		Transcriptional regulator, HxlR family
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733539	VBILacGas39627_0032	31832	32212	-	381		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733542	VBILacGas39627_0033	32330	32623	+	294		FIG00746281: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733541	VBILacGas39627_0033	32330	32623	+	294		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733543	VBILacGas39627_0034	32688	33860	+	1173		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733544	VBILacGas39627_0034	32688	33860	+	1173		FIG00743437: hypothetical protein
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733545	VBILacGas39627_0035	34035	34193	+	159		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733546	VBILacGas39627_0035	34035	34193	+	159		Short-chain alcohol dehydrogenase
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733548	VBILacGas39627_0036	34271	34750	+	480		oxidoreductase, short chain dehydrogenase/reductase family
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733547	VBILacGas39627_0036	34271	34750	+	480		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733549	VBILacGas39627_0037	34931	36526	+	1596		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733550	VBILacGas39627_0037	34931	36526	+	1596		ABC transporter ATPase and permease components
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733552	VBILacGas39627_0038	36523	38106	+	1584		ABC transporter ATPase and permease components
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	gene	30733551	VBILacGas39627_0038	36523	38106	+	1584		
Lactobacillus gasseri MV-22	NZ_DS995854	PATRIC	CDS	30733554	VBILacGas39627_0039	38506	38742	+	237		4-carboxymuconolactone decarboxylase (EC 4.1.1.44)
