GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	source	71447615		1	983797	+	983797		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	tRNA	71447617	VBILacRha173451_r001	96	168	+	73		tRNA-Val-TAC
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447616	VBILacRha173451_r001	96	168	+	73		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447618	VBILacRha173451_0001	322	975	-	654		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	CDS	71447619	VBILacRha173451_0001	322	975	-	654		FIG00742891: hypothetical protein
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	CDS	71447621	VBILacRha173451_0002	1154	2338	+	1185		S-adenosylmethionine synthetase (EC 2.5.1.6)
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447620	VBILacRha173451_0002	1154	2338	+	1185		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	CDS	71447623	VBILacRha173451_0003	2391	2546	+	156		hypothetical protein
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447622	VBILacRha173451_0003	2391	2546	+	156		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	CDS	71447625	VBILacRha173451_0004	2869	4362	+	1494		Permeases of the major facilitator superfamily
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447624	VBILacRha173451_0004	2869	4362	+	1494		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	CDS	71447627	VBILacRha173451_0005	4539	5009	-	471		Predicted transcriptional regulator
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447626	VBILacRha173451_0005	4539	5009	-	471		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	gene	71447628	VBILacRha173451_0006	5008	5136	+	129		
Lactobacillus rhamnosus R0011	AGKC01000001	PATRIC	CDS	71447629	VBILacRha173451_0006	5008	5136	+	129		FIG00748393: hypothetical protein
