"GENOME_NAME"	"ACCESSION"	"ANNOTATION"	"FEATURE_TYPE"	"NA_FEATURE_ID"	"LOCUS_TAG"	"START"	"END"	"STRAND"	"NA_LENGTH"	"GENE"	"PRODUCT"	"SEQID"	"GENUS"	"SPECIES"
"Lactobacillus crispatus FB077-07"	"AGZG01000018"	"PATRIC"	"rRNA"	100866227	"VBILacCri172082_r011"	17920	19478	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGZG01000018:17920-19478:+:Lactobacillus_crispatus_FB077-07"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus FB077-07"	"AGZG01000019"	"PATRIC"	"rRNA"	100866300	"VBILacCri172082_r040"	12526	14094	"+"	1569	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGZG01000019:12526-14094:+:Lactobacillus_crispatus_FB077-07"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus FB077-07"	"AGZG01000109"	"PATRIC"	"rRNA"	100870265	"VBILacCri172082_r072"	23641	25188	"+"	1548	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGZG01000109:23641-25188:+:Lactobacillus_crispatus_FB077-07"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus FB049-03"	"AGZF01000016"	"PATRIC"	"rRNA"	100872001	"VBILacCri169909_r020"	28555	30113	"-"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGZF01000016:28555-30113:-:Lactobacillus_crispatus_FB049-03"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus FB049-03"	"AGZF01000044"	"PATRIC"	"rRNA"	100873644	"VBILacCri169909_r055"	12536	14094	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGZF01000044:12536-14094:+:Lactobacillus_crispatus_FB049-03"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus FB049-03"	"AGZF01000086"	"PATRIC"	"rRNA"	100875555	"VBILacCri169909_r072"	104	1662	"-"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGZF01000086:104-1662:-:Lactobacillus_crispatus_FB049-03"	"Lactobacillus"	"crispatus"
"Lactobacillus acidipiscis KCTC 13900"	"BACS01000339"	"PATRIC"	"rRNA"	59568477	"VBILacAci203005_r032"	1	1504	"-"	1504	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"BACS01000339:1-1504:-:Lactobacillus_acidipiscis_KCTC_13900"	"Lactobacillus"	"acidipiscis"
"Lactobacillus acidophilus 30SC"	"NC_015214"	"PATRIC"	"rRNA"	46962745	"VBILacAci171603_r002"	57091	58602	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015214:57091-58602:+:Lactobacillus_acidophilus_30SC"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus 30SC"	"NC_015214"	"PATRIC"	"rRNA"	46963571	"VBILacAci171603_r016"	447399	448910	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015214:447399-448910:+:Lactobacillus_acidophilus_30SC"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus 30SC"	"NC_015214"	"PATRIC"	"rRNA"	46963655	"VBILacAci171603_r048"	469566	471077	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015214:469566-471077:+:Lactobacillus_acidophilus_30SC"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus 30SC"	"NC_015214"	"PATRIC"	"rRNA"	46966305	"VBILacAci171603_r073"	1712822	1714333	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015214:1712822-1714333:-:Lactobacillus_acidophilus_30SC"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus ATCC 4796"	"NZ_GG669569"	"PATRIC"	"rRNA"	31205633	"VBILacAci137213_r030"	8	1566	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG669569:8-1566:+:Lactobacillus_acidophilus_ATCC_4796"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus NCFM"	"NC_006814"	"PATRIC"	"rRNA"	22195168	"VBILacAci7974_r002"	59261	60819	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_006814:59261-60819:+:Lactobacillus_acidophilus_NCFM"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus NCFM"	"NC_006814"	"PATRIC"	"rRNA"	22195924	"VBILacAci7974_r013"	413785	415343	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_006814:413785-415343:+:Lactobacillus_acidophilus_NCFM"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus NCFM"	"NC_006814"	"PATRIC"	"rRNA"	22196006	"VBILacAci7974_r045"	434253	435811	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_006814:434253-435811:+:Lactobacillus_acidophilus_NCFM"	"Lactobacillus"	"acidophilus"
"Lactobacillus acidophilus NCFM"	"NC_006814"	"PATRIC"	"rRNA"	22198283	"VBILacAci7974_r072"	1632696	1634254	"-"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_006814:1632696-1634254:-:Lactobacillus_acidophilus_NCFM"	"Lactobacillus"	"acidophilus"
"Lactobacillus amylolyticus DSM 11664"	"NZ_ADNY01000006"	"PATRIC"	"rRNA"	37129224	"VBILacAmy37500_r005"	3523	5081	"-"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADNY01000006:3523-5081:-:Lactobacillus_amylolyticus_DSM_11664"	"Lactobacillus"	"amylolyticus"
"Lactobacillus amylovorus GRL 1112"	"CP002338"	"PATRIC"	"rRNA"	43075024	"VBILacAmy150400_r002"	66294	67807	"+"	1514	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002338:66294-67807:+:Lactobacillus_amylovorus_GRL_1112"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL 1112"	"CP002338"	"PATRIC"	"rRNA"	43075849	"VBILacAmy150400_r012"	450126	451639	"+"	1514	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002338:450126-451639:+:Lactobacillus_amylovorus_GRL_1112"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL 1112"	"CP002338"	"PATRIC"	"rRNA"	43075933	"VBILacAmy150400_r044"	469952	471465	"+"	1514	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002338:469952-471465:+:Lactobacillus_amylovorus_GRL_1112"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL 1112"	"CP002338"	"PATRIC"	"rRNA"	43078641	"VBILacAmy150400_r070"	1744053	1745566	"-"	1514	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002338:1744053-1745566:-:Lactobacillus_amylovorus_GRL_1112"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL1118"	"CP002609"	"PATRIC"	"rRNA"	54148298	"VBILacAmy156066_r002"	55901	57412	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002609:55901-57412:+:Lactobacillus_amylovorus_GRL1118"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL1118"	"CP002609"	"PATRIC"	"rRNA"	54149082	"VBILacAmy156066_r014"	413067	414578	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002609:413067-414578:+:Lactobacillus_amylovorus_GRL1118"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL1118"	"CP002609"	"PATRIC"	"rRNA"	54149162	"VBILacAmy156066_r046"	431084	432595	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002609:431084-432595:+:Lactobacillus_amylovorus_GRL1118"	"Lactobacillus"	"amylovorus"
"Lactobacillus amylovorus GRL1118"	"CP002609"	"PATRIC"	"rRNA"	54151604	"VBILacAmy156066_r072"	1592872	1594383	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002609:1592872-1594383:-:Lactobacillus_amylovorus_GRL1118"	"Lactobacillus"	"amylovorus"
"Lactobacillus animalis KCTC 3501"	"AEOF01000010"	"PATRIC"	"rRNA"	52776494	"VBILacAni178686_r009"	3332	4874	"-"	1543	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEOF01000010:3332-4874:-:Lactobacillus_animalis_KCTC_3501"	"Lactobacillus"	"animalis"
"Lactobacillus antri DSM 16041"	"NZ_GG700732"	"PATRIC"	"rRNA"	30183546	"VBILacAnt9210_r001"	71	1641	"+"	1571	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG700732:71-1641:+:Lactobacillus_antri_DSM_16041"	"Lactobacillus"	"antri"
"Lactobacillus brevis ATCC 367"	"NC_008497"	"PATRIC"	"rRNA"	22199132	"VBILacBre134470_r004"	86143	87686	"+"	1544	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008497:86143-87686:+:Lactobacillus_brevis_ATCC_367"	"Lactobacillus"	"brevis"
"Lactobacillus brevis ATCC 367"	"NC_008497"	"PATRIC"	"rRNA"	22199820	"VBILacBre134470_r007"	453208	454751	"+"	1544	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008497:453208-454751:+:Lactobacillus_brevis_ATCC_367"	"Lactobacillus"	"brevis"
"Lactobacillus brevis ATCC 367"	"NC_008497"	"PATRIC"	"rRNA"	22200016	"VBILacBre134470_r011"	562987	564530	"+"	1544	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008497:562987-564530:+:Lactobacillus_brevis_ATCC_367"	"Lactobacillus"	"brevis"
"Lactobacillus brevis ATCC 367"	"NC_008497"	"PATRIC"	"rRNA"	22201281	"VBILacBre134470_r046"	1146827	1148370	"-"	1544	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008497:1146827-1148370:-:Lactobacillus_brevis_ATCC_367"	"Lactobacillus"	"brevis"
"Lactobacillus brevis ATCC 367"	"NC_008497"	"PATRIC"	"rRNA"	22202019	"VBILacBre134470_r067"	1504692	1506235	"-"	1544	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008497:1504692-1506235:-:Lactobacillus_brevis_ATCC_367"	"Lactobacillus"	"brevis"
"Lactobacillus buchneri CD034"	"CP003043"	"PATRIC"	"rRNA"	102033524	"VBILacBuc228279_r002"	732386	733905	"+"	1520	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP003043:732386-733905:+:Lactobacillus_buchneri_CD034"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri CD034"	"CP003043"	"PATRIC"	"rRNA"	102033802	"VBILacBuc228279_r027"	854068	855587	"+"	1520	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP003043:854068-855587:+:Lactobacillus_buchneri_CD034"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri CD034"	"CP003043"	"PATRIC"	"rRNA"	102035393	"VBILacBuc228279_r059"	1595870	1597389	"-"	1520	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP003043:1595870-1597389:-:Lactobacillus_buchneri_CD034"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri CD034"	"CP003043"	"PATRIC"	"rRNA"	102035535	"VBILacBuc228279_r063"	1676719	1678238	"-"	1520	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP003043:1676719-1678238:-:Lactobacillus_buchneri_CD034"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri CD034"	"CP003043"	"PATRIC"	"rRNA"	102036708	"VBILacBuc228279_r076"	2304848	2306367	"-"	1520	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP003043:2304848-2306367:-:Lactobacillus_buchneri_CD034"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri NRRL B-30929"	"NC_015428"	"PATRIC"	"rRNA"	54462391	"VBILacBuc105504_r004"	706253	707806	"+"	1554	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015428:706253-707806:+:Lactobacillus_buchneri_NRRL_B-30929"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri NRRL B-30929"	"NC_015428"	"PATRIC"	"rRNA"	54462671	"VBILacBuc105504_r029"	829457	831010	"+"	1554	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015428:829457-831010:+:Lactobacillus_buchneri_NRRL_B-30929"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri NRRL B-30929"	"NC_015428"	"PATRIC"	"rRNA"	54464307	"VBILacBuc105504_r061"	1597817	1599369	"-"	1553	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015428:1597817-1599369:-:Lactobacillus_buchneri_NRRL_B-30929"	"Lactobacillus"	"buchneri"
"Lactobacillus buchneri NRRL B-30929"	"NC_015428"	"PATRIC"	"rRNA"	54464451	"VBILacBuc105504_r065"	1678774	1680327	"-"	1554	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015428:1678774-1680327:-:Lactobacillus_buchneri_NRRL_B-30929"	"Lactobacillus"	"buchneri"
