GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	source	30718187		1	367310	+	367310		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718188	VBILacFer94112_0001	377	1561	-	1185		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718189	VBILacFer94112_0001	377	1561	-	1185		Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718190	VBILacFer94112_0002	1929	3302	+	1374		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718191	VBILacFer94112_0002	1929	3302	+	1374		Glutamate--cysteine ligase (EC 6.3.2.2)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718192	VBILacFer94112_0003	3499	4329	+	831		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718193	VBILacFer94112_0003	3499	4329	+	831		putative amino acid transporter, amino acid-binding protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718194	VBILacFer94112_r001	4606	4693	-	88		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	tRNA	30718195	VBILacFer94112_r001	4606	4693	-	88		tRNA-Leu-AAG
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718197	VBILacFer94112_0004	4808	5923	+	1116		FIG00744419: hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718196	VBILacFer94112_0004	4808	5923	+	1116		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718199	VBILacFer94112_0005	6064	6336	+	273		FIG00751432: hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718198	VBILacFer94112_0005	6064	6336	+	273		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718200	VBILacFer94112_0006	6467	7018	+	552		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718201	VBILacFer94112_0006	6467	7018	+	552		Phenolic acid decarboxylase (EC 4.1.1.-)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718203	VBILacFer94112_0007	7101	7652	+	552		Negative regulator of phenolic acid metabolism PadR
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718202	VBILacFer94112_0007	7101	7652	+	552		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718204	VBILacFer94112_0008	7658	8095	+	438		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718205	VBILacFer94112_0008	7658	8095	+	438		Nucleoside diphosphate kinase (EC 2.7.4.6)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718206	VBILacFer94112_0009	8188	8559	-	372		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718207	VBILacFer94112_0009	8188	8559	-	372		FIG00742793: hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718209	VBILacFer94112_0010	8576	8869	-	294		FIG00753813: hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718208	VBILacFer94112_0010	8576	8869	-	294		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718210	VBILacFer94112_0011	8873	10108	-	1236		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718211	VBILacFer94112_0011	8873	10108	-	1236		contains ATPase involved in DNA replication initiation domain
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718212	VBILacFer94112_0012	10268	12046	+	1779		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718213	VBILacFer94112_0012	10268	12046	+	1779		1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718215	VBILacFer94112_0013	12364	13326	+	963		FIG00742787: hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718214	VBILacFer94112_0013	12364	13326	+	963		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718217	VBILacFer94112_0014	13601	14986	+	1386		hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718216	VBILacFer94112_0014	13601	14986	+	1386		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718218	VBILacFer94112_0109	15941	16636	+	696		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718219	VBILacFer94112_0109	15941	16636	+	696		FIG00750341: hypothetical protein
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718220	VBILacFer94112_0110	16636	17025	+	390		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718221	VBILacFer94112_0110	16636	17025	+	390		Dipeptidase (EC 3.4.-.-)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718222	VBILacFer94112_0111	17040	17993	+	954		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718223	VBILacFer94112_0111	17040	17993	+	954		Dipeptidase (EC 3.4.-.-)
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	gene	30718224	VBILacFer94112_0112	18068	18955	+	888		
Lactobacillus fermentum 28-3-CHN	NZ_GG704699	PATRIC	CDS	30718225	VBILacFer94112_0112	18068	18955	+	888		DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)
