GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	source	22873358		1	1832387	+	1832387		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873360	VBIPedPen34213_0001	50	1390	+	1341		Chromosomal replication initiator protein DnaA
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873359	VBIPedPen34213_0001	50	1390	+	1341		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873362	VBIPedPen34213_0002	1568	2707	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873361	VBIPedPen34213_0002	1568	2707	+	1140		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873363	VBIPedPen34213_0003	2928	3155	+	228		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873364	VBIPedPen34213_0003	2928	3155	+	228		FIG002958: hypothetical protein
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873365	VBIPedPen34213_0004	3239	4279	+	1041		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873366	VBIPedPen34213_0004	3239	4279	+	1041		DNA recombination and repair protein RecF
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873367	VBIPedPen34213_0005	4284	6230	+	1947		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873368	VBIPedPen34213_0005	4284	6230	+	1947		DNA gyrase subunit B (EC 5.99.1.3)
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873370	VBIPedPen34213_0006	6279	8810	+	2532		DNA gyrase subunit A (EC 5.99.1.3)
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873369	VBIPedPen34213_0006	6279	8810	+	2532		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873371	VBIPedPen34213_0007	9057	9341	+	285		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873372	VBIPedPen34213_0007	9057	9341	+	285		SSU ribosomal protein S6p
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873374	VBIPedPen34213_0008	9377	9904	+	528		Single-stranded DNA-binding protein
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873373	VBIPedPen34213_0008	9377	9904	+	528		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873375	VBIPedPen34213_0009	9928	10164	+	237		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873376	VBIPedPen34213_0009	9928	10164	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873378	VBIPedPen34213_0010	10367	12367	+	2001		Phosphoesterase, DHH family protein
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873377	VBIPedPen34213_0010	10367	12367	+	2001		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873379	VBIPedPen34213_0011	12373	12825	+	453		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873380	VBIPedPen34213_0011	12373	12825	+	453		LSU ribosomal protein L9p
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873381	VBIPedPen34213_0012	12874	14271	+	1398		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873382	VBIPedPen34213_0012	12874	14271	+	1398		Replicative DNA helicase (EC 3.6.1.-)
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873384	VBIPedPen34213_0013	14364	15563	+	1200		permease of the major facilitator superfamily
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873383	VBIPedPen34213_0013	14364	15563	+	1200		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873386	VBIPedPen34213_0014	15587	15955	-	369		FIG00906253: hypothetical protein
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873385	VBIPedPen34213_0014	15587	15955	-	369		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873387	VBIPedPen34213_0015	16199	16930	+	732		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873388	VBIPedPen34213_0015	16199	16930	+	732		FIG00906308: hypothetical protein
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873390	VBIPedPen34213_0016	17257	18741	+	1485		ABC transporter, ATP-binding protein
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873389	VBIPedPen34213_0016	17257	18741	+	1485		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873392	VBIPedPen34213_0017	18825	19328	+	504		Transcriptional regulator, TetR family
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873391	VBIPedPen34213_0017	18825	19328	+	504		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	gene	22873393	VBIPedPen34213_0018	19331	20395	+	1065		
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873394	VBIPedPen34213_0018	19331	20395	+	1065		ABC transporter permease component
Pediococcus pentosaceus ATCC 25745	NC_008525	PATRIC	CDS	22873396	VBIPedPen34213_0019	20396	21076	+	681		ABC transporter ATP-binding protein
