GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus HN001	NC_011223	PATRIC	source	26519004		1	8754	+	8754		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519006	VBILacRha3627_0001	41	724	-	684		Mobile element protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519005	VBILacRha3627_0001	41	724	-	684		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519008	VBILacRha3627_0002	1513	1662	+	150		replication protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519007	VBILacRha3627_0002	1513	1662	+	150		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519009	VBILacRha3627_0003	1719	1898	+	180		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519010	VBILacRha3627_0003	1719	1898	+	180		replication protein A2
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519012	VBILacRha3627_0004	2029	2154	+	126		hypothetical protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519011	VBILacRha3627_0004	2029	2154	+	126		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519013	VBILacRha3627_0005	2563	3342	+	780		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519014	VBILacRha3627_0005	2563	3342	+	780		replication protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519015	VBILacRha3627_0006	3714	4235	-	522		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519016	VBILacRha3627_0006	3714	4235	-	522		hypothetical protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519018	VBILacRha3627_0007	4963	6192	-	1230		FIG00749963: hypothetical protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519017	VBILacRha3627_0007	4963	6192	-	1230		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519020	VBILacRha3627_0008	6336	6626	+	291		hypothetical protein
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519019	VBILacRha3627_0008	6336	6626	+	291		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	CDS	26519022	VBILacRha3627_0009	7168	7644	+	477		Molecular chaperone (small heat shock protein)
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519021	VBILacRha3627_0009	7168	7644	+	477		
Lactobacillus rhamnosus HN001	NC_011223	PATRIC	gene	26519023	VBILacRha3627_0010	7988	8146	+	159		
