GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	source	52645551		1	29089	+	29089		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645553	VBILacCor175686_0001	109	2637	-	2529		Functional role page for Anaerobic nitric oxide reductase transcription regulator NorR
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645552	VBILacCor175686_0001	109	2637	-	2529		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645555	VBILacCor175686_0002	3223	3657	+	435		PTS system, fructose- and mannose-inducible IIA component (EC 2.7.1.69)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645554	VBILacCor175686_0002	3223	3657	+	435		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645556	VBILacCor175686_0003	3671	4165	+	495		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645557	VBILacCor175686_0003	3671	4165	+	495		PTS system, fructose- and mannose-inducible IIB component (EC 2.7.1.69)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645558	VBILacCor175686_0004	4197	5048	+	852		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645559	VBILacCor175686_0004	4197	5048	+	852		PTS system, fructose- and mannose-inducible IIC component (EC 2.7.1.69)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645561	VBILacCor175686_0005	5051	5896	+	846		PTS system, fructose- and mannose-inducible IID component (EC 2.7.1.69)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645560	VBILacCor175686_0005	5051	5896	+	846		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645563	VBILacCor175686_0006	5930	6220	+	291		PTS system, fructose- and mannose-inducible putative EII component
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645562	VBILacCor175686_0006	5930	6220	+	291		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645564	VBILacCor175686_0007	6651	7466	+	816		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645565	VBILacCor175686_0007	6651	7466	+	816		Methionine ABC transporter substrate-binding protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645567	VBILacCor175686_0008	7493	8614	+	1122		Cystathionine gamma-synthase (EC 2.5.1.48)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645566	VBILacCor175686_0008	7493	8614	+	1122		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645568	VBILacCor175686_0009	8677	9006	+	330		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645569	VBILacCor175686_0009	8677	9006	+	330		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645570	VBILacCor175686_0010	9414	9881	+	468		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645571	VBILacCor175686_0010	9414	9881	+	468		Competence/damage-inducible protein CinA
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645572	VBILacCor175686_0011	9946	10608	+	663		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645573	VBILacCor175686_0011	9946	10608	+	663		contains glutamine amidotransferase class-I domain
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645575	VBILacCor175686_0012	10733	11755	+	1023		FIG00745760: hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645574	VBILacCor175686_0012	10733	11755	+	1023		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645577	VBILacCor175686_0013	12252	13472	+	1221		Aspartate aminotransferase (EC 2.6.1.1)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645576	VBILacCor175686_0013	12252	13472	+	1221		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645579	VBILacCor175686_0014	13438	13629	-	192		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645578	VBILacCor175686_0014	13438	13629	-	192		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645580	VBILacCor175686_0015	13796	14485	+	690		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645581	VBILacCor175686_0015	13796	14485	+	690		Phosphoglycerate mutase (EC 5.4.2.1)
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645582	VBILacCor175686_0016	14931	17741	-	2811		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645583	VBILacCor175686_0016	14931	17741	-	2811		FIG045374: Type II restriction enzyme, methylase subunit YeeA
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645584	VBILacCor175686_0017	18067	18348	+	282		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645585	VBILacCor175686_0017	18067	18348	+	282		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645586	VBILacCor175686_0018	18450	18926	+	477		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645587	VBILacCor175686_0018	18450	18926	+	477		DNA repair protein RadC
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645589	VBILacCor175686_0019	18916	19278	+	363		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645588	VBILacCor175686_0019	18916	19278	+	363		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645591	VBILacCor175686_0020	19235	19348	+	114		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645590	VBILacCor175686_0020	19235	19348	+	114		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645593	VBILacCor175686_0021	19374	19904	+	531		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645592	VBILacCor175686_0021	19374	19904	+	531		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645595	VBILacCor175686_0022	19982	20827	+	846		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645594	VBILacCor175686_0022	19982	20827	+	846		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645596	VBILacCor175686_0023	21072	22217	+	1146		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645597	VBILacCor175686_0023	21072	22217	+	1146		DNA polymerase I( EC:2.7.7.7 )
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645598	VBILacCor175686_0024	22231	22683	+	453		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645599	VBILacCor175686_0024	22231	22683	+	453		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645601	VBILacCor175686_0025	22772	23035	+	264		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645600	VBILacCor175686_0025	22772	23035	+	264		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645603	VBILacCor175686_0026	23016	24644	+	1629		DNA primase, phage associated # P4-type
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645602	VBILacCor175686_0026	23016	24644	+	1629		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645605	VBILacCor175686_0027	24666	24950	+	285		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645604	VBILacCor175686_0027	24666	24950	+	285		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645607	VBILacCor175686_0028	25007	26155	+	1149		Phage integrase
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645606	VBILacCor175686_0028	25007	26155	+	1149		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645609	VBILacCor175686_0029	26675	26962	+	288		Transcriptional regulator
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645608	VBILacCor175686_0029	26675	26962	+	288		
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	CDS	52645611	VBILacCor175686_0030	26965	27900	+	936		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis KCTC 3167	AELK01000001	PATRIC	gene	52645610	VBILacCor175686_0030	26965	27900	+	936		
