GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	CDS	22236599	VBILacJoh1832_0001	1	1365	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	gene	22236598	VBILacJoh1832_0001	1	1365	+	1365		
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	source	22236597		1	1992676	+	1992676		
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	CDS	22236601	VBILacJoh1832_0002	1546	2676	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	gene	22236600	VBILacJoh1832_0002	1546	2676	+	1131		
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	CDS	22236603	VBILacJoh1832_0003	2951	3100	+	150		FIG002958: hypothetical protein
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	gene	22236602	VBILacJoh1832_0003	2951	3100	+	150		
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	gene	22236604	VBILacJoh1832_0004	3104	4228	+	1125		
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	CDS	22236605	VBILacJoh1832_0004	3104	4228	+	1125		DNA recombination and repair protein RecF
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	CDS	22236607	VBILacJoh1832_0005	4229	6196	+	1968		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	gene	22236606	VBILacJoh1832_0005	4229	6196	+	1968		
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	CDS	22236609	VBILacJoh1832_0006	6207	8696	+	2490		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus johnsonii NCC 533	NC_005362	PATRIC	gene	22236608	VBILacJoh1832_0006	6207	8696	+	2490		
