GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200777	VBILacJoh171132_0001	1	1365	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	source	54200775		1	1966342	+	1966342		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200776	VBILacJoh171132_0001	1	1365	+	1365		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200779	VBILacJoh171132_0002	1546	2676	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200778	VBILacJoh171132_0002	1546	2676	+	1131		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200781	VBILacJoh171132_0003	2954	3103	+	150		FIG002958: hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200780	VBILacJoh171132_0003	2954	3103	+	150		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200783	VBILacJoh171132_0004	3107	4231	+	1125		DNA recombination and repair protein RecF
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200782	VBILacJoh171132_0004	3107	4231	+	1125		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200784	VBILacJoh171132_0005	4232	6199	+	1968		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200785	VBILacJoh171132_0005	4232	6199	+	1968		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200786	VBILacJoh171132_0006	6210	8699	+	2490		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200787	VBILacJoh171132_0006	6210	8699	+	2490		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200789	VBILacJoh171132_0007	8886	9182	+	297		SSU ribosomal protein S6p
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200788	VBILacJoh171132_0007	8886	9182	+	297		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200790	VBILacJoh171132_0008	9216	9734	+	519		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200791	VBILacJoh171132_0008	9216	9734	+	519		Single-stranded DNA-binding protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200792	VBILacJoh171132_0009	9759	9995	+	237		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200793	VBILacJoh171132_0009	9759	9995	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200794	VBILacJoh171132_0010	10089	11006	+	918		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200795	VBILacJoh171132_0010	10089	11006	+	918		Magnesium and cobalt transport protein CorA
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200797	VBILacJoh171132_0011	11114	13132	+	2019		Phosphoesterase, DHH family protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200796	VBILacJoh171132_0011	11114	13132	+	2019		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200799	VBILacJoh171132_0012	13144	13599	+	456		LSU ribosomal protein L9p
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200798	VBILacJoh171132_0012	13144	13599	+	456		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200800	VBILacJoh171132_0013	13602	14975	+	1374		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200801	VBILacJoh171132_0013	13602	14975	+	1374		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200803	VBILacJoh171132_0014	15072	15956	+	885		Transcriptional regulator/sugar kinase
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200802	VBILacJoh171132_0014	15072	15956	+	885		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200805	VBILacJoh171132_0015	16021	17163	-	1143		Esterase/lipase
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200804	VBILacJoh171132_0015	16021	17163	-	1143		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200806	VBILacJoh171132_0016	17280	19298	-	2019		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200807	VBILacJoh171132_0016	17280	19298	-	2019		FIG00743509: hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200808	VBILacJoh171132_r001	19506	19578	+	73		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	tRNA	54200809	VBILacJoh171132_r001	19506	19578	+	73		tRNA-Thr-AGT
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200811	VBILacJoh171132_0017	19632	20984	-	1353		amino acid permease family protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200810	VBILacJoh171132_0017	19632	20984	-	1353		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	tRNA	54200813	VBILacJoh171132_r002	21319	21391	+	73		tRNA-Thr-AGT
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200812	VBILacJoh171132_r002	21319	21391	+	73		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200814	VBILacJoh171132_0018	21521	22684	+	1164		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200815	VBILacJoh171132_0018	21521	22684	+	1164		Acetyltransferase
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200817	VBILacJoh171132_0019	22721	23650	-	930		FIG00742716: hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200816	VBILacJoh171132_0019	22721	23650	-	930		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200819	VBILacJoh171132_0020	23983	24657	+	675		Mobile element protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200818	VBILacJoh171132_0020	23983	24657	+	675		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200820	VBILacJoh171132_0021	24687	25397	+	711		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200821	VBILacJoh171132_0021	24687	25397	+	711		FIG00748333: hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200822	VBILacJoh171132_pg001	25485	26665	+	1181		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200824	VBILacJoh171132_0022	25502	25693	-	192		hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200823	VBILacJoh171132_0022	25502	25693	-	192		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200825	VBILacJoh171132_0023	25742	26665	+	924		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200826	VBILacJoh171132_0023	25742	26665	+	924		MFS general substrate transporter
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200828	VBILacJoh171132_0024	26731	27324	+	594		FIG00744515: hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200827	VBILacJoh171132_0024	26731	27324	+	594		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200830	VBILacJoh171132_0025	27388	28197	-	810		FIG00743222: hypothetical protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200829	VBILacJoh171132_0025	27388	28197	-	810		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200831	VBILacJoh171132_0026	28384	29241	-	858		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200832	VBILacJoh171132_0026	28384	29241	-	858		Mobile element protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200834	VBILacJoh171132_0027	29650	30543	+	894		Mobile element protein
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200833	VBILacJoh171132_0027	29650	30543	+	894		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	CDS	54200836	VBILacJoh171132_0028	30800	31537	-	738		RRNA (Adenine-N(6)-) -methyltransferase (EC 2.1.1.48)
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200835	VBILacJoh171132_0028	30800	31537	-	738		
Lactobacillus johnsonii DPC 6026	CP002464	PATRIC	gene	54200837	VBILacJoh171132_0029	31794	32027	-	234		
